srcStateName,srcYear,Meat production,Milk production,Egg production,Fish production,Wool production,YearCode,Year
Manipur,2018-19,28,86,1053,0.32,,2018,"Calendar Year (Jan - Dec), 2018"
Meghalaya,2018-19,45,87,1090,0,,2018,"Calendar Year (Jan - Dec), 2018"
Mizoram,2018-19,16,26,415,0.07,,2018,"Calendar Year (Jan - Dec), 2018"
Nagaland,2018-19,32,73,375,0.1,,2018,"Calendar Year (Jan - Dec), 2018"
Odisha,2018-19,202,2311,23453,7.33,,2018,"Calendar Year (Jan - Dec), 2018"
Puducherry,2018-19,15,49,114,0.31,,2018,"Calendar Year (Jan - Dec), 2018"
Punjab,2018-19,231,12599,55909,1.36,525,2018,"Calendar Year (Jan - Dec), 2018"
Rajasthan,2018-19,192,23668,16616,0.56,14522,2018,"Calendar Year (Jan - Dec), 2018"
Sikkim,2018-19,4,61,55,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Tamil Nadu,2018-19,634,8362,188422,7.31,2,2018,"Calendar Year (Jan - Dec), 2018"
Telangana,2018-19,754,5416,136868,3.28,4264,2018,"Calendar Year (Jan - Dec), 2018"
Tripura,2018-19,48,185,2760,0.85,,2018,"Calendar Year (Jan - Dec), 2018"
Uttar Pradesh,2018-19,1227,30519,26050,0.05,1316,2018,"Calendar Year (Jan - Dec), 2018"
Uttarakhand,2018-19,29,1792,4532,6.62,552,2018,"Calendar Year (Jan - Dec), 2018"
West Bengal,2018-19,831,5607,85999,17.7,760,2018,"Calendar Year (Jan - Dec), 2018"
Andaman and Nicobar Islands,2019-20,6,19,1189,0.4,,2019,"Calendar Year (Jan - Dec), 2019"
Andhra Pradesh,2019-20,850,15263,219275,41.74,801,2019,"Calendar Year (Jan - Dec), 2019"
Arunachal Pradesh,2019-20,23,61,605,0.05,43,2019,"Calendar Year (Jan - Dec), 2019"
Assam,2019-20,53,920,5149,3.73,,2019,"Calendar Year (Jan - Dec), 2019"
Bihar,2019-20,384,10480,27408,6.41,311,2019,"Calendar Year (Jan - Dec), 2019"
Chandigarh,2019-20,1,49,125,0.01,,2019,"Calendar Year (Jan - Dec), 2019"
Chhattisgarh,2019-20,66,1676,20289,5.72,83,2019,"Calendar Year (Jan - Dec), 2019"
Dadra & Nagar Haveli,2019-20,,,0,0,,2019,"Calendar Year (Jan - Dec), 2019"
Daman & Diu,2019-20,,1,5,0.32,,2019,"Calendar Year (Jan - Dec), 2019"
Goa,2019-20,7,61,400,1.05,,2019,"Calendar Year (Jan - Dec), 2019"
Gujarat,2019-20,33,15292,19274,8.59,2233,2019,"Calendar Year (Jan - Dec), 2019"
Haryana,2019-20,554,11735,66153,1.91,730,2019,"Calendar Year (Jan - Dec), 2019"
Himachal Pradesh,2019-20,5,1531,1066,0.14,1516,2019,"Calendar Year (Jan - Dec), 2019"
Jammu and Kashmir,2019-20,95,2506,2216,0.21,7477,2019,"Calendar Year (Jan - Dec), 2019"
Jharkhand,2019-20,67,2321,6928,2.23,210,2019,"Calendar Year (Jan - Dec), 2019"
Karnataka,2019-20,305,9031,66511,6.32,1742,2019,"Calendar Year (Jan - Dec), 2019"
Kerala,2019-20,453,2544,21845,6.8,,2019,"Calendar Year (Jan - Dec), 2019"
Lakshadweep,2019-20,,4,153,0.2,,2019,"Calendar Year (Jan - Dec), 2019"
Madhya Pradesh,2019-20,107,17109,23794,2,412,2019,"Calendar Year (Jan - Dec), 2019"
Maharashtra,2019-20,1140,12024,63713,5.61,1412,2019,"Calendar Year (Jan - Dec), 2019"
Manipur,2019-20,29,90,1082,0.32,,2019,"Calendar Year (Jan - Dec), 2019"
Meghalaya,2019-20,46,88,1102,0.14,,2019,"Calendar Year (Jan - Dec), 2019"
Mizoram,2019-20,16,24,433,0.07,,2019,"Calendar Year (Jan - Dec), 2019"
Nagaland,2019-20,32,62,382,0.09,,2019,"Calendar Year (Jan - Dec), 2019"
Odisha,2019-20,205,2370,23814,8.18,,2019,"Calendar Year (Jan - Dec), 2019"
Puducherry,2019-20,15,50,114,0.51,,2019,"Calendar Year (Jan - Dec), 2019"
Punjab,2019-20,248,13348,56388,1.51,525,2019,"Calendar Year (Jan - Dec), 2019"
Rajasthan,2019-20,200,25573,26962,1.16,12717,2019,"Calendar Year (Jan - Dec), 2019"
Sikkim,2019-20,4,84,48,0,0,2019,"Calendar Year (Jan - Dec), 2019"
Tamil Nadu,2019-20,663,8759,200216,7.57,0,2019,"Calendar Year (Jan - Dec), 2019"
Telangana,2019-20,848,5590,148055,3,3960,2019,"Calendar Year (Jan - Dec), 2019"
Tripura,2019-20,51,199,2950,0.78,,2019,"Calendar Year (Jan - Dec), 2019"
Uttar Pradesh,2019-20,1166,31864,34049,6.99,1329,2019,"Calendar Year (Jan - Dec), 2019"
Uttarakhand,2019-20,25,1845,4786,0.05,497,2019,"Calendar Year (Jan - Dec), 2019"
West Bengal,2019-20,903,5869,97350,17.82,763,2019,"Calendar Year (Jan - Dec), 2019"
