srcStateName,srcYear,Meat production,Milk production,Egg production,Fish production,Wool production,YearCode,Year
Rajasthan,2012-13,152,13946,10335,0.55,14007,2012,"Calendar Year (Jan - Dec), 2012"
Sikkim,2012-13,3,42,146,0,1,2012,"Calendar Year (Jan - Dec), 2012"
Tamil Nadu,2012-13,462,7005,119334,6.2,1,2012,"Calendar Year (Jan - Dec), 2012"
Tripura,2012-13,32,118,1565,0.57,,2012,"Calendar Year (Jan - Dec), 2012"
Uttar Pradesh,2012-13,1137,23330,17074,4.5,1456,2012,"Calendar Year (Jan - Dec), 2012"
Uttarakhand,2012-13,22,1478,3079,0.04,400,2012,"Calendar Year (Jan - Dec), 2012"
West Bengal,2012-13,648,4859,47115,14.9,722,2012,"Calendar Year (Jan - Dec), 2012"
Andaman and Nicobar Islands,2013-14,2,14,1193,0.37,,2013,"Calendar Year (Jan - Dec), 2013"
Andhra Pradesh,2013-14,935,13007,227875,20.18,5037,2013,"Calendar Year (Jan - Dec), 2013"
Arunachal Pradesh,2013-14,18,43,400,0.04,22,2013,"Calendar Year (Jan - Dec), 2013"
Assam,2013-14,38,815,4717,2.67,,2013,"Calendar Year (Jan - Dec), 2013"
Bihar,2013-14,292,7197,9308,4.32,271,2013,"Calendar Year (Jan - Dec), 2013"
Chandigarh,2013-14,1,44,173,0,,2013,"Calendar Year (Jan - Dec), 2013"
Chhattisgarh,2013-14,29,1209,14330,2.85,106,2013,"Calendar Year (Jan - Dec), 2013"
Dadra & Nagar Haveli,2013-14,,11,73,0,,2013,"Calendar Year (Jan - Dec), 2013"
Daman & Diu,2013-14,,1,13,0.2,,2013,"Calendar Year (Jan - Dec), 2013"
Delhi,2013-14,77,284,,0.01,,2013,"Calendar Year (Jan - Dec), 2013"
Goa,2013-14,5,68,60,1.14,,2013,"Calendar Year (Jan - Dec), 2013"
Gujarat,2013-14,33,11112,15551,7.98,2578,2013,"Calendar Year (Jan - Dec), 2013"
Haryana,2013-14,367,7442,43591,1.06,1390,2013,"Calendar Year (Jan - Dec), 2013"
Himachal Pradesh,2013-14,4,1151,1075,0.1,1655,2013,"Calendar Year (Jan - Dec), 2013"
Jammu and Kashmir,2013-14,33,1615,6649,0.2,8710,2013,"Calendar Year (Jan - Dec), 2013"
Jharkhand,2013-14,45,1700,4445,1.05,156,2013,"Calendar Year (Jan - Dec), 2013"
Karnataka,2013-14,170,5997,41301,5.55,7755,2013,"Calendar Year (Jan - Dec), 2013"
Kerala,2013-14,416,2655,24769,7.09,,2013,"Calendar Year (Jan - Dec), 2013"
Lakshadweep,2013-14,0,6,129,0.14,,2013,"Calendar Year (Jan - Dec), 2013"
Madhya Pradesh,2013-14,48,9599,9671,0.96,466,2013,"Calendar Year (Jan - Dec), 2013"
Maharashtra,2013-14,605,9089,48315,6.03,1539,2013,"Calendar Year (Jan - Dec), 2013"
Manipur,2013-14,25,82,1164,0.29,,2013,"Calendar Year (Jan - Dec), 2013"
Meghalaya,2013-14,40,82,1049,0.06,,2013,"Calendar Year (Jan - Dec), 2013"
Mizoram,2013-14,12,15,362,0.06,,2013,"Calendar Year (Jan - Dec), 2013"
Nagaland,2013-14,67,81,223,0.07,,2013,"Calendar Year (Jan - Dec), 2013"
Odisha,2013-14,154,1861,23609,4.14,,2013,"Calendar Year (Jan - Dec), 2013"
Puducherry,2013-14,14,47,113,0.42,,2013,"Calendar Year (Jan - Dec), 2013"
Punjab,2013-14,235,10011,43376,1.04,558,2013,"Calendar Year (Jan - Dec), 2013"
Rajasthan,2013-14,175,14573,11903,0.35,15027,2013,"Calendar Year (Jan - Dec), 2013"
Sikkim,2013-14,3,46,99,0,1,2013,"Calendar Year (Jan - Dec), 2013"
Tamil Nadu,2013-14,465,7049,141235,6.24,2,2013,"Calendar Year (Jan - Dec), 2013"
Tripura,2013-14,32,130,1794,0.62,,2013,"Calendar Year (Jan - Dec), 2013"
Uttar Pradesh,2013-14,1221,24194,18122,4.64,1473,2013,"Calendar Year (Jan - Dec), 2013"
Uttarakhand,2013-14,24,1550,3370,0.04,440,2013,"Calendar Year (Jan - Dec), 2013"
West Bengal,2013-14,649,4906,47460,15.81,725,2013,"Calendar Year (Jan - Dec), 2013"
Andaman and Nicobar Islands,2014-15,5,16,861,0.37,,2014,"Calendar Year (Jan - Dec), 2014"
Andhra Pradesh,2014-15,528,9656,130958,19.79,778,2014,"Calendar Year (Jan - Dec), 2014"
Arunachal Pradesh,2014-15,19,46,417,0.04,24,2014,"Calendar Year (Jan - Dec), 2014"
