srcStateName,srcYear,TRU,Gender,Unemployment Rate per 1000 population,YearCode,Year
Puducherry,2011-12,Rural,Female,10,2011,"Calendar Year (Jan - Dec), 2011"
Lakshadweep,2011-12,Rural,Female,435,2011,"Calendar Year (Jan - Dec), 2011"
Daman & Diu,2011-12,Rural,Female,,2011,"Calendar Year (Jan - Dec), 2011"
Dadra & Nagar Haveli,2011-12,Rural,Female,,2011,"Calendar Year (Jan - Dec), 2011"
Chandigarh,2011-12,Rural,Female,,2011,"Calendar Year (Jan - Dec), 2011"
Andaman and Nicobar Islands,2011-12,Rural,Female,128,2011,"Calendar Year (Jan - Dec), 2011"
West Bengal,2011-12,Rural,Female,24,2011,"Calendar Year (Jan - Dec), 2011"
Uttar Pradesh,2011-12,Rural,Female,7,2011,"Calendar Year (Jan - Dec), 2011"
Uttarakhand,2011-12,Rural,Female,21,2011,"Calendar Year (Jan - Dec), 2011"
Tripura,2011-12,Rural,Female,203,2011,"Calendar Year (Jan - Dec), 2011"
Tamil Nadu,2011-12,Rural,Female,19,2011,"Calendar Year (Jan - Dec), 2011"
Sikkim,2011-12,Rural,Female,10,2011,"Calendar Year (Jan - Dec), 2011"
Rajasthan,2011-12,Rural,Female,4,2011,"Calendar Year (Jan - Dec), 2011"
Punjab,2011-12,Rural,Female,13,2011,"Calendar Year (Jan - Dec), 2011"
Odisha,2011-12,Rural,Female,20,2011,"Calendar Year (Jan - Dec), 2011"
Nagaland,2011-12,Rural,Female,159,2011,"Calendar Year (Jan - Dec), 2011"
Mizoram,2011-12,Rural,Female,27,2011,"Calendar Year (Jan - Dec), 2011"
Meghalaya,2011-12,Rural,Female,4,2011,"Calendar Year (Jan - Dec), 2011"
Manipur,2011-12,Rural,Female,30,2011,"Calendar Year (Jan - Dec), 2011"
Maharashtra,2011-12,Rural,Female,3,2011,"Calendar Year (Jan - Dec), 2011"
Madhya Pradesh,2011-12,Rural,Female,,2011,"Calendar Year (Jan - Dec), 2011"
Kerala,2011-12,Rural,Female,142,2011,"Calendar Year (Jan - Dec), 2011"
Karnataka,2011-12,Rural,Female,4,2011,"Calendar Year (Jan - Dec), 2011"
Jharkhand,2011-12,Rural,Female,28,2011,"Calendar Year (Jan - Dec), 2011"
Jammu & Kashmir,2011-12,Rural,Female,30,2011,"Calendar Year (Jan - Dec), 2011"
Himachal Pradesh,2011-12,Rural,Female,8,2011,"Calendar Year (Jan - Dec), 2011"
Haryana,2011-12,Rural,Female,17,2011,"Calendar Year (Jan - Dec), 2011"
Gujarat,2011-12,Rural,Female,2,2011,"Calendar Year (Jan - Dec), 2011"
Goa,2011-12,Rural,Female,8,2011,"Calendar Year (Jan - Dec), 2011"
Delhi,2011-12,Rural,Female,,2011,"Calendar Year (Jan - Dec), 2011"
Chhattisgarh,2011-12,Rural,Female,3,2011,"Calendar Year (Jan - Dec), 2011"
Bihar,2011-12,Rural,Female,82,2011,"Calendar Year (Jan - Dec), 2011"
Assam,2011-12,Rural,Female,57,2011,"Calendar Year (Jan - Dec), 2011"
