ROWID,Country,State lgd code,State,YearCode,Year,Base year,Gross State Value Added by Agriculture sector at current prices,Gross State Domestic Product at current prices,Net State Value Added by Industry sector at current prices,Gross State Value Added by Services sector at constant prices,Net State Value Added by Construction sector at current prices,Net State Domestic Product at current prices,Net State Value Added by Services sector at current prices,Gross State Value Added by Manufacturing sector at current prices,Gross State Value Added by Industry sector at current prices,Net State Value Added by Agriculture sector at current prices,Gross State Value Added by Banking and Insurance sector at current prices,Net State Value Added by Manufacturing sector at current prices,Net State Value Added by Construction sector at constant prices,Gross State Value Added by Services sector at current prices,Gross State Value Added by Construction sector at constant prices,Per capita Net State Domestic Product at current prices,Net State Domestic Product at constant prices,Gross State Value Added by Agriculture sector at constant prices,Gross State Value Added by Manufacturing sector at constant prices,Gross State Value Added by Industry sector at constant prices,Net State Value Added by Services sector at constant prices,Net State Value Added by Banking and Insurance sector at constant prices,Per capita Net State Domestic Product at constant prices,Net State Value Added by Manufacturing sector at constant prices,Net State Value Added by Industry sector at constant prices,Gross State Domestic Product at constant prices,Gross State Value Added by Banking and Insurance sector at constant prices,Gross State Value Added by Construction sector at current prices,Net State Value Added by Agriculture sector at constant prices,Net State Value Added by Banking and Insurance sector at current prices
94,India,10,Bihar,2014,"Financial Year (Apr - Mar), 2014",2011-12,4622152,34295094,6114907,15324452,3075668,31573235,17476853,2997754,6681881,4068709,1218791,2752337,2423766,18974816,2601943,28671,25573881,3525385,2595799,5682444,14005341,1145354,23223,2376058,5169234,27948244,1165283,3267784,3073814,1196309
95,India,10,Bihar,2015,"Financial Year (Apr - Mar), 2015",2011-12,4898747,37160179,5934349,16724038,3058206,34011899,19606419,2548976,6571034,4298707,1323291,2313799,2686624,21416063,2866880,30404,26919960,3532967,2338424,5811391,15129685,1202079,24064,2127002,5235781,29648818,1225818,3251516,3063960,1295951
96,India,10,Bihar,2016,"Financial Year (Apr - Mar), 2016",2011-12,5777188,42105150,6788566,17574910,3310962,38687949,21539307,3196246,7449982,5124509,1247577,2950066,2779940,23539766,2986235,34045,28926487,3878079,2917563,6452333,15812967,1131431,25455,2696745,5843838,31879745,1157413,3527262,3385781,1217880
97,India,10,Bihar,2017,"Financial Year (Apr - Mar), 2017",2011-12,6436838,46874631,7301665,19528591,3664863,43112771,24378389,3464763,7969784,5734762,1553638,3192841,2936682,26656404,3172458,36850,31260514,4171384,3058795,6763566,17603313,1313963,26719,2821758,6161995,34402783,1342555,3913197,3653969,1520095
98,India,10,Bihar,2018,"Financial Year (Apr - Mar), 2018",2011-12,6313198,52797582,7973571,22250586,4129156,48360364,28045488,3436448,8911428,5555003,2233935,3097373,3193017,30668844,3463299,40715,34554545,3926570,3018233,7329941,20119687,1790717,29092,2733151,6517657,38138253,1832426,4422069,3383437,2183087
99,India,10,Bihar,2019,"Financial Year (Apr - Mar), 2019",2011-12,6993280,59401640,8417860,23875604,4233128,54337663,31530224,3288774,9538780,6159356,2500064,2924058,3177639,34508762,3495011,45071,36916198,3675747,3101454,7780714,21472034,1997664,30621,2797707,6818410,40964460,2045596,4572409,3099240,2441483
100,India,10,Bihar,2020,"Financial Year (Apr - Mar), 2020",2011-12,7016234,61862816,7773042,23849660,4249535,56646540,32245755,3163345,8923317,6160471,2797897,2789078,3216064,35321978,3534673,46292,37954879,3608062,3183345,7682169,21436718,2241169,31017,2878414,6746725,41988313,2289288,4597701,3029307,2737782
101,India,11,Sikkim,2011,"Financial Year (Apr - Mar), 2011",2011-12,78207,1116510,605871,313932,63928,974218,261541,430623,685140,67799,16521,413380,63928,313932,67095,158667,974218,78207,430623,685140,261541,16260,158667,413380,605871,1116510,16521,67095,67799,16260
102,India,11,Sikkim,2012,"Financial Year (Apr - Mar), 2012",2011-12,94942,1233842,634205,347624,64183,1081675,314540,462562,715119,82761,17692,441714,59719,373345,63127,174183,997033,81638,431783,667199,292049,17037,160553,411667,589226,1142121,17341,67755,70346,17379
103,India,11,Sikkim,2013,"Financial Year (Apr - Mar), 2013",2011-12,104440,1386190,702362,369787,71021,1220293,356059,526856,787820,89724,19924,501921,62269,421451,66590,194624,1058986,83575,466812,698730,310465,17921,168897,443382,618522,1211405,18238,75613,70980,19591
104,India,11,Sikkim,2014,"Financial Year (Apr - Mar), 2014",2011-12,116961,1540672,783696,388300,72966,1355554,392670,586606,880789,100556,20456,560284,62168,463925,66452,214148,1143670,84688,523485,771928,325216,19224,180675,499778,685283,1307097,19558,77585,71308,20079
105,India,11,Sikkim,2015,"Financial Year (Apr - Mar), 2015",2011-12,125560,1803394,912688,413606,90989,1574320,445031,703851,1047246,107739,40193,656611,67137,521319,72499,245987,1248421,85469,598054,857224,347101,36537,195066,555850,749485,1436950,37251,96740,71548,39371
106,India,11,Sikkim,2016,"Financial Year (Apr - Mar), 2016",2011-12,156908,2068719,1067451,418705,84494,1816317,469126,867560,1215386,137539,26090,809514,59976,553796,65242,280729,1341584,95671,675111,927571,348632,23738,207355,627627,814493,1539727,24242,90014,81071,25514
107,India,11,Sikkim,2017,"Financial Year (Apr - Mar), 2017",2011-12,199256,2597082,1346969,436133,95148,2283525,520779,1133260,1548329,178394,27801,1038004,63968,611630,69658,349163,1520436,111000,782910,1066000,363129,23512,232483,699150,907869,1767336,24024,101141,95637,27201
108,India,11,Sikkim,2018,"Financial Year (Apr - Mar), 2018",2011-12,234174,2840243,1459761,486449,102945,2480102,620035,1207663,1688786,211691,32277,1106153,65311,728190,72050,375773,1588906,124242,820963,1135718,402092,25181,240743,733132,962957,1862497,25784,110248,108145,31542
109,India,11,Sikkim,2019,"Financial Year (Apr - Mar), 2019",2011-12,253202,3080899,1467493,588196,116157,2690518,794287,1179133,1705768,228560,37600,1080022,69944,921175,78653,403376,1677467,128979,799008,1134444,490078,27662,251494,713526,957492,1970017,28383,125467,111947,36719
110,India,11,Sikkim,2020,"Financial Year (Apr - Mar), 2020",2011-12,273776,3272447,1472084,657069,123852,2856577,922707,1151278,1719596,246773,42507,1054508,70850,1063446,80492,424454,1736331,133897,777641,1129841,548851,30007,257999,694445,949434,2043434,30853,134318,115883,41491
111,India,12,Arunachal Pradesh,2011,"Financial Year (Apr - Mar), 2011",2011-12,255815,1106269,180479,420384,99595,1022946,376186,12900,209581,248503,20884,9934,99595,420384,104529,73540,1022946,255815,12900,209581,376186,20554,73540,9934,180479,1106269,20884,104529,248503,20554
112,India,12,Arunachal Pradesh,2012,"Financial Year (Apr - Mar), 2012",2011-12,331962,1254662,202674,426784,102130,1161723,410911,14827,236435,323467,21562,11990,94748,458513,100177,82626,1039870,281052,14037,217257,379840,21275,73959,11338,184860,1129917,21639,107821,273221,21187
113,India,12,Arunachal Pradesh,2013,"Financial Year (Apr - Mar), 2013",2011-12,359897,1458107,230775,471664,117024,1337657,486639,19714,278444,349829,23571,16312,103830,545794,110953,94135,1122536,295749,18285,244812,416585,22386,78996,15161,200282,1233834,22758,124594,287222,23180
114,India,12,Arunachal Pradesh,2014,"Financial Year (Apr - Mar), 2014",2011-12,406795,1795941,358695,494062,189057,1649517,535674,70373,420487,395509,27520,65512,162745,604673,173702,114789,1308160,303750,64970,369919,432250,25687,91034,60612,314456,1438265,26099,200871,294674,27055
115,India,12,Arunachal Pradesh,2015,"Financial Year (Apr - Mar), 2015",2011-12,362741,1850916,311284,530414,156769,1698623,599681,43166,373527,351309,31684,38601,135123,673434,144364,116985,1288906,267699,44271,339009,464178,28773,88768,40163,283205,1424046,29350,166678,258899,31020
116,India,12,Arunachal Pradesh,2016,"Financial Year (Apr - Mar), 2016",2011-12,286311,1990212,365328,587103,173164,1820978,691501,51608,440204,274703,28567,47464,139080,769914,149873,124129,1339643,190672,49283,384390,516955,25918,91319,45556,317216,1489371,26502,184477,182046,27900
117,India,12,Arunachal Pradesh,2017,"Financial Year (Apr - Mar), 2017",2011-12,307171,2247478,426351,644183,209538,2056159,830067,40642,510220,294708,28348,37062,161690,919854,172942,138836,1392328,194524,36892,402258,566165,23792,94013,33763,328546,1557401,24411,221389,185502,27622
118,India,12,Arunachal Pradesh,2018,"Financial Year (Apr - Mar), 2018",2011-12,314053,2526824,401186,636512,168527,2313588,877614,35243,499445,300998,31397,31838,139044,972745,150075,154652,1484659,195737,48437,398119,557276,24494,99242,45573,314555,1661994,25080,180482,186536,30682
119,India,12,Arunachal Pradesh,2019,"Financial Year (Apr - Mar), 2019",2011-12,391118,2804613,466200,714289,206630,2564801,1006489,32458,579376,377085,36779,28860,168575,1111778,184068,169742,1593364,227854,28084,432083,627595,27058,105451,25088,335733,1791640,27763,223192,218306,35917
120,India,12,Arunachal Pradesh,2020,"Financial Year (Apr - Mar), 2020",2011-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,India,13,Nagaland,2011,"Financial Year (Apr - Mar), 2011",2011-12,204304,1217676,137540,677849,99948,1055431,579122,15122,155462,161408,47701,11153,99948,677851,105135,53010,1055427,204304,15122,155463,579119,46948,53010,11153,137541,1217674,47701,105135,161408,46948
122,India,13,Nagaland,2012,"Financial Year (Apr - Mar), 2012",2011-12,262478,1412127,153521,722392,107747,1231840,664989,19400,173560,212607,53134,14766,99652,772339,105374,61225,1116302,235469,18343,157867,620205,51166,55482,13906,138650,1286790,52078,113744,189204,52193
123,India,13,Nagaland,2013,"Financial Year (Apr - Mar), 2013",2011-12,340577,1661173,152517,798081,110732,1454521,788991,16831,177331,281237,57079,11997,74726,908121,81435,71510,1192318,276327,14020,129393,688216,51342,58619,9537,106173,1379259,52249,117862,225448,56126
125,India,13,Nagaland,2015,"Financial Year (Apr - Mar), 2015",2011-12,405510,1952395,207357,843736,148472,1712812,959214,26432,236363,332336,54369,21170,98993,1093883,107752,82466,1259970,290469,22607,180797,723546,49425,60663,17876,154601,1466049,50390,157865,233195,53257
126,India,13,Nagaland,2016,"Financial Year (Apr - Mar), 2016",2011-12,439814,2172245,225688,886999,170050,1917383,1032392,30403,255776,360220,53975,25285,104259,1174548,114874,91347,1348789,295189,26178,179568,761140,49111,64259,21585,152003,1564992,50153,181176,235054,52784
127,India,13,Nagaland,2017,"Financial Year (Apr - Mar), 2017",2011-12,485886,2439296,273917,939473,205025,2164509,1151590,31859,305838,400530,61020,26501,122973,1305637,133700,102003,1417779,287378,26407,210359,807890,51608,66813,21739,181681,1643983,52731,216323,224332,59703
128,India,13,Nagaland,2018,"Financial Year (Apr - Mar), 2018",2011-12,473063,2652742,275998,1020192,202178,2341197,1327348,34357,314826,380830,70159,28678,111520,1503862,124732,109198,1505470,268325,29351,206573,942066,54735,70218,24592,172769,1686771,56045,216496,202099,68562
129,India,13,Nagaland,2019,"Financial Year (Apr - Mar), 2019",2011-12,509204,2953593,335789,1100941,239679,2611622,1498401,33253,381963,408161,68298,27150,127032,1689009,144264,120518,1543917,277587,28383,245526,946185,50247,71247,23317,205409,1812084,51556,258101,207533,66698
130,India,13,Nagaland,2020,"Financial Year (Apr - Mar), 2020",2011-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,India,14,Manipur,2011,"Financial Year (Apr - Mar), 2011",2011-12,137772,1291460,168524,825311,95958,1150107,732298,40990,195978,120337,23399,32858,95958,825311,100712,39762,1150107,137772,40990,195978,732298,23030,39762,32858,168524,1291460,23399,100712,120337,23030
132,India,14,Manipur,2012,"Financial Year (Apr - Mar), 2012",2011-12,168583,1374324,162954,837467,100561,1218809,782124,30594,192264,147588,25250,21852,93671,883040,99017,41230,1151507,159419,28894,183673,741172,24484,38954,20586,155595,1299281,24918,106164,140047,24803
133,India,14,Manipur,2013,"Financial Year (Apr - Mar), 2013",2011-12,205623,1618204,181203,886339,112734,1443963,908620,46011,214425,181713,28230,36447,104639,1020775,111497,47798,1251946,167469,41278,207009,782415,26801,41441,32505,176024,1411509,27257,120023,147174,27751
134,India,14,Manipur,2014,"Financial Year (Apr - Mar), 2014",2011-12,248051,1812905,234560,950841,179771,1627535,997509,47201,265611,221580,29609,37037,162372,1120586,172786,52717,1361517,177112,40523,256366,841498,27825,44101,31471,228267,1524490,28309,191000,155764,29063
135,India,14,Manipur,2015,"Financial Year (Apr - Mar), 2015",2011-12,235995,1953067,262408,1027170,190638,1749310,1072647,59408,295353,207816,37875,49376,187366,1210397,198602,55447,1463516,152555,52135,296961,904354,34431,46389,43071,266930,1642368,35103,202688,130841,37101
136,India,14,Manipur,2016,"Financial Year (Apr - Mar), 2016",2011-12,224997,2129389,256313,1063622,179757,1913227,1186875,60896,292065,194498,38515,50135,156016,1331872,167221,59345,1520095,141966,54581,280338,935231,35045,47151,44922,247605,1708192,35788,191502,119341,37665
137,India,14,Manipur,2017,"Financial Year (Apr - Mar), 2017",2011-12,450711,2578923,298940,1103963,202468,2355665,1345037,61998,333069,418727,43542,50250,164880,1497350,173285,71507,1687036,267660,53275,283582,973643,36825,51211,43107,253180,1875074,37626,211321,244531,42602
138,India,14,Manipur,2018,"Financial Year (Apr - Mar), 2018",2011-12,438733,2786985,298359,1177040,205807,2532287,1514605,65361,338540,404178,48312,52412,156303,1688567,169451,75229,1722760,236886,53470,287844,1033916,37851,51180,42731,252984,1930042,38738,220076,212624,47229
139,India,14,Manipur,2019,"Financial Year (Apr - Mar), 2019",2011-12,574741,3179030,315975,1242124,211690,2914768,1711715,67483,357649,546183,52450,53472,147835,1899956,161325,84746,1854854,292238,53945,288396,1091308,39068,53930,42643,252359,2067301,40035,226659,271495,51242
140,India,14,Manipur,2020,"Financial Year (Apr - Mar), 2020",2011-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,India,15,Mizoram,2011,"Financial Year (Apr - Mar), 2011",2011-12,75876,725869,128291,441537,85140,640414,385729,6578,152003,71321,20053,4968,85140,441537,89328,57654,640414,75876,6578,152003,385729,19736,57654,4968,128291,725869,20053,89328,71321,19736
142,India,15,Mizoram,2012,"Financial Year (Apr - Mar), 2012",2011-12,83792,836193,132985,496940,83832,737549,464960,7358,160983,78678,19581,5930,77185,528979,81645,65013,683644,72965,6609,149135,435825,18870,60261,5253,122225,777797,19192,88507,68250,19248
143,India,15,Mizoram,2013,"Financial Year (Apr - Mar), 2013",2011-12,101131,1029337,187556,524758,106712,898889,513238,8329,235511,95065,21502,6760,93763,588011,99986,77584,783146,82864,7007,207395,455501,19341,67594,5570,162553,903842,19683,113326,77727,21143
144,India,15,Mizoram,2014,"Financial Year (Apr - Mar), 2014",2011-12,116034,1350940,220535,549701,118485,1206705,558959,8111,278544,110370,23671,6512,100755,635628,106858,103049,996002,86943,7133,231439,480512,25215,85056,5702,178414,1126104,25607,125175,82384,23249
145,India,15,Mizoram,2015,"Financial Year (Apr - Mar), 2015",2011-12,129484,1513886,244734,610570,133110,1359531,628130,10460,307308,122326,33935,8935,114111,708816,121596,114055,1094790,83695,9892,253760,538159,30849,91845,8510,197578,1232359,31451,141137,78197,33241
146,India,15,Mizoram,2016,"Financial Year (Apr - Mar), 2016",2011-12,147435,1719191,283663,664558,142593,1543082,704871,11155,362459,139764,28747,9592,124562,791309,133065,127107,1202937,86893,10578,292920,587481,26156,99089,9172,221880,1359521,26711,151505,81225,28113
147,India,15,Mizoram,2017,"Financial Year (Apr - Mar), 2017",2011-12,167729,1938533,489301,712190,209606,1823862,790640,11185,501130,159623,30595,9524,172035,881133,180328,155222,1377941,88582,9890,385942,634596,25875,117272,8453,375061,1475778,26438,218340,82746,29934
148,India,15,Mizoram,2018,"Financial Year (Apr - Mar), 2018",2011-12,177016,2187897,437277,759411,190077,1950133,867539,12312,560485,168554,35311,10490,153204,969219,161692,164429,1408906,95978,10497,426931,675194,27601,118795,8987,322119,1607340,28313,199275,90048,34443
149,India,15,Mizoram,2019,"Financial Year (Apr - Mar), 2019",2011-12,187084,2514857,505442,884635,220824,2244179,1030800,11925,643808,177958,35311,9976,177273,1149013,189320,187327,1578734,98448,9991,489334,787865,27486,131781,8391,371517,1803361,28313,233703,92279,34301
150,India,15,Mizoram,2020,"Financial Year (Apr - Mar), 2020",2011-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,India,16,Tripura,2011,"Financial Year (Apr - Mar), 2011",2011-12,318959,1920841,338790,984954,142979,1741905,869582,72651,383398,307680,57103,62462,142979,984954,148327,47155,1741905,318959,72651,383398,869582,56201,47155,62462,338790,1920841,57103,148327,307680,56201
152,India,16,Tripura,2012,"Financial Year (Apr - Mar), 2012",2011-12,339064,2166320,402684,1059483,146091,1963114,978345,117529,453427,326089,67963,106951,144549,1108424,149833,52574,1885721,337685,115351,442614,927289,64289,50501,105242,394030,2087297,65436,151630,325726,66780
153,India,16,Tripura,2013,"Financial Year (Apr - Mar), 2013",2011-12,375086,2559283,429809,1142485,165932,2332898,1175180,125869,485936,360432,72348,114857,156328,1315025,167203,61815,2062306,367407,107836,445493,1004917,67995,54645,96542,389584,2281911,69287,174411,355107,70994
154,India,16,Tripura,2014,"Financial Year (Apr - Mar), 2014",2011-12,461208,2953346,701411,1214127,141365,2664335,1097857,153164,791273,444503,85950,140209,126086,1263420,134256,69857,2440660,371854,146293,765472,1066425,80769,63992,134735,685602,2696521,82174,150174,358415,84365
155,India,16,Tripura,2015,"Financial Year (Apr - Mar), 2015",2011-12,622218,3593773,686887,1136330,186551,3247635,1341490,120890,814096,604305,125921,107475,153713,1523449,164624,84267,2374531,368133,110593,730792,973585,114469,61612,98503,619844,2678690,116704,198252,354370,123347
156,India,16,Tripura,2016,"Financial Year (Apr - Mar), 2016",2011-12,738728,3947940,765578,1283761,201877,3566759,1429049,150940,905232,720137,101476,136802,190569,1633676,203153,91596,2720360,393209,146648,856670,1101734,92102,69860,133964,735304,3053759,94142,215067,379442,99144
157,India,16,Tripura,2017,"Financial Year (Apr - Mar), 2017",2011-12,745449,4371580,818701,1552235,238238,3950463,1719630,147140,958754,725687,135767,132290,195452,1963529,206984,100444,2950518,423660,129820,866507,1341939,114823,75020,116936,747547,3309278,117322,250384,409401,132836
158,India,16,Tripura,2018,"Financial Year (Apr - Mar), 2018",2011-12,932024,4982332,931324,1691573,299469,4490106,1870246,141287,1091921,911299,118086,124559,247156,2162827,259019,113016,3270315,471732,120953,972978,1448390,92125,82313,107009,841143,3675396,94330,312325,457178,115398
159,India,16,Tripura,2019,"Financial Year (Apr - Mar), 2019",2011-12,1177914,5585694,918885,1924704,303455,5042066,2086609,136761,1085682,1155742,135594,118688,250477,2421063,267054,125675,3580085,538477,116965,965918,1650967,99756,89234,102039,830712,4020713,102356,321177,523447,132417
160,India,16,Tripura,2020,"Financial Year (Apr - Mar), 2020",2011-12,1103722,5887953,954643,1959057,301832,5266115,2207009,123676,1126308,1075740,148871,105603,201544,2599974,220965,129995,3708581,620299,95210,928566,1670020,100953,91547,80611,797991,4179948,104301,319554,587611,140362
161,India,17,Meghalaya,2011,"Financial Year (Apr - Mar), 2011",2011-12,163103,1991775,694289,846097,108427,1802803,745123,464603,763216,145770,55825,426023,108427,846097,113619,60013,1802802,163103,464603,763216,745123,54943,60013,426023,694289,1991774,55825,113619,145770,54943
162,India,17,Meghalaya,2012,"Financial Year (Apr - Mar), 2012",2011-12,198591,2187202,699954,893365,98423,1965253,851787,493214,789745,178230,56562,447317,91971,961451,97027,64036,1832289,194211,466490,723660,788986,54468,59703,422228,645815,2035357,55439,103723,175360,55560
163,India,17,Meghalaya,2013,"Financial Year (Apr - Mar), 2013",2011-12,208494,2293824,651842,951577,109991,2041453,962462,399384,748064,184496,60604,351879,93689,1091850,100372,65118,1839655,198256,382776,700244,832210,54513,58681,338181,609634,2072571,55476,117094,177756,59591
164,India,17,Meghalaya,2014,"Financial Year (Apr - Mar), 2014",2011-12,226434,2323453,533076,996951,127325,2069693,1036127,358995,616354,199257,64091,310855,97715,1176668,105083,64638,1789285,207953,316380,539576,871415,60229,55880,273050,464657,2014033,61277,135269,185992,62908
165,India,17,Meghalaya,2015,"Financial Year (Apr - Mar), 2015",2011-12,252188,2511736,445604,1081588,171052,2251616,1141854,174254,532185,222152,70078,123246,116244,1282650,126077,68836,1833024,213302,156142,435019,955301,63757,56039,109372,356123,2063842,64949,181822,189972,68794
166,India,17,Meghalaya,2016,"Financial Year (Apr - Mar), 2016",2011-12,268160,2743862,431282,1166042,162090,2464095,1265485,202964,520463,236640,71547,156267,103489,1420827,113894,73753,1929486,213317,182347,411816,1028875,65029,57752,140501,332390,2173023,66410,172996,189646,69968
167,India,17,Meghalaya,2017,"Financial Year (Apr - Mar), 2017",2011-12,287304,2950830,510027,1259568,189349,2645217,1406753,257316,597991,253690,81407,210712,113287,1587074,124560,77504,1996368,216247,223499,454055,1104337,68849,58493,182568,377065,2256433,70347,201222,191585,79649
168,India,17,Meghalaya,2018,"Financial Year (Apr - Mar), 2018",2011-12,316280,3217582,477919,1396706,164413,2882105,1632163,275531,568200,279834,75655,227408,110729,1836778,120674,82653,2096795,210187,233341,436585,1227638,59023,60132,192467,360015,2371885,60435,175643,184203,73933
169,India,17,Meghalaya,2019,"Financial Year (Apr - Mar), 2019",2011-12,333979,3471570,482972,1511030,180689,3104990,1809791,268396,575350,293904,85548,216813,117474,2036932,127497,87170,2223927,213246,227859,437045,1327879,62937,62435,184458,359429,2518959,64577,192127,185679,83544
170,India,17,Meghalaya,2020,"Financial Year (Apr - Mar), 2020",2011-12,358275,3343592,406779,1380025,145344,2989798,1705723,224252,481742,315206,89922,187273,91411,1932752,99393,82182,2054404,213232,187830,355731,1202907,62734,56471,157655,294234,2329655,64485,154571,184621,87701
171,India,18,Assam,2011,"Financial Year (Apr - Mar), 2011",2011-12,2061487,14317491,3825617,6295033,1131858,12935412,5700473,1540255,4385874,1888760,427077,1274688,1131858,6295033,1188747,41142,12935412,2061487,1540255,4385874,5700473,420333,41142,1274688,3825617,14317491,427077,1188747,1888760,420333
172,India,18,Assam,2012,"Financial Year (Apr - Mar), 2012",2011-12,2496905,15686424,3917757,6498604,1203628,14203946,6329250,1531538,4461049,2298656,457213,1304587,1116543,7008377,1183219,44599,13251760,2496905,1426544,4156905,5819477,440033,41609,1199593,3613613,14734238,448132,1270304,2298656,449114
173,India,18,Assam,2013,"Financial Year (Apr - Mar), 2013",2011-12,2720261,17774522,4492331,6893110,1444115,16044153,7168194,1904299,5122340,2485157,515905,1659125,1263421,7969726,1351276,49734,13872476,2372688,1673668,4491858,6155961,464052,43002,1444523,3905997,15452540,472252,1537481,2171636,507287
174,India,18,Assam,2014,"Financial Year (Apr - Mar), 2014",2011-12,2942082,19572315,4694936,7467172,1511089,17284889,7870801,2092300,5596290,2625216,543651,1740262,1349852,8873579,1446532,52895,14642539,2442685,1802930,4797583,6614944,469925,44809,1573198,4162066,16521230,479116,1678700,2107447,533742
175,India,18,Assam,2015,"Financial Year (Apr - Mar), 2015",2011-12,3210429,22795883,6194540,7818265,1519060,20130881,8635872,2616441,7371650,2920425,647536,2132801,1420013,9771859,1509561,60817,16762867,2559454,2531956,6815230,6812712,588643,50642,2099360,5811367,19110900,600139,1615093,2275122,634297
176,India,18,Assam,2016,"Financial Year (Apr - Mar), 2016",2011-12,3419844,25438236,7034500,7760599,1774376,22239651,9436705,3170604,8389063,2967137,665033,2653234,1624651,10766037,1725258,66330,17963190,2625728,2944863,7451137,6759161,605106,53575,2586928,6497760,20208084,617944,1968864,2390436,650360
177,India,18,Assam,2017,"Financial Year (Apr - Mar), 2017",2011-12,3447408,28316489,7999665,8709156,2042907,25372639,10967348,3365031,9211507,3112293,795261,2945235,1734164,12303426,1849704,75151,19526228,2663201,3343622,8356989,7579374,672579,57835,2975480,7320739,21991937,687214,2164602,2416994,778091
178,India,18,Assam,2018,"Financial Year (Apr - Mar), 2018",2011-12,3685044,30933632,8653132,8566039,1955162,27662476,11676870,3651565,10053768,3323795,871795,3176344,1689170,13125598,1817144,81034,20462706,2719183,3363102,8687325,7391621,680134,59943,2960301,7530066,23103957,696411,2093851,2461170,851952
179,India,18,Assam,2019,"Financial Year (Apr - Mar), 2019",2011-12,3874703,33523811,8353442,9258014,2195262,29956920,13441579,3418391,9823874,3478974,1009967,2908375,1864751,15071849,2029332,86801,20934911,2544498,3345086,8567612,7944339,743027,60660,2916843,7363072,23784428,762390,2371204,2271700,986302
180,India,18,Assam,2020,"Financial Year (Apr - Mar), 2020",2011-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,India,19,West Bengal,2011,"Financial Year (Apr - Mar), 2011",2011-12,7245329,52048505,11425737,24885034,4233191,47320466,22526511,6952409,13251365,6939766,3194965,5780269,4233191,24885034,4440021,51543,47320465,7245329,6952409,13251365,22526511,3144514,51543,5780269,11425737,52048504,3194965,4440021,6939766,3144514
182,India,19,West Bengal,2012,"Financial Year (Apr - Mar), 2012",2011-12,8682450,59146445,12332038,26295613,4547895,53961848,26026438,7355293,14226804,8328494,3530371,6215030,4359136,28700508,4586293,58195,49290117,7539404,6969505,13565591,23758138,3423528,53157,5876362,11748792,54219069,3484158,4785994,7211011,3467833
183,India,19,West Bengal,2013,"Financial Year (Apr - Mar), 2013",2011-12,10626231,67684806,13016279,27547464,4958868,61747020,29502035,7612140,15046714,10204603,3425157,6479909,4746256,32680595,5047938,65932,50395157,7401140,6994457,14090806,24616747,3242476,53811,5943262,12198449,55849707,3302705,5279474,7039577,3361856
184,India,19,West Bengal,2014,"Financial Year (Apr - Mar), 2014",2011-12,10171379,71808166,12553995,29362695,5052740,65149182,32901710,7162103,14776587,9693211,3714599,5880321,4720111,36557933,5012952,68876,51570160,7914584,6423027,13595862,26149569,3462129,54520,5274087,11599207,57436434,3522773,5368490,7523872,3646186
185,India,19,West Bengal,2015,"Financial Year (Apr - Mar), 2015",2011-12,11593411,79729980,14162730,31254696,5057582,72599204,36157991,8536105,16348450,11072019,4057449,7339443,4235753,40275929,4533856,75992,54698805,7858815,7805565,14670805,27641207,3688429,57255,6729882,12704832,60954467,3760460,5377274,7450630,3974494
186,India,19,West Bengal,2016,"Financial Year (Apr - Mar), 2016",2011-12,12036882,87252723,15770344,32864839,5421147,79403350,39739055,9962264,18145381,11467459,4216245,8618129,5409242,44350743,5746116,82291,58491083,8055480,9089555,17146911,28846700,3836316,60618,7883496,15005150,65341593,3917706,5774233,7625248,4123217
187,India,19,West Bengal,2017,"Financial Year (Apr - Mar), 2017",2011-12,13120198,97469978,17801657,35109536,5997180,89075721,44389990,11416255,20426216,12506711,4720909,9862092,5592284,49261325,5968809,91401,62378682,8470069,10135979,18628587,31008440,3992632,64007,8778091,16314026,69498032,4079512,6393759,8017048,4618983
188,India,19,West Bengal,2018,"Financial Year (Apr - Mar), 2018",2011-12,14063149,110228275,21108670,37172005,6718717,100464910,49431929,14028800,24055823,13397303,5116658,12300925,5895912,55245468,6334469,103944,65928789,8459381,11917620,20875835,32471068,3991783,68212,10462123,18362677,73908186,4087314,7193993,7981556,5000195
189,India,19,West Bengal,2019,"Financial Year (Apr - Mar), 2019",2011-12,15263322,120782261,21934965,40048954,6700455,110065072,55911957,14849974,25110072,14530980,5623726,12997264,6476500,62366468,6976082,113163,69755447,8522533,12606494,22334728,34860637,4137341,71719,11060828,19638436,78442406,4245160,7234523,8015252,5491952
190,India,19,West Bengal,2020,"Financial Year (Apr - Mar), 2020",2011-12,16605511,130101677,22178103,40284245,7533018,118685661,62408459,14096509,25343666,15808770,5944841,12337803,7098790,69475384,7646374,121267,70664833,9010712,11636588,22114958,35159462,3341708,72202,10209841,19473260,79272009,3428793,8133446,8474373,5805543
191,India,20,Jharkhand,2011,"Financial Year (Apr - Mar), 2011",2011-12,1342099,15091759,5697153,5361695,1371583,13738347,4762065,3016583,6317718,1227605,414386,2740497,1371583,5361695,1439526,41254,13738347,1342099,3016583,6317718,4762065,407843,41254,2740497,5697153,15091759,414386,1439526,1227605,407843
