ROWID,Country,State lgd code,State,YearCode,Year,Base year,Gross State Value Added by Agriculture sector at current prices,Gross State Domestic Product at current prices,Net State Value Added by Industry sector at current prices,Gross State Value Added by Services sector at constant prices,Net State Value Added by Construction sector at current prices,Net State Domestic Product at current prices,Net State Value Added by Services sector at current prices,Gross State Value Added by Manufacturing sector at current prices,Gross State Value Added by Industry sector at current prices,Net State Value Added by Agriculture sector at current prices,Gross State Value Added by Banking and Insurance sector at current prices,Net State Value Added by Manufacturing sector at current prices,Net State Value Added by Construction sector at constant prices,Gross State Value Added by Services sector at current prices,Gross State Value Added by Construction sector at constant prices,Per capita Net State Domestic Product at current prices,Net State Domestic Product at constant prices,Gross State Value Added by Agriculture sector at constant prices,Gross State Value Added by Manufacturing sector at constant prices,Gross State Value Added by Industry sector at constant prices,Net State Value Added by Services sector at constant prices,Net State Value Added by Banking and Insurance sector at constant prices,Per capita Net State Domestic Product at constant prices,Net State Value Added by Manufacturing sector at constant prices,Net State Value Added by Industry sector at constant prices,Gross State Domestic Product at constant prices,Gross State Value Added by Banking and Insurance sector at constant prices,Gross State Value Added by Construction sector at current prices,Net State Value Added by Agriculture sector at constant prices,Net State Value Added by Banking and Insurance sector at current prices
48,India,5,Uttarakhand,2018,"Financial Year (Apr - Mar), 2018",2011-12,1044805,23676766,9999762,6761505,1639141,21228005,7767707,8274664,11112330,819010,592583,7586251,1218612,8867496,1355168,191450,17136395,694977,7181713,9504244,5870477,464258,154549,6597210,8553090,19148359,475144,1787343,533444,579297
49,India,5,Uttarakhand,2019,"Financial Year (Apr - Mar), 2019",2011-12,1108822,25366625,10538572,7169267,1794903,22758680,8433434,8596858,11717497,882002,655709,7892947,1292006,9624846,1454823,202895,17825888,711986,7317133,9789983,6193047,460061,158919,6728411,8789106,19971848,472148,1971947,551741,640663
50,India,5,Uttarakhand,2020,"Financial Year (Apr - Mar), 2020",2011-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,India,6,Haryana,2011,"Financial Year (Apr - Mar), 2011",2011-12,4088737,29753852,7533243,12292516,2839051,27115248,11144751,5328609,8661061,3765609,1165659,4454729,2839051,12292516,2975966,106085,27115248,4088737,5328609,8661061,11144751,1147252,106085,4454729,7533243,29753852,1165659,2975966,3765609,1147252
52,India,6,Haryana,2012,"Financial Year (Apr - Mar), 2012",2011-12,4457601,34703201,8881348,13594193,2886392,31435302,13111153,6663757,10363704,4083022,1321389,5544670,2612669,14475079,2761498,121269,28975622,3856332,6331166,9439365,12296567,1272448,111780,5253032,8012644,32091191,1304010,3042391,3508882,1297982
53,India,6,Haryana,2013,"Financial Year (Apr - Mar), 2013",2011-12,4951547,39926812,10413692,14969816,3355027,36219641,15202626,7386437,11979068,4505639,1483809,6381731,2864570,16847695,3068676,137770,31493120,3915654,6745901,10133536,13460143,1409245,119791,5804855,8812821,34750661,1432685,3571936,3533449,1459173
54,India,6,Haryana,2014,"Financial Year (Apr - Mar), 2014",2011-12,4612943,43714471,10912346,16532620,3447062,39295019,17200107,7970167,12791695,4108873,1677707,6706794,2815256,19179307,3014678,147382,33335925,3597425,7232084,10606630,14808728,1563737,125032,6095452,9073827,37053451,1591068,3662085,3185780,1646874
55,India,6,Haryana,2015,"Financial Year (Apr - Mar), 2015",2011-12,4681637,49550411,11806829,18321178,3394042,44605902,19321703,8840035,13933193,4135582,1976589,7402604,2758254,21537009,2958179,164963,37270025,3656573,8493638,11817401,16397214,1796281,137833,7207708,10148755,41340479,1830994,3608446,3229284,1936611
56,India,6,Haryana,2016,"Financial Year (Apr - Mar), 2016",2011-12,5436459,56142417,13270730,19891197,3694110,50727615,21673342,10041054,15561955,4843053,2166627,8501089,2921831,24145935,3152208,184982,41205461,4080548,9715752,13343238,17757958,1967791,150259,8335398,11509871,45670911,2010042,3935574,3632329,2118335
57,India,6,Haryana,2017,"Financial Year (Apr - Mar), 2017",2011-12,5918946,64496322,14762373,21532397,4006167,58567837,24437004,10994124,17201742,5281255,2581926,9398624,3104205,27221468,3363705,210592,43952345,4202452,9898757,13811910,19213787,2183621,158039,8498077,11882508,48727384,2231137,4279488,3731687,2526181
