srcStateName,srcYear,Country,StateCode,StateName,TotalPopulation,TotalPopulationUrban,TotalPopulationRural,TotalPopulationMale,TotalPopulationMaleUrban,TotalPopulationMaleRural,TotalPopulationFemale,TotalPopulationFemaleUrban,TotalPopulationFemaleRural,NumberOfHouseholds,NumberOfHouseholdsUrban,YearCode,NumberOfHouseholdsRural,Year,LandAreaUrban,LandAreaRural,LandArea,LandAreaMappingError%,LandAreaUrbanMappingError%,LandAreaRuralMappingError%,TotalPopulationMappingError%,TotalPopulationUrbanMappingError%,TotalPopulationRuralMappingError%,TotalPopulationMaleMappingError%,TotalPopulationMaleUrbanMappingError%,TotalPopulationMaleRuralMappingError%,TotalPopulationFeMaleMappingError%,TotalPopulationFeMaleUrbanMappingError%,TotalPopulationFeMaleRuralMappingError%,NumberOfHouseholdsMappingError%,NumberOfHouseholdsUrbanMappingError%,NumberOfHouseholdsRuralMappingError%,NumberOfChildren,NumberOfParents,WeighingRatio_TotalPopulation,WeighingRatio_Percentage_TotalPopulation,WeighingRatio_TotalPopulationUrban,WeighingRatio_Percentage_TotalPopulationUrban,WeighingRatio_TotalPopulationRural,WeighingRatio_Percentage_TotalPopulationRural,WeighingRatio_TotalPopulationMale,WeighingRatio_Percentage_TotalPopulationMale,WeighingRatio_TotalPopulationMaleUrban,WeighingRatio_Percentage_TotalPopulationMaleUrban,WeighingRatio_TotalPopulationMaleRural,WeighingRatio_Percentage_TotalPopulationMaleRural,WeighingRatio_TotalPopulationFemale,WeighingRatio_Percentage_TotalPopulationFemale,WeighingRatio_TotalPopulationFemaleUrban,WeighingRatio_Percentage_TotalPopulationFemaleUrban,WeighingRatio_TotalPopulationFemaleRural,WeighingRatio_Percentage_TotalPopulationFemaleRural,WeighingRatio_NumberOfHouseholds,WeighingRatio_Percentage_NumberOfHouseholds,WeighingRatio_NumberOfHouseholdsUrban,WeighingRatio_Percentage_NumberOfHouseholdsUrban,WeighingRatio_NumberOfHouseholdsRural,WeighingRatio_Percentage_NumberOfHouseholdsRural,WeighingRatio_LandAreaUrban,WeighingRatio_Percentage_LandAreaUrban,WeighingRatio_LandAreaRural,WeighingRatio_Percentage_LandAreaRural,WeighingRatio_LandArea,WeighingRatio_Percentage_LandArea
Andaman & Nicobar Islands,2001-02,India,35,ANDAMAN AND NICOBAR ISLANDS,380581,143488,237093,202871,76584,126287,177710,66904,110806,94551,36021,2001,58530,"Financial Year (Apr - Mar), 2001",3799.37,81533.17,85332.541875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andaman & Nicobar Islands,2002-03,India,35,ANDAMAN AND NICOBAR ISLANDS,380581,143488,237093,202871,76584,126287,177710,66904,110806,94551,36021,2002,58530,"Financial Year (Apr - Mar), 2002",3799.37,81533.17,85332.541875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andaman & Nicobar Islands,2003-04,India,35,ANDAMAN AND NICOBAR ISLANDS,380581,143488,237093,202871,76584,126287,177710,66904,110806,94551,36021,2003,58530,"Financial Year (Apr - Mar), 2003",3799.37,81533.17,85332.541875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andaman & Nicobar Islands,2004-05,India,35,ANDAMAN AND NICOBAR ISLANDS,380581,143488,237093,202871,76584,126287,177710,66904,110806,94551,36021,2004,58530,"Financial Year (Apr - Mar), 2004",3799.37,81533.17,85332.541875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andaman & Nicobar Islands,2005-06,India,35,ANDAMAN AND NICOBAR ISLANDS,380581,143488,237093,202871,76584,126287,177710,66904,110806,94551,36021,2005,58530,"Financial Year (Apr - Mar), 2005",3799.37,81533.17,85332.541875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andaman & Nicobar Islands,2006-07,India,35,ANDAMAN AND NICOBAR ISLANDS,380581,143488,237093,202871,76584,126287,177710,66904,110806,94551,36021,2006,58530,"Financial Year (Apr - Mar), 2006",3799.37,81533.17,85332.541875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andaman & Nicobar Islands,2007-08,India,35,ANDAMAN AND NICOBAR ISLANDS,380581,143488,237093,202871,76584,126287,177710,66904,110806,94551,36021,2007,58530,"Financial Year (Apr - Mar), 2007",3799.37,81533.17,85332.541875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andaman & Nicobar Islands,2008-09,India,35,ANDAMAN AND NICOBAR ISLANDS,380581,143488,237093,202871,76584,126287,177710,66904,110806,94551,36021,2008,58530,"Financial Year (Apr - Mar), 2008",3799.37,81533.17,85332.541875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andaman & Nicobar Islands,2009-10,India,35,ANDAMAN AND NICOBAR ISLANDS,380581,143488,237093,202871,76584,126287,177710,66904,110806,94551,36021,2009,58530,"Financial Year (Apr - Mar), 2009",3799.37,81533.17,85332.541875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andaman & Nicobar Islands,2010-11,India,35,ANDAMAN AND NICOBAR ISLANDS,380581,143488,237093,202871,76584,126287,177710,66904,110806,94551,36021,2010,58530,"Financial Year (Apr - Mar), 2010",3799.37,81533.17,85332.541875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andaman & Nicobar Islands,2011-12,India,35,ANDAMAN AND NICOBAR ISLANDS,380581,143488,237093,202871,76584,126287,177710,66904,110806,94551,36021,2011,58530,"Financial Year (Apr - Mar), 2011",3799.37,81533.17,85332.541875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andaman & Nicobar Islands,2012-13,India,35,ANDAMAN AND NICOBAR ISLANDS,380581,143488,237093,202871,76584,126287,177710,66904,110806,94551,36021,2012,58530,"Financial Year (Apr - Mar), 2012",3799.37,81533.17,85332.541875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andaman & Nicobar Islands,2013-14,India,35,ANDAMAN AND NICOBAR ISLANDS,380581,143488,237093,202871,76584,126287,177710,66904,110806,94551,36021,2013,58530,"Financial Year (Apr - Mar), 2013",3799.37,81533.17,85332.541875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andaman & Nicobar Islands,2014-15,India,35,ANDAMAN AND NICOBAR ISLANDS,380581,143488,237093,202871,76584,126287,177710,66904,110806,94551,36021,2014,58530,"Financial Year (Apr - Mar), 2014",3799.37,81533.17,85332.541875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andaman & Nicobar Islands,2015-16,India,35,ANDAMAN AND NICOBAR ISLANDS,380581,143488,237093,202871,76584,126287,177710,66904,110806,94551,36021,2015,58530,"Financial Year (Apr - Mar), 2015",3799.37,81533.17,85332.541875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andaman & Nicobar Islands,2016-17,India,35,ANDAMAN AND NICOBAR ISLANDS,380581,143488,237093,202871,76584,126287,177710,66904,110806,94551,36021,2016,58530,"Financial Year (Apr - Mar), 2016",3799.37,81533.17,85332.541875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andaman & Nicobar Islands,2017-18,India,35,ANDAMAN AND NICOBAR ISLANDS,380581,143488,237093,202871,76584,126287,177710,66904,110806,94551,36021,2017,58530,"Financial Year (Apr - Mar), 2017",3799.37,81533.17,85332.541875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andaman & Nicobar Islands,2018-19,India,35,ANDAMAN AND NICOBAR ISLANDS,380581,143488,237093,202871,76584,126287,177710,66904,110806,94551,36021,2018,58530,"Financial Year (Apr - Mar), 2018",3799.37,81533.17,85332.541875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andhra Pradesh,1991-92,India,36,TELANGANA,35003674,13608665,21395009,17611633,6906640,10704993,17392041,6702025,10690016,8303612,3134583,1991,5169029,"Financial Year (Apr - Mar), 1991",373524,1.0014736e+07,10388260,0,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,2,1,0.41384904752057314394,1,0.48225056987162052619,1,0.37960189704704091441,1,0.41495623242048128292,1,0.48642060778630464814,1,0.37902849039173655743,1,0.41273388781899440445,1,0.47802737056683335509,1,0.38017784828266383427,1,0.39498524158871400610,1,0.46176932592302437715,1,0.36313674765200637021,1,0.4755492973526274,1,0.4346874729533927,1,0.4360346320695193,1
Andhra Pradesh,1991-92,India,28,ANDHRA PRADESH,49577103,14610410,34966693,24830513,7292265,17538248,24746590,7318145,17428445,12718976,3653618,1991,9065358,"Financial Year (Apr - Mar), 1991",411934,1.3024198e+07,13436132,0,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,2,1,0.58615095247942685606,1,0.51774943012837947381,1,0.62039810295295908559,1,0.58504376757951871708,1,0.51357939221369535186,1,0.62097150960826344257,1,0.58726611218100559555,1,0.52197262943316664491,1,0.61982215171733616573,1,0.60501475841128599390,1,0.53823067407697562285,1,0.63686325234799362979,1,0.5244507026473726,1,0.5653125270466073,1,0.5639653679304807,1
Andhra Pradesh,1992-93,India,28,ANDHRA PRADESH,49577103,14610410,34966693,24830513,7292265,17538248,24746590,7318145,17428445,12718976,3653618,1992,9065358,"Financial Year (Apr - Mar), 1992",411934,1.3024198e+07,13436132,0,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,2,1,0.58615095247942685606,1,0.51774943012837947381,1,0.62039810295295908559,1,0.58504376757951871708,1,0.51357939221369535186,1,0.62097150960826344257,1,0.58726611218100559555,1,0.52197262943316664491,1,0.61982215171733616573,1,0.60501475841128599390,1,0.53823067407697562285,1,0.63686325234799362979,1,0.5244507026473726,1,0.5653125270466073,1,0.5639653679304807,1
Andhra Pradesh,1992-93,India,36,TELANGANA,35003674,13608665,21395009,17611633,6906640,10704993,17392041,6702025,10690016,8303612,3134583,1992,5169029,"Financial Year (Apr - Mar), 1992",373524,1.0014736e+07,10388260,0,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,2,1,0.41384904752057314394,1,0.48225056987162052619,1,0.37960189704704091441,1,0.41495623242048128292,1,0.48642060778630464814,1,0.37902849039173655743,1,0.41273388781899440445,1,0.47802737056683335509,1,0.38017784828266383427,1,0.39498524158871400610,1,0.46176932592302437715,1,0.36313674765200637021,1,0.4755492973526274,1,0.4346874729533927,1,0.4360346320695193,1
Andhra Pradesh,1993-94,India,28,ANDHRA PRADESH,49577103,14610410,34966693,24830513,7292265,17538248,24746590,7318145,17428445,12718976,3653618,1993,9065358,"Financial Year (Apr - Mar), 1993",411934,1.3024198e+07,13436132,0,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,2,1,0.58615095247942685606,1,0.51774943012837947381,1,0.62039810295295908559,1,0.58504376757951871708,1,0.51357939221369535186,1,0.62097150960826344257,1,0.58726611218100559555,1,0.52197262943316664491,1,0.61982215171733616573,1,0.60501475841128599390,1,0.53823067407697562285,1,0.63686325234799362979,1,0.5244507026473726,1,0.5653125270466073,1,0.5639653679304807,1
Andhra Pradesh,1993-94,India,36,TELANGANA,35003674,13608665,21395009,17611633,6906640,10704993,17392041,6702025,10690016,8303612,3134583,1993,5169029,"Financial Year (Apr - Mar), 1993",373524,1.0014736e+07,10388260,0,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,2,1,0.41384904752057314394,1,0.48225056987162052619,1,0.37960189704704091441,1,0.41495623242048128292,1,0.48642060778630464814,1,0.37902849039173655743,1,0.41273388781899440445,1,0.47802737056683335509,1,0.38017784828266383427,1,0.39498524158871400610,1,0.46176932592302437715,1,0.36313674765200637021,1,0.4755492973526274,1,0.4346874729533927,1,0.4360346320695193,1
Andhra Pradesh,1994-95,India,36,TELANGANA,35003674,13608665,21395009,17611633,6906640,10704993,17392041,6702025,10690016,8303612,3134583,1994,5169029,"Financial Year (Apr - Mar), 1994",373524,1.0014736e+07,10388260,0,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,2,1,0.41384904752057314394,1,0.48225056987162052619,1,0.37960189704704091441,1,0.41495623242048128292,1,0.48642060778630464814,1,0.37902849039173655743,1,0.41273388781899440445,1,0.47802737056683335509,1,0.38017784828266383427,1,0.39498524158871400610,1,0.46176932592302437715,1,0.36313674765200637021,1,0.4755492973526274,1,0.4346874729533927,1,0.4360346320695193,1
Andhra Pradesh,1994-95,India,28,ANDHRA PRADESH,49577103,14610410,34966693,24830513,7292265,17538248,24746590,7318145,17428445,12718976,3653618,1994,9065358,"Financial Year (Apr - Mar), 1994",411934,1.3024198e+07,13436132,0,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,2,1,0.58615095247942685606,1,0.51774943012837947381,1,0.62039810295295908559,1,0.58504376757951871708,1,0.51357939221369535186,1,0.62097150960826344257,1,0.58726611218100559555,1,0.52197262943316664491,1,0.61982215171733616573,1,0.60501475841128599390,1,0.53823067407697562285,1,0.63686325234799362979,1,0.5244507026473726,1,0.5653125270466073,1,0.5639653679304807,1
Andhra Pradesh,1995-96,India,36,TELANGANA,35003674,13608665,21395009,17611633,6906640,10704993,17392041,6702025,10690016,8303612,3134583,1995,5169029,"Financial Year (Apr - Mar), 1995",373524,1.0014736e+07,10388260,0,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,2,1,0.41384904752057314394,1,0.48225056987162052619,1,0.37960189704704091441,1,0.41495623242048128292,1,0.48642060778630464814,1,0.37902849039173655743,1,0.41273388781899440445,1,0.47802737056683335509,1,0.38017784828266383427,1,0.39498524158871400610,1,0.46176932592302437715,1,0.36313674765200637021,1,0.4755492973526274,1,0.4346874729533927,1,0.4360346320695193,1
Andhra Pradesh,1995-96,India,28,ANDHRA PRADESH,49577103,14610410,34966693,24830513,7292265,17538248,24746590,7318145,17428445,12718976,3653618,1995,9065358,"Financial Year (Apr - Mar), 1995",411934,1.3024198e+07,13436132,0,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,2,1,0.58615095247942685606,1,0.51774943012837947381,1,0.62039810295295908559,1,0.58504376757951871708,1,0.51357939221369535186,1,0.62097150960826344257,1,0.58726611218100559555,1,0.52197262943316664491,1,0.61982215171733616573,1,0.60501475841128599390,1,0.53823067407697562285,1,0.63686325234799362979,1,0.5244507026473726,1,0.5653125270466073,1,0.5639653679304807,1
Andhra Pradesh,1996-97,India,28,ANDHRA PRADESH,49577103,14610410,34966693,24830513,7292265,17538248,24746590,7318145,17428445,12718976,3653618,1996,9065358,"Financial Year (Apr - Mar), 1996",411934,1.3024198e+07,13436132,0,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,2,1,0.58615095247942685606,1,0.51774943012837947381,1,0.62039810295295908559,1,0.58504376757951871708,1,0.51357939221369535186,1,0.62097150960826344257,1,0.58726611218100559555,1,0.52197262943316664491,1,0.61982215171733616573,1,0.60501475841128599390,1,0.53823067407697562285,1,0.63686325234799362979,1,0.5244507026473726,1,0.5653125270466073,1,0.5639653679304807,1
Andhra Pradesh,1996-97,India,36,TELANGANA,35003674,13608665,21395009,17611633,6906640,10704993,17392041,6702025,10690016,8303612,3134583,1996,5169029,"Financial Year (Apr - Mar), 1996",373524,1.0014736e+07,10388260,0,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,2,1,0.41384904752057314394,1,0.48225056987162052619,1,0.37960189704704091441,1,0.41495623242048128292,1,0.48642060778630464814,1,0.37902849039173655743,1,0.41273388781899440445,1,0.47802737056683335509,1,0.38017784828266383427,1,0.39498524158871400610,1,0.46176932592302437715,1,0.36313674765200637021,1,0.4755492973526274,1,0.4346874729533927,1,0.4360346320695193,1
Andhra Pradesh,1997-98,India,28,ANDHRA PRADESH,49577103,14610410,34966693,24830513,7292265,17538248,24746590,7318145,17428445,12718976,3653618,1997,9065358,"Financial Year (Apr - Mar), 1997",411934,1.3024198e+07,13436132,0,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,2,1,0.58615095247942685606,1,0.51774943012837947381,1,0.62039810295295908559,1,0.58504376757951871708,1,0.51357939221369535186,1,0.62097150960826344257,1,0.58726611218100559555,1,0.52197262943316664491,1,0.61982215171733616573,1,0.60501475841128599390,1,0.53823067407697562285,1,0.63686325234799362979,1,0.5244507026473726,1,0.5653125270466073,1,0.5639653679304807,1
