ROWID,Country,State lgd code,State,YearCode,Year,Number of factories,Fixed capital,Working capital,Physical working capital,Productive capital,Invested capital,Number of workers,Persons engaged in factories ,Total emoluments,Total inputs,Value of gross output,Net value added,Gross value added,Net fixed capital formation,Gross fixed capital formation,Gross capital formation
225,India,9,Uttar Pradesh,1991,"Financial Year (Apr - Mar), 1991",10124,1839433,542153,708269,2381586,2547702,584938,765801,164136,2157010,2878111,594202,721101,231264,358163,439811
226,India,9,Uttar Pradesh,1992,"Financial Year (Apr - Mar), 1992",10313,2120224,600532,860068,2720756,2980292,603486,796441,242737,2592759,3392591,649145,799832,229742,380429,514362
227,India,9,Uttar Pradesh,1993,"Financial Year (Apr - Mar), 1993",10335,2363656,677374,982355,3041030,3346011,601072,787961,214591,3044026,4019941,577325,975916,210735,609325,663465
228,India,9,Uttar Pradesh,1994,"Financial Year (Apr - Mar), 1994",10154,3102768,966647,1054582,4069415,4157350,584872,774838,307340,3630920,4870176,1069554,1239255,472709,642410,788422
229,India,9,Uttar Pradesh,1995,"Financial Year (Apr - Mar), 1995",10613,3284140,788585,1269734,4072725,4553874,612341,805867,343001,4350739,5706339,1168520,1355600,500884,687964,934276
230,India,9,Uttar Pradesh,1996,"Financial Year (Apr - Mar), 1996",10056,3963135,1291883,1409973,5335975,5359790,626387,818846,398745,5044989,6052629,1299043,1661729,541332,824444,981147
231,India,9,Uttar Pradesh,1997,"Financial Year (Apr - Mar), 1997",10583,4436163,2639728,2743708,7075891,7179871,589005,773579,428856,5434955,7183727,1436512,1748773,409068,721330,2117087
232,India,9,Uttar Pradesh,1998,"Financial Year (Apr - Mar), 1998",10508,5142157,747428,1315176,5889585,6457333,455816,621154,335091,4503871,5811990,1046698,1308120,553905,815327,840979
233,India,9,Uttar Pradesh,1999,"Financial Year (Apr - Mar), 1999",10303,3772530,846783,1313179,4619313,5085709,428913,571719,318271,4813946,6104692,1022959,1290748,86333,354122,472320
234,India,9,Uttar Pradesh,2000,"Financial Year (Apr - Mar), 2000",9634,3477513,721167,1423487,4198680,4901000,401676,539739,312611,5245129,6485418,957702,1240289,24489,307076,484909
235,India,9,Uttar Pradesh,2001,"Financial Year (Apr - Mar), 2001",9156,3021410,785055,1402448,3806465,4423858,382821,513191,313218,5433873,6703703,1000649,1269831,93669,362851,443842
236,India,9,Uttar Pradesh,2002,"Financial Year (Apr - Mar), 2002",8980,2847631,904467,1552175,3752098,4399806,409116,542159,360871,6631652,8052063,1136484,1420411,12973,296900,389955
337,India,13,Nagaland,1991,"Financial Year (Apr - Mar), 1991",63,2649,-2620,1602,29,4251,3226,4283,889,4182,5623,1047,1441,-309,85,204
237,India,9,Uttar Pradesh,2003,"Financial Year (Apr - Mar), 2003",9237,2992605,828725,1768835,3821330,4761440,439267,569603,374754,7775434,9340067,1264899,1564682,196268,496002,742034
238,India,9,Uttar Pradesh,2004,"Financial Year (Apr - Mar), 2004",9582,3152999,1204511,2007776,4357510,5160776,453007,587702,415176,9144756,10913874,1429776,1769118,174295,513637,776545
239,India,9,Uttar Pradesh,2005,"Financial Year (Apr - Mar), 2005",10503,3763086,1392160,2178145,5155246,5941232,500540,648449,485517,9904799,11886143,1642591,1981344,575079,913831,1067799
240,India,9,Uttar Pradesh,2006,"Financial Year (Apr - Mar), 2006",10688,4499515,2040332,2549076,6539847,7048591,533794,695199,588973,13904706,16587655,2282767,2682949,580834,981016,1281357
241,India,9,Uttar Pradesh,2007,"Financial Year (Apr - Mar), 2007",10717,5845002,2242006,3350908,8087008,9195910,589695,751165,684339,16310149,19381502,2574292,3071352,806604,1303665,1966090
242,India,9,Uttar Pradesh,2008,"Financial Year (Apr - Mar), 2008",10935,6267696,4013077,3155482,10280773,9423178,574874,738644,797971,17096758,20046266,2413888,2949508,556914,1092533,1133434
243,India,9,Uttar Pradesh,2009,"Financial Year (Apr - Mar), 2009",11015,6869662,4245786,3950833,11115448,10820496,590788,762599,877763,18854633,22568130,3097665,3641740,238956,854788,1544002
244,India,9,Uttar Pradesh,2010,"Financial Year (Apr - Mar), 2010",13756,7485582,4699589,4861321,12185171,12346903,626446,808666,1121446,24088937,29221560,4438129,5132623,522502,1216996,2042676
245,India,9,Uttar Pradesh,2011,"Financial Year (Apr - Mar), 2011",14090,9064742,2859637,5647127,11924379,14711869,670748,864346,1273681,28805974,33265470,3714441,4459496,1067206,1812262,2545483
246,India,9,Uttar Pradesh,2012,"Financial Year (Apr - Mar), 2012",14440,10271141,4873689,6316248,15144830,16587389,635759,825537,1363228,31212272,36132854,4111251,4920582,1584436,2393767,3261084
247,India,9,Uttar Pradesh,2013,"Financial Year (Apr - Mar), 2013",14463,10243627,2867348,6701002,13110975,16944630,701782,912206,1737049,35044248,41126757,5187064,6082509,506746,1402191,1781548
248,India,9,Uttar Pradesh,2014,"Financial Year (Apr - Mar), 2014",14867,10896835,2452947,6630483,13349782,17527318,673431,883331,1794653,37004244,42309844,4374723,5305600,538692,1469569,1785627
249,India,9,Uttar Pradesh,2015,"Financial Year (Apr - Mar), 2015",15291,12692774,2275631,6767153,14968405,19459927,730630,941293,2038517,36345687,42813637,5485378,6467950,630139,1612711,1743460
250,India,9,Uttar Pradesh,2016,"Financial Year (Apr - Mar), 2016",15294,13270699,4064610,7542633,17335309,20813332,783541,1012882,2439831,39451590,49552268,9049549,10100678,502057,1553185,2189850
251,India,9,Uttar Pradesh,2017,"Financial Year (Apr - Mar), 2017",15830,13845026,3789457,7847833,17634483,21692859,839121,1070841,2654962,43032444,51463543,7285531,8431099,310599,1456168,1864619
252,India,9,Uttar Pradesh,2018,"Financial Year (Apr - Mar), 2018",15854,14392066,5923912,8803984,20315978,23196050,859032,1101163,2934079,49616067,57905351,7100261,8289283,578883,1767906,2971102
253,India,10,Bihar,1991,"Financial Year (Apr - Mar), 1991",3671,815842,203520,417380,1019362,1233222,255771,361469,97691,1050923,1441290,328078,390367,176676,238965,310926
254,India,10,Bihar,1992,"Financial Year (Apr - Mar), 1992",3885,928688,318370,502863,1247058,1431551,282510,367132,166719,1168102,1584624,343422,416522,51220,124320,219578
255,India,10,Bihar,1993,"Financial Year (Apr - Mar), 1993",3763,1145821,389528,468863,1535349,1614684,263005,343751,169258,1226677,1958660,672882,731984,158199,217300,194835
256,India,10,Bihar,1994,"Financial Year (Apr - Mar), 1994",3600,1454705,256395,482283,1711100,1936988,263951,345828,189143,1409036,1916928,441951,507893,377981,443922,446271
257,India,10,Bihar,1995,"Financial Year (Apr - Mar), 1995",3617,1602210,387741,544445,1989951,2146655,250112,339106,215731,1570563,2207283,528585,636720,152290,260425,336611
258,India,10,Bihar,1996,"Financial Year (Apr - Mar), 1996",3376,1706186,481053,625703,2085725,2327176,241525,327598,241321,1954708,2505367,598046,809277,146622,255489,345146
259,India,10,Bihar,1997,"Financial Year (Apr - Mar), 1997",3297,1432621,585602,629057,2018223,2061678,206746,274974,203586,1859955,2893490,928279,1033535,84343,189599,242789
260,India,10,Bihar,1998,"Financial Year (Apr - Mar), 1998",1528,123493,56832,95950,180325,219443,51496,63160,24970,340593,418989,70297,78396,11993,20092,33983
261,India,10,Bihar,1999,"Financial Year (Apr - Mar), 1999",1570,141648,81550,138059,223198,279707,55338,67750,27774,547342,667046,108746,119705,8672,19631,40925
262,India,10,Bihar,2000,"Financial Year (Apr - Mar), 2000",1535,153262,82233,138771,235495,292033,49190,62905,31408,635838,725488,72925,89649,22906,39629,52611
263,India,10,Bihar,2001,"Financial Year (Apr - Mar), 2001",1478,188919,95800,169604,284719,358523,51375,62619,28548,593938,671339,62994,77401,5331,19738,43669
264,India,10,Bihar,2002,"Financial Year (Apr - Mar), 2002",1403,317049,116937,204776,433986,521825,44280,54184,25596,701758,807679,85522,105921,143712,164110,213030
265,India,10,Bihar,2003,"Financial Year (Apr - Mar), 2003",1460,303280,137750,213886,441030,517166,46785,57404,27044,806766,887711,61430,80945,-20774,-1259,2190
266,India,10,Bihar,2004,"Financial Year (Apr - Mar), 2004",1674,296767,228187,298889,524954,595656,51430,61775,28356,1106754,1222169,91016,115415,-13158,11240,101811
267,India,10,Bihar,2005,"Financial Year (Apr - Mar), 2005",1669,292352,141541,237388,433893,529740,56901,67447,29252,1611557,1678498,42223,66941,-12597,12120,-57977
268,India,10,Bihar,2006,"Financial Year (Apr - Mar), 2006",1602,295118,161292,258191,456410,553310,55159,66966,32933,1846091,1904144,31610,58053,-741,25702,39165
269,India,10,Bihar,2007,"Financial Year (Apr - Mar), 2007",1783,301470,163563,262214,465033,563684,62319,73676,35245,2043956,2187362,115947,143406,5395,32853,43930
270,India,10,Bihar,2008,"Financial Year (Apr - Mar), 2008",1775,303254,147072,281630,450326,584884,62864,73659,44472,2605831,2953967,318374,348136,-4986,24777,44734
271,India,10,Bihar,2009,"Financial Year (Apr - Mar), 2009",1918,445230,95145,310514,540375,755744,73443,86620,53469,2557702,2825481,232130,261706,58972,94620,169613
272,India,10,Bihar,2010,"Financial Year (Apr - Mar), 2010",2805,526212,247088,355973,773300,882184,90985,106213,85604,3120848,3605131,441499,484284,70190,112974,175723
273,India,10,Bihar,2011,"Financial Year (Apr - Mar), 2011",3231,754715,-23601,464947,731114,1219662,108963,126592,84982,5396426,6016746,564392,620320,109561,165489,253786
274,India,10,Bihar,2012,"Financial Year (Apr - Mar), 2012",3345,646737,248259,540546,894996,1187284,100512,116396,103785,4872288,5168030,130356,295742,-61029,104357,227672
275,India,10,Bihar,2013,"Financial Year (Apr - Mar), 2013",3419,803738,-55787,588008,747951,1391746,96122,113594,110631,4945635,5529620,515457,583985,23236,91763,171153
276,India,10,Bihar,2014,"Financial Year (Apr - Mar), 2014",3529,994456,349172,595204,1343628,1589660,125557,146109,140609,5195428,5875914,582379,680486,36684,134790,84019
277,India,10,Bihar,2015,"Financial Year (Apr - Mar), 2015",3623,991766,144605,516081,1136371,1507847,103267,119496,140339,4165097,4773438,523963,608341,54831,139208,101845
278,India,10,Bihar,2016,"Financial Year (Apr - Mar), 2016",3531,1804252,207878,567831,2012130,2372084,98971,116232,148320,4127896,4769275,536902,641379,142688,247166,335018
279,India,10,Bihar,2017,"Financial Year (Apr - Mar), 2017",3461,1997672,300904,644944,2298576,2642616,104057,121772,164551,5242202,6002667,640408,760466,203401,323458,387656
280,India,10,Bihar,2018,"Financial Year (Apr - Mar), 2018",3422,2353563,348081,750568,2701644,3104131,111181,130004,200972,6113678,6841844,595922,728166,63673,195917,322376
281,India,11,Sikkim,1991,"Financial Year (Apr - Mar), 1991",,,,,,,,,,,,,,,,
282,India,11,Sikkim,1992,"Financial Year (Apr - Mar), 1992",,,,,,,,,,,,,,,,
283,India,11,Sikkim,1993,"Financial Year (Apr - Mar), 1993",,,,,,,,,,,,,,,,
284,India,11,Sikkim,1994,"Financial Year (Apr - Mar), 1994",,,,,,,,,,,,,,,,
285,India,11,Sikkim,1995,"Financial Year (Apr - Mar), 1995",,,,,,,,,,,,,,,,
286,India,11,Sikkim,1996,"Financial Year (Apr - Mar), 1996",,,,,,,,,,,,,,,,
287,India,11,Sikkim,1997,"Financial Year (Apr - Mar), 1997",,,,,,,,,,,,,,,,
288,India,11,Sikkim,1998,"Financial Year (Apr - Mar), 1998",,,,,,,,,,,,,,,,
289,India,11,Sikkim,1999,"Financial Year (Apr - Mar), 1999",,,,,,,,,,,,,,,,
290,India,11,Sikkim,2000,"Financial Year (Apr - Mar), 2000",,,,,,,,,,,,,,,,
291,India,11,Sikkim,2001,"Financial Year (Apr - Mar), 2001",,,,,,,,,,,,,,,,
292,India,11,Sikkim,2002,"Financial Year (Apr - Mar), 2002",,,,,,,,,,,,,,,,
293,India,11,Sikkim,2003,"Financial Year (Apr - Mar), 2003",,,,,,,,,,,,,,,,
294,India,11,Sikkim,2004,"Financial Year (Apr - Mar), 2004",,,,,,,,,,,,,,,,
295,India,11,Sikkim,2005,"Financial Year (Apr - Mar), 2005",,,,,,,,,,,,,,,,
296,India,11,Sikkim,2006,"Financial Year (Apr - Mar), 2006",,,,,,,,,,,,,,,,
297,India,11,Sikkim,2007,"Financial Year (Apr - Mar), 2007",,,,,,,,,,,,,,,,
298,India,11,Sikkim,2008,"Financial Year (Apr - Mar), 2008",,,,,,,,,,,,,,,,
299,India,11,Sikkim,2009,"Financial Year (Apr - Mar), 2009",46,90825,65679,38092,156504,128917,4854,6484,18750,135529,312037,169641,176422,15682,22548,34870
300,India,11,Sikkim,2010,"Financial Year (Apr - Mar), 2010",64,110841,110189,54081,221030,164922,5235,6844,29178,160843,445997,277803,285155,6169,13522,30485
301,India,11,Sikkim,2011,"Financial Year (Apr - Mar), 2011",61,113924,43968,58932,157892,172856,7138,8906,32040,208041,556220,332717,348179,-162,15300,18489
302,India,11,Sikkim,2012,"Financial Year (Apr - Mar), 2012",65,144075,127950,90001,272025,234076,8052,10278,23258,256488,631265,364809,374777,351,10320,33592
303,India,11,Sikkim,2013,"Financial Year (Apr - Mar), 2013",66,173938,168912,96697,342850,270635,10227,12749,29247,286816,710303,411195,423487,-1880,10412,14110
304,India,11,Sikkim,2014,"Financial Year (Apr - Mar), 2014",67,176248,149485,96226,325733,272474,11100,13675,37423,345499,802006,442439,456507,-6105,7963,6642
305,India,11,Sikkim,2015,"Financial Year (Apr - Mar), 2015",68,333077,116431,100542,449508,433619,9158,12674,51658,477438,1021509,528194,544071,6429,22305,22153
306,India,11,Sikkim,2016,"Financial Year (Apr - Mar), 2016",71,710069,137840,158874,847909,868943,13372,17232,72684,649298,1677216,965582,1027918,71733,134069,173453
307,India,11,Sikkim,2017,"Financial Year (Apr - Mar), 2017",82,705218,305055,185651,1010273,890869,15069,19659,67252,694393,1836037,1064105,1141644,-13162,64377,89968
308,India,11,Sikkim,2018,"Financial Year (Apr - Mar), 2018",84,743555,294388,228520,1037943,972075,17241,22624,80804,747285,1910564,1084827,1163279,-55249,23203,57305
309,India,12,Arunachal Pradesh,1991,"Financial Year (Apr - Mar), 1991",,,,,,,,,,,,,,,,
310,India,12,Arunachal Pradesh,1992,"Financial Year (Apr - Mar), 1992",,,,,,,,,,,,,,,,
311,India,12,Arunachal Pradesh,1993,"Financial Year (Apr - Mar), 1993",,,,,,,,,,,,,,,,
312,India,12,Arunachal Pradesh,1994,"Financial Year (Apr - Mar), 1994",,,,,,,,,,,,,,,,
313,India,12,Arunachal Pradesh,1995,"Financial Year (Apr - Mar), 1995",,,,,,,,,,,,,,,,
314,India,12,Arunachal Pradesh,1996,"Financial Year (Apr - Mar), 1996",,,,,,,,,,,,,,,,
315,India,12,Arunachal Pradesh,1997,"Financial Year (Apr - Mar), 1997",,,,,,,,,,,,,,,,
316,India,12,Arunachal Pradesh,1998,"Financial Year (Apr - Mar), 1998",,,,,,,,,,,,,,,,
317,India,12,Arunachal Pradesh,1999,"Financial Year (Apr - Mar), 1999",,,,,,,,,,,,,,,,
318,India,12,Arunachal Pradesh,2000,"Financial Year (Apr - Mar), 2000",,,,,,,,,,,,,,,,
319,India,12,Arunachal Pradesh,2001,"Financial Year (Apr - Mar), 2001",,,,,,,,,,,,,,,,
320,India,12,Arunachal Pradesh,2002,"Financial Year (Apr - Mar), 2002",,,,,,,,,,,,,,,,
321,India,12,Arunachal Pradesh,2003,"Financial Year (Apr - Mar), 2003",,,,,,,,,,,,,,,,
322,India,12,Arunachal Pradesh,2004,"Financial Year (Apr - Mar), 2004",,,,,,,,,,,,,,,,
323,India,12,Arunachal Pradesh,2005,"Financial Year (Apr - Mar), 2005",,,,,,,,,,,,,,,,
324,India,12,Arunachal Pradesh,2006,"Financial Year (Apr - Mar), 2006",,,,,,,,,,,,,,,,
325,India,12,Arunachal Pradesh,2007,"Financial Year (Apr - Mar), 2007",,,,,,,,,,,,,,,,
326,India,12,Arunachal Pradesh,2008,"Financial Year (Apr - Mar), 2008",,,,,,,,,,,,,,,,
327,India,12,Arunachal Pradesh,2009,"Financial Year (Apr - Mar), 2009",,,,,,,,,,,,,,,,
328,India,12,Arunachal Pradesh,2010,"Financial Year (Apr - Mar), 2010",,,,,,,,,,,,,,,,
329,India,12,Arunachal Pradesh,2011,"Financial Year (Apr - Mar), 2011",,,,,,,,,,,,,,,,
330,India,12,Arunachal Pradesh,2012,"Financial Year (Apr - Mar), 2012",,,,,,,,,,,,,,,,
331,India,12,Arunachal Pradesh,2013,"Financial Year (Apr - Mar), 2013",,,,,,,,,,,,,,,,
332,India,12,Arunachal Pradesh,2014,"Financial Year (Apr - Mar), 2014",124,19175,36043,23868,55218,43043,2925,3684,3646,98699,134873,33964,36174,-1666,544,2617
333,India,12,Arunachal Pradesh,2015,"Financial Year (Apr - Mar), 2015",120,20929,39144,25906,60073,46834,2660,3420,3555,91234,119119,24789,27885,-1415,1680,7049
334,India,12,Arunachal Pradesh,2016,"Financial Year (Apr - Mar), 2016",125,19982,31014,15744,50996,35726,2569,3347,3864,91688,114492,20203,22804,342,2944,3503
335,India,12,Arunachal Pradesh,2017,"Financial Year (Apr - Mar), 2017",117,19343,16633,13770,35976,33113,2671,3298,4089,84207,99998,12206,15791,-2935,650,1070
336,India,12,Arunachal Pradesh,2018,"Financial Year (Apr - Mar), 2018",115,17139,21461,10690,38600,27829,2470,3103,4029,91013,106282,12463,15270,-1057,1750,2085
338,India,13,Nagaland,1992,"Financial Year (Apr - Mar), 1992",68,8411,5260,1521,13671,9932,3274,4306,918,4023,4943,725,920,-20,175,96
339,India,13,Nagaland,1993,"Financial Year (Apr - Mar), 1993",96,3075,-5168,1571,-2093,4646,3437,4417,949,5168,6429,1044,1260,375,591,447
340,India,13,Nagaland,1994,"Financial Year (Apr - Mar), 1994",85,3366,-5082,1841,-1716,5207,3365,4507,958,5380,7014,1385,1634,-38,212,365
341,India,13,Nagaland,1995,"Financial Year (Apr - Mar), 1995",154,25850,-4273,3005,21577,28855,4035,5727,1276,8235,13456,4778,5221,9083,9526,9817
342,India,13,Nagaland,1996,"Financial Year (Apr - Mar), 1996",165,36021,4363,3709,40386,39730,3949,5717,1267,9083,15288,7320,6446,11762,12087,12861
343,India,13,Nagaland,1997,"Financial Year (Apr - Mar), 1997",165,13468,8328,10033,21796,23501,3388,4856,1070,28391,32383,2693,3992,1961,3260,4982
344,India,13,Nagaland,1998,"Financial Year (Apr - Mar), 1998",145,2075,1752,4033,3827,6108,2793,3604,612,5608,6545,723,937,-335,-120,1835
345,India,13,Nagaland,1999,"Financial Year (Apr - Mar), 1999",147,2214,2088,3070,4302,5284,2604,3247,688,6140,7060,723,919,-35,162,-290
346,India,13,Nagaland,2000,"Financial Year (Apr - Mar), 2000",129,2004,-1414,3017,591,5021,2440,3130,572,8159,9214,685,1055,21,391,397
347,India,13,Nagaland,2001,"Financial Year (Apr - Mar), 2001",117,1732,-116,3179,1615,4911,2278,2900,613,7646,10363,2548,2717,-164,5,237
348,India,13,Nagaland,2002,"Financial Year (Apr - Mar), 2002",119,2127,290,3112,2417,5239,2265,2784,567,8296,10073,1535,1775,-211,30,-267
349,India,13,Nagaland,2003,"Financial Year (Apr - Mar), 2003",120,2768,2835,3681,5603,6449,2356,2802,584,8367,10378,1800,2011,-38,172,727
350,India,13,Nagaland,2004,"Financial Year (Apr - Mar), 2004",113,2740,3565,3715,6304,6454,2332,2821,683,8780,10970,1995,2190,134,329,381
351,India,13,Nagaland,2005,"Financial Year (Apr - Mar), 2005",109,2898,3046,4416,5944,7314,2455,2862,822,7949,11634,3498,3685,125,312,1032
352,India,13,Nagaland,2006,"Financial Year (Apr - Mar), 2006",106,2833,3029,4524,5862,7357,3216,3626,914,7827,11827,3763,4000,284,521,1282
353,India,13,Nagaland,2007,"Financial Year (Apr - Mar), 2007",104,2792,2409,4161,5201,6953,2494,2974,743,9646,13606,3716,3960,83,327,115
354,India,13,Nagaland,2008,"Financial Year (Apr - Mar), 2008",91,2047,4469,4060,6516,6107,2468,2877,678,9842,12806,2823,2964,84,225,42
355,India,13,Nagaland,2009,"Financial Year (Apr - Mar), 2009",90,24107,13524,9410,37631,33518,2676,3004,692,15149,28850,13602,13658,8075,8173,8418
356,India,13,Nagaland,2010,"Financial Year (Apr - Mar), 2010",84,13067,11167,10326,24234,23393,1900,2208,1033,41372,46960,5366,5588,-148,74,979
357,India,13,Nagaland,2011,"Financial Year (Apr - Mar), 2011",86,12731,8874,9362,21605,22093,2195,2521,1287,50329,57932,6813,7602,-652,138,-814
358,India,13,Nagaland,2012,"Financial Year (Apr - Mar), 2012",106,17412,15486,9254,32898,26665,2677,3039,1828,49974,58971,8821,8997,73,249,223
359,India,13,Nagaland,2013,"Financial Year (Apr - Mar), 2013",134,17872,15643,9864,33515,27736,3303,3746,2047,31631,39707,7629,8076,29,476,-3845
360,India,13,Nagaland,2014,"Financial Year (Apr - Mar), 2014",197,20029,16695,10967,36724,30996,4843,5519,3179,31951,44889,12225,12938,-324,388,624
361,India,13,Nagaland,2015,"Financial Year (Apr - Mar), 2015",185,21569,18310,11016,39879,32584,4867,5626,3132,36102,48642,11817,12540,-358,364,278
362,India,13,Nagaland,2016,"Financial Year (Apr - Mar), 2016",192,21422,18316,11742,39738,33164,5109,5895,3437,37749,51746,12540,13997,-879,579,1527
363,India,13,Nagaland,2017,"Financial Year (Apr - Mar), 2017",186,20764,18664,11369,39428,32133,5227,6004,3810,39617,54104,13167,14487,-911,409,104
364,India,13,Nagaland,2018,"Financial Year (Apr - Mar), 2018",187,20221,17832,11309,38053,31530,5073,5936,3939,41498,57320,14690,15822,-703,429,370
365,India,14,Manipur,1991,"Financial Year (Apr - Mar), 1991",63,1252,747,512,1999,1764,1154,1578,229,2442,2743,210,301,-16,75,304
366,India,14,Manipur,1992,"Financial Year (Apr - Mar), 1992",73,2018,566,452,2584,2470,1251,1821,284,2860,2696,-319,-164,272,428,335
367,India,14,Manipur,1993,"Financial Year (Apr - Mar), 1993",32,1367,376,318,1743,1685,804,1093,169,800,990,100,189,-1,88,76
368,India,14,Manipur,1994,"Financial Year (Apr - Mar), 1994",74,1277,367,454,1644,1731,1120,1538,285,1068,1528,349,461,-76,36,131
369,India,14,Manipur,1995,"Financial Year (Apr - Mar), 1995",78,11367,-499,498,10868,11865,2295,3400,907,1539,4222,1416,2683,-115,1152,1066
370,India,14,Manipur,1996,"Financial Year (Apr - Mar), 1996",74,12132,2408,611,14540,12743,2019,2906,1018,2196,7842,2599,3613,-545,67,61
371,India,14,Manipur,1997,"Financial Year (Apr - Mar), 1997",77,15027,1921,3329,16948,18356,2825,4440,3155,11085,21397,9301,10312,-1007,4,-2838
372,India,14,Manipur,1998,"Financial Year (Apr - Mar), 1998",65,760,396,404,1156,1164,974,1223,238,1117,1403,222,286,-55,10,36
373,India,14,Manipur,1999,"Financial Year (Apr - Mar), 1999",61,377,239,320,616,697,847,980,154,1109,1284,133,174,-34,7,76
374,India,14,Manipur,2000,"Financial Year (Apr - Mar), 2000",59,477,240,264,717,741,695,814,111,1535,1774,190,238,13,62,26
375,India,14,Manipur,2001,"Financial Year (Apr - Mar), 2001",61,603,326,286,929,889,992,1127,168,1558,1896,256,339,23,106,106
376,India,14,Manipur,2002,"Financial Year (Apr - Mar), 2002",44,520,254,264,774,784,1048,1225,232,1538,2042,427,504,-19,58,31
377,India,14,Manipur,2003,"Financial Year (Apr - Mar), 2003",45,579,246,225,825,804,1090,1231,218,1414,1811,314,398,39,123,80
378,India,14,Manipur,2004,"Financial Year (Apr - Mar), 2004",55,876,562,468,1438,1344,1607,1835,398,2802,3493,575,691,-116,,185
379,India,14,Manipur,2005,"Financial Year (Apr - Mar), 2005",59,847,595,517,1442,1364,1734,1970,406,3345,4424,992,1079,-66,21,66
380,India,14,Manipur,2006,"Financial Year (Apr - Mar), 2006",63,970,633,627,1603,1597,1913,2158,440,2235,2969,642,734,-29,64,154
381,India,14,Manipur,2007,"Financial Year (Apr - Mar), 2007",69,1141,831,866,1972,2006,2442,2722,681,4623,5825,1096,1202,11,118,101
382,India,14,Manipur,2008,"Financial Year (Apr - Mar), 2008",72,1367,1111,998,2478,2365,2313,2654,756,5350,6706,1243,1356,-81,32,57
383,India,14,Manipur,2009,"Financial Year (Apr - Mar), 2009",85,3411,3214,3581,6625,6992,2950,3478,1348,13370,15224,1486,1821,-40,328,2077
384,India,14,Manipur,2010,"Financial Year (Apr - Mar), 2010",96,5101,6112,9003,11213,14105,3894,4563,2213,23088,27451,3759,4364,155,760,5468
385,India,14,Manipur,2011,"Financial Year (Apr - Mar), 2011",102,5826,5248,6757,11074,12583,4552,5303,2883,29698,36324,5920,6627,-208,499,1479
386,India,14,Manipur,2012,"Financial Year (Apr - Mar), 2012",128,7561,4688,6385,12249,13946,5213,6084,3341,29584,34912,4378,5328,48,999,507
387,India,14,Manipur,2013,"Financial Year (Apr - Mar), 2013",145,9793,7125,7064,16918,16857,4988,5879,3453,31455,37752,5208,6297,-291,798,478
388,India,14,Manipur,2014,"Financial Year (Apr - Mar), 2014",160,11374,16913,6569,28287,17943,6568,7591,4669,29629,37736,6976,8107,109,1241,1499
389,India,14,Manipur,2015,"Financial Year (Apr - Mar), 2015",173,12754,3830,6918,16584,19671,6982,8096,5062,32384,41026,7127,8642,-609,906,1027
390,India,14,Manipur,2016,"Financial Year (Apr - Mar), 2016",188,15327,4271,4891,19598,20218,6942,8133,5462,27305,36295,7383,8990,1138,2745,3377
391,India,14,Manipur,2017,"Financial Year (Apr - Mar), 2017",191,15929,2039,6696,17968,22625,7334,8532,6036,31824,42083,8376,10259,-214,1669,2884
392,India,14,Manipur,2018,"Financial Year (Apr - Mar), 2018",197,15082,1670,7429,16752,22511,7558,8760,6428,35685,46742,9131,11057,-780,1147,2329
393,India,16,Tripura,1991,"Financial Year (Apr - Mar), 1991",200,6135,711,1020,6846,7155,7996,9194,1153,2065,3610,619,1546,-819,108,109
394,India,16,Tripura,1992,"Financial Year (Apr - Mar), 1992",222,3975,415,1274,4390,5249,8639,10344,1481,4356,7000,2248,2644,-26,371,337
395,India,16,Tripura,1993,"Financial Year (Apr - Mar), 1993",168,6323,285,998,6608,7321,6386,7597,1226,5687,7641,1211,1953,47,789,811
396,India,16,Tripura,1994,"Financial Year (Apr - Mar), 1994",157,8487,102,1451,8589,9938,6623,7972,1655,4554,6889,1495,2334,989,1828,1998
397,India,16,Tripura,1995,"Financial Year (Apr - Mar), 1995",202,5325,747,1799,6072,7124,7257,8771,1726,11466,13768,1680,2302,-402,220,553
398,India,16,Tripura,1996,"Financial Year (Apr - Mar), 1996",218,6435,1193,2546,11792,8692,6921,8746,2008,10819,13976,5089,3243,1573,2468,2312
399,India,16,Tripura,1997,"Financial Year (Apr - Mar), 1997",243,26141,2914,2522,29055,28663,7142,8659,1995,20683,32759,10559,12076,-1092,425,1079
400,India,16,Tripura,1998,"Financial Year (Apr - Mar), 1998",206,14962,1751,2224,16713,17186,6132,7205,1309,10845,13873,2790,3028,176,414,1110
401,India,16,Tripura,1999,"Financial Year (Apr - Mar), 1999",206,2638,1031,2421,3669,5059,6800,7676,1469,9255,12227,2742,2970,216,445,1110
402,India,16,Tripura,2000,"Financial Year (Apr - Mar), 2000",239,3946,4199,3620,8145,7566,7839,8955,1738,17692,31061,12966,13368,276,678,1595
403,India,16,Tripura,2001,"Financial Year (Apr - Mar), 2001",240,3807,3425,3813,7232,7620,9162,10391,2223,20361,28375,7568,8012,16,461,836
404,India,16,Tripura,2002,"Financial Year (Apr - Mar), 2002",259,4881,4466,4873,9347,9754,10910,12147,2314,20098,25080,4514,4982,649,1117,2709
405,India,16,Tripura,2003,"Financial Year (Apr - Mar), 2003",269,4966,6340,,,11805,13105,14508,2701,28410,35802,6814,,,547,2372
406,India,16,Tripura,2004,"Financial Year (Apr - Mar), 2004",275,6064,10060,8822,16124,14886,13818,15392,2868,37753,61569,23124,23816,546,1239,3139
