srcStateName,srcYear,Number of factories,Fixed capital,Working capital,Physical working capital,Productive capital,Invested capital,Number of workers,Persons engaged in factories ,Total emoluments,Total inputs,Value of gross output,Net value added,Gross value added,Net fixed capital formation,Gross fixed capital formation,Gross capital formation,YearCode,Year
Andaman & Nicobar Islands,2012-13,24,3256,-8175,1119,-4919,4375,398,502,605,15568,16526,121,958,-843,-7,-73,2012,"Financial Year (Apr - Mar), 2012"
Uttarakhand,2012-13,2911,5299803,2255972,2147207,7555775,7447010,267268,335300,555961,12582556,16627937,3629866,4045381,226328,641843,813805,2012,"Financial Year (Apr - Mar), 2012"
Tripura,2012-13,534,33927,489,17541,34416,51468,25793,28526,10491,96828,136302,34809,39474,-2892,1773,2403,2012,"Financial Year (Apr - Mar), 2012"
Andhra Pradesh,2012-13,15358,13081848,1983315,3605831,15065163,16687679,406048,503615,739248,17580868,20712819,2382242,3131951,651633,1401341,1480151,2012,"Financial Year (Apr - Mar), 2012"
Arunachal Pradesh,2012-13,,,,,,,,,,,,,,,,,2012,"Financial Year (Apr - Mar), 2012"
Assam,2012-13,3303,1310951,588926,616133,1899877,1927084,140896,167835,177562,4243426,4985210,629229,741784,37810,150364,103276,2012,"Financial Year (Apr - Mar), 2012"
Bihar,2012-13,3345,646737,248259,540546,894996,1187284,100512,116396,103785,4872288,5168030,130356,295742,-61029,104357,227672,2012,"Financial Year (Apr - Mar), 2012"
Chandigarh,2012-13,297,85345,68947,85652,154292,170997,8315,12599,24147,533525,605139,64938,71614,-1334,5342,18396,2012,"Financial Year (Apr - Mar), 2012"
Chhattisgarh,2012-13,2441,6030773,4994654,1886217,11025427,7916990,137950,173076,452618,8514861,10352834,1521724,1837973,756040,1072289,1169576,2012,"Financial Year (Apr - Mar), 2012"
Dadra & Nagar Haveli,2012-13,1413,1969476,1231855,1137432,3201331,3106908,76279,97422,169715,6463813,7597779,967248,1133966,231217,397935,632896,2012,"Financial Year (Apr - Mar), 2012"
Daman & Diu,2012-13,1885,922625,641712,680872,1564337,1603496,97567,128442,209096,3114762,4458749,1248760,1343987,44886,140112,179625,2012,"Financial Year (Apr - Mar), 2012"
Delhi,2012-13,3958,1060650,774932,889368,1835582,1950018,78510,119001,254764,4495407,5347872,788079,852465,70114,134501,215723,2012,"Financial Year (Apr - Mar), 2012"
Goa,2012-13,597,827836,177873,511637,1005709,1339474,37338,55831,149616,2527235,3659659,1059957,1132424,123648,196116,170821,2012,"Financial Year (Apr - Mar), 2012"
Gujarat,2012-13,22587,32612528,9499374,16234783,42111902,48847310,1046462,1363628,2490522,96954347,111639522,11887604,14685175,2549787,5347358,7205634,2012,"Financial Year (Apr - Mar), 2012"
Haryana,2012-13,6163,7839623,2132693,3930921,9972316,11770544,431425,566595,1207652,23282493,27807701,3883175,4525208,1879386,2521418,2875289,2012,"Financial Year (Apr - Mar), 2012"
Himachal Pradesh,2012-13,2654,4009160,1269235,1300798,5278395,5309958,133727,184833,368557,7038203,9561121,2224673,2522918,128760,427004,640014,2012,"Financial Year (Apr - Mar), 2012"
Uttar Pradesh,2012-13,14440,10271141,4873689,6316248,15144830,16587389,635759,825537,1363228,31212272,36132854,4111251,4920582,1584436,2393767,3261084,2012,"Financial Year (Apr - Mar), 2012"
Jammu and Kashmir,2012-13,955,524823,177003,392877,701826,917700,49050,60658,76543,2012461,2460187,397106,447726,4587,55207,86953,2012,"Financial Year (Apr - Mar), 2012"
Jharkhand,2012-13,2697,6728469,1024577,2208545,7753046,8937014,127287,188046,557785,8358559,10851206,2091303,2492647,588081,989424,1193832,2012,"Financial Year (Apr - Mar), 2012"
West Bengal,2012-13,8607,8206693,2073515,4088844,10280208,12295536,537284,656123,997597,22009272,24718679,2228051,2709407,634521,1115878,1534909,2012,"Financial Year (Apr - Mar), 2012"
Karnataka,2012-13,11753,14515109,4875141,6241369,19390250,20756478,665597,862203,1914771,33559664,39950881,5347936,6391217,1742671,2785952,3373519,2012,"Financial Year (Apr - Mar), 2012"
Kerala,2012-13,7129,1870369,1335250,1490842,3205619,3361211,319582,380498,493429,10843126,12179092,1171460,1335966,102354,266860,379559,2012,"Financial Year (Apr - Mar), 2012"
Madhya Pradesh,2012-13,4206,13657975,2220498,4044565,15878473,17702540,223790,302209,576720,13846193,16392982,2146115,2546789,757880,1158554,1320490,2012,"Financial Year (Apr - Mar), 2012"
Maharashtra,2012-13,28949,34492959,10169203,15230313,44662162,49723272,1233341,1784909,4668567,81945368,102203201,17872932,20257833,3268165,5653066,6320435,2012,"Financial Year (Apr - Mar), 2012"
Manipur,2012-13,128,7561,4688,6385,12249,13946,5213,6084,3341,29584,34912,4378,5328,48,999,507,2012,"Financial Year (Apr - Mar), 2012"
Meghalaya,2012-13,116,349006,59658,78742,408664,427749,9483,11986,16933,247986,349265,76692,101279,32752,57339,70867,2012,"Financial Year (Apr - Mar), 2012"
Nagaland,2012-13,106,17412,15486,9254,32898,26665,2677,3039,1828,49974,58971,8821,8997,73,249,223,2012,"Financial Year (Apr - Mar), 2012"
