srcStateName,srcYear,Number of factories,Fixed capital,Working capital,Physical working capital,Productive capital,Invested capital,Number of workers,Persons engaged in factories ,Total emoluments,Total inputs,Value of gross output,Net value added,Gross value added,Net fixed capital formation,Gross fixed capital formation,Gross capital formation,YearCode,Year
Gujarat,2015-16,24426,53029669,5550185,15663667,58579854,68693337,1191406,1563868,3907788,94308361,115403988,18000465,21095627,5345197,8440358,7966166,2015,"Financial Year (Apr - Mar), 2015"
Haryana,2015-16,7953,10189610,2639892,4956393,12829502,15146004,559426,717193,1835142,33357178,39535014,5087135,6177836,72852,1163554,997579,2015,"Financial Year (Apr - Mar), 2015"
Himachal Pradesh,2015-16,2767,5425858,1738733,1293515,7164591,6719373,135122,187568,508399,7559825,11017801,3093347,3457976,-251558,113071,68688,2015,"Financial Year (Apr - Mar), 2015"
Jammu and Kashmir,2015-16,945,686174,297245,327468,983419,1013642,52327,68612,120560,1922951,2571519,585663,648568,-12329,50576,43902,2015,"Financial Year (Apr - Mar), 2015"
West Bengal,2015-16,9300,9168552,1778382,4156151,10946934,13324702,497149,634835,1251396,24033047,27093817,2253636,3060770,-24719,782415,652206,2015,"Financial Year (Apr - Mar), 2015"
Jharkhand,2015-16,2831,7443105,765714,2114327,8208819,9557431,141763,179639,684081,9663991,11474938,1353950,1810947,813091,1270086,973990,2015,"Financial Year (Apr - Mar), 2015"
Karnataka,2015-16,12973,17373585,5184634,6560601,22558219,23934186,768736,1005074,2612304,35903771,43772310,6426541,7868539,814596,2256594,2556890,2015,"Financial Year (Apr - Mar), 2015"
Kerala,2015-16,7580,3844288,902115,1601924,4746403,5446211,273038,338920,677597,10439225,12269165,1597014,1829940,766389,999315,1059951,2015,"Financial Year (Apr - Mar), 2015"
Madhya Pradesh,2015-16,4426,13728531,1265717,2755882,14994248,16484412,268004,358323,828029,15771276,19342364,2740594,3571088,451024,1281517,1266694,2015,"Financial Year (Apr - Mar), 2015"
Maharashtra,2015-16,28210,34617490,23233358,18455255,57850848,53072745,1371245,1970456,6605669,91954097,116801652,21725857,24847555,1342632,4464331,5728189,2015,"Financial Year (Apr - Mar), 2015"
Manipur,2015-16,173,12754,3830,6918,16584,19671,6982,8096,5062,32384,41026,7127,8642,-609,906,1027,2015,"Financial Year (Apr - Mar), 2015"
Meghalaya,2015-16,102,297349,91461,102844,388810,400194,10812,13094,22587,341806,432106,60160,90300,-18829,11310,35929,2015,"Financial Year (Apr - Mar), 2015"
Nagaland,2015-16,185,21569,18310,11016,39879,32584,4867,5626,3132,36102,48642,11817,12540,-358,364,278,2015,"Financial Year (Apr - Mar), 2015"
Odisha,2015-16,2948,26957833,-29137,3625816,26928696,30583649,209153,257842,689489,11326286,13711825,1444942,2385539,724674,1665272,1626795,2015,"Financial Year (Apr - Mar), 2015"
Puducherry,2015-16,682,471451,354557,288124,826008,759575,42849,53716,107528,1711082,2223648,467149,512566,11687,57105,67855,2015,"Financial Year (Apr - Mar), 2015"
Punjab,2015-16,12521,4387855,3780344,3758829,8168199,8146684,491609,609675,998056,15880549,18552084,2189438,2671535,55436,537532,498121,2015,"Financial Year (Apr - Mar), 2015"
Rajasthan,2015-16,9049,8465004,3039801,3414137,11504805,11879141,392721,508574,1141232,19772379,24080027,3599480,4307648,405694,1113861,1317140,2015,"Financial Year (Apr - Mar), 2015"
Sikkim,2015-16,68,333077,116431,100542,449508,433619,9158,12674,51658,477438,1021509,528194,544071,6429,22305,22153,2015,"Financial Year (Apr - Mar), 2015"
Tamil Nadu,2015-16,37331,23796264,5168070,11205520,28964334,35001784,1930431,2326458,4679218,56765113,69900096,10900073,13134983,1598468,3833378,4236751,2015,"Financial Year (Apr - Mar), 2015"
Telangana,2015-16,14874,7694317,2585567,3247806,10279884,10942123,577386,689537,1196111,14310321,18852094,3909569,4541773,1485249,2117453,2270844,2015,"Financial Year (Apr - Mar), 2015"
Tripura,2015-16,558,44294,3513,19827,47807,64121,23677,26719,13373,99710,135083,28542,35373,-2440,4391,6321,2015,"Financial Year (Apr - Mar), 2015"
Uttar Pradesh,2015-16,15291,12692774,2275631,6767153,14968405,19459927,730630,941293,2038517,36345687,42813637,5485378,6467950,630139,1612711,1743460,2015,"Financial Year (Apr - Mar), 2015"
Karnataka,2016-17,13344,18122114,5900889,7065744,24023003,25187858,827665,1065021,3119727,40435530,50164690,8276614,9729160,606935,2059482,2595321,2016,"Financial Year (Apr - Mar), 2016"
Andaman & Nicobar Islands,2016-17,18,1536,-1664,1130,-128,2666,334,421,731,12730,13322,296,592,-237,59,75,2016,"Financial Year (Apr - Mar), 2016"
Andhra Pradesh,2016-17,16246,18632079,-198423,5212273,18433656,23844352,456946,564017,1253334,23042788,26583434,2611022,3540646,1474278,2403902,2882076,2016,"Financial Year (Apr - Mar), 2016"
Arunachal Pradesh,2016-17,125,19982,31014,15744,50996,35726,2569,3347,3864,91688,114492,20203,22804,342,2944,3503,2016,"Financial Year (Apr - Mar), 2016"
Assam,2016-17,4154,2802255,761596,933890,3563851,3736145,181098,218002,266420,4806942,6293606,1282165,1486664,36176,240673,384179,2016,"Financial Year (Apr - Mar), 2016"
Bihar,2016-17,3531,1804252,207878,567831,2012130,2372084,98971,116232,148320,4127896,4769275,536902,641379,142688,247166,335018,2016,"Financial Year (Apr - Mar), 2016"
Chandigarh,2016-17,248,129447,37008,93945,166455,223392,5987,10348,36167,504297,588511,73922,84214,-7222,3070,3577,2016,"Financial Year (Apr - Mar), 2016"
Chhattisgarh,2016-17,3109,12513740,997278,1779409,13511018,14293149,146551,187374,577798,9159242,10866893,1138267,1707651,722160,1291546,1432718,2016,"Financial Year (Apr - Mar), 2016"
Dadra & Nagar Haveli,2016-17,1369,3003602,772494,1202941,3776096,4206543,94953,123227,308201,7723773,8845212,870751,1121439,-108550,142138,-336667,2016,"Financial Year (Apr - Mar), 2016"
Daman & Diu,2016-17,1799,1197057,954533,570272,2151590,1767329,90700,113925,264022,3651458,4464842,694636,813384,142874,261621,247296,2016,"Financial Year (Apr - Mar), 2016"
Delhi,2016-17,3507,602994,890604,1130609,1493598,1733603,75257,111370,284497,6030969,6715380,620589,684411,58935,122758,103992,2016,"Financial Year (Apr - Mar), 2016"
Goa,2016-17,647,996946,1112027,608996,2108973,1605942,44576,64324,245818,2893197,4401225,1367219,1508028,25226,166036,211314,2016,"Financial Year (Apr - Mar), 2016"
Gujarat,2016-17,25966,63304138,2662562,18149946,65966700,81454084,1246650,1634566,4321111,102299006,122220075,16543326,19921069,5930701,9308444,11581192,2016,"Financial Year (Apr - Mar), 2016"
Haryana,2016-17,8503,11632485,3151042,6402659,14783527,18035144,650051,826994,2268231,42142682,50038700,6690746,7896018,374926,1580198,2132009,2016,"Financial Year (Apr - Mar), 2016"
Himachal Pradesh,2016-17,2721,4304421,711070,1248458,5015491,5552878,141772,197826,556690,7647226,10859355,2832143,3212129,-111345,268640,317899,2016,"Financial Year (Apr - Mar), 2016"
Jammu and Kashmir,2016-17,1016,1003913,515759,387954,1519672,1391867,59028,75307,134412,2252020,3034727,695502,782707,-22696,64510,89851,2016,"Financial Year (Apr - Mar), 2016"
Jharkhand,2016-17,2858,10328969,428760,2400861,10757729,12729831,144620,189116,705670,9628571,12322755,2120637,2694184,-56861,516686,651728,2016,"Financial Year (Apr - Mar), 2016"
Kerala,2016-17,7697,4548354,1268404,1709895,5816758,6258249,249935,319568,689059,12082529,14318717,1991866,2236188,870598,1114921,1378297,2016,"Financial Year (Apr - Mar), 2016"
Madhya Pradesh,2016-17,4494,14932012,778730,3044069,15710742,17976081,280373,372587,907865,16499661,20467293,3050925,3967632,203307,1120014,1280359,2016,"Financial Year (Apr - Mar), 2016"
Maharashtra,2016-17,27010,33798216,20255727,16482040,54053943,50280256,1365361,1926154,6608311,83281871,107497036,20880019,24215165,825986,4161132,4683305,2016,"Financial Year (Apr - Mar), 2016"
Manipur,2016-17,188,15327,4271,4891,19598,20218,6942,8133,5462,27305,36295,7383,8990,1138,2745,3377,2016,"Financial Year (Apr - Mar), 2016"
Meghalaya,2016-17,120,377159,-17161,103309,359998,480468,10517,12367,24182,312606,395194,28578,82588,10984,64994,60838,2016,"Financial Year (Apr - Mar), 2016"
Nagaland,2016-17,192,21422,18316,11742,39738,33164,5109,5895,3437,37749,51746,12540,13997,-879,579,1527,2016,"Financial Year (Apr - Mar), 2016"
Odisha,2016-17,3051,33800626,-2300922,3177714,31499704,36978340,222789,272508,793763,12025645,15109219,1847663,3083574,653833,1889743,1497796,2016,"Financial Year (Apr - Mar), 2016"
Puducherry,2016-17,665,479119,267007,258177,746126,737296,37082,46728,115122,1717641,2264375,496782,546734,9606,59558,67391,2016,"Financial Year (Apr - Mar), 2016"
Punjab,2016-17,12489,4128112,3384773,3695024,7512885,7823137,531365,656255,1106470,16007202,18921535,2489373,2914333,9431,434391,435496,2016,"Financial Year (Apr - Mar), 2016"
Rajasthan,2016-17,9026,10080805,3612465,3932695,13693270,14013500,412774,533019,1311771,22032111,27054565,4166552,5022454,359669,1215571,1630299,2016,"Financial Year (Apr - Mar), 2016"
Sikkim,2016-17,71,710069,137840,158874,847909,868943,13372,17232,72684,649298,1677216,965582,1027918,71733,134069,173453,2016,"Financial Year (Apr - Mar), 2016"
Tamil Nadu,2016-17,37220,28244128,8028146,12011779,36272274,40255907,2003759,2408282,5275843,62248020,76552431,11788606,14304411,1186977,3702782,4500894,2016,"Financial Year (Apr - Mar), 2016"
Telangana,2016-17,15028,6931972,3535477,3842310,10467449,10774282,605994,724612,1349789,16161720,20381796,3551504,4220076,324470,993043,1422696,2016,"Financial Year (Apr - Mar), 2016"
Tripura,2016-17,585,46357,7980,23252,54337,69609,23956,27258,13129,98994,137953,33840,38959,-2239,2880,4834,2016,"Financial Year (Apr - Mar), 2016"
Uttar Pradesh,2016-17,15294,13270699,4064610,7542633,17335309,20813332,783541,1012882,2439831,39451590,49552268,9049549,10100678,502057,1553185,2189850,2016,"Financial Year (Apr - Mar), 2016"
Uttarakhand,2016-17,2987,5870612,1788076,2253138,7658688,8123750,344376,425616,930382,15548193,21013696,4951666,5465503,108522,622359,806853,2016,"Financial Year (Apr - Mar), 2016"
West Bengal,2016-17,9587,11383728,2540119,4562639,13923847,15946367,497977,640678,1374274,25114224,28823593,2904543,3709369,353342,1158168,1318750,2016,"Financial Year (Apr - Mar), 2016"
Jharkhand,2017-18,2866,10547093,801648,2135694,11348741,12682788,153026,192282,754377,11138310,14153289,2341836,3014980,-524314,148830,165471,2017,"Financial Year (Apr - Mar), 2017"
Andaman & Nicobar Islands,2017-18,18,2142,-1309,1306,833,3449,249,324,676,13314,14328,659,1013,-262,93,5,2017,"Financial Year (Apr - Mar), 2017"
Andhra Pradesh,2017-18,16296,18444500,1433683,5549586,19878183,23994086,486846,597292,1413502,26499187,31121259,3536269,4622072,413760,1499563,1994931,2017,"Financial Year (Apr - Mar), 2017"
Arunachal Pradesh,2017-18,117,19343,16633,13770,35976,33113,2671,3298,4089,84207,99998,12206,15791,-2935,650,1070,2017,"Financial Year (Apr - Mar), 2017"
Assam,2017-18,4538,2733666,906161,926654,3639827,3660320,180489,217155,287817,5154627,6732646,1364876,1578019,-21142,192001,282065,2017,"Financial Year (Apr - Mar), 2017"
Bihar,2017-18,3461,1997672,300904,644944,2298576,2642616,104057,121772,164551,5242202,6002667,640408,760466,203401,323458,387656,2017,"Financial Year (Apr - Mar), 2017"
Chandigarh,2017-18,233,103779,59463,58820,163242,162600,5414,9424,35641,415725,486470,61891,70746,-2232,6624,6358,2017,"Financial Year (Apr - Mar), 2017"
Chhattisgarh,2017-18,3352,11276704,374077,1956706,11650781,13233410,147310,185805,601571,10604081,12560528,1449542,1956447,359803,866708,1143164,2017,"Financial Year (Apr - Mar), 2017"
Dadra & Nagar Haveli,2017-18,1355,3016960,-962031,1016985,2054929,4033945,93928,119591,302699,9138745,10831397,1473519,1692652,76656,295789,70134,2017,"Financial Year (Apr - Mar), 2017"
Daman & Diu,2017-18,1745,1149170,1129903,623162,2279073,1772332,89854,115040,282751,3470568,4364063,765817,893495,83964,211642,245963,2017,"Financial Year (Apr - Mar), 2017"
Delhi,2017-18,3432,641472,510172,662156,1151644,1303627,68630,102248,293025,4027708,4655142,555781,627434,11541,83194,125305,2017,"Financial Year (Apr - Mar), 2017"
Goa,2017-18,715,1055445,1396634,784783,2452079,1840228,51377,76214,307252,3499376,5044696,1411722,1545319,13937,147534,243718,2017,"Financial Year (Apr - Mar), 2017"
Gujarat,2017-18,26586,67266206,4628200,19047793,71894406,86313999,1403204,1826748,5085110,113920424,135997115,18304059,22076691,2300135,6072768,7946587,2017,"Financial Year (Apr - Mar), 2017"
Haryana,2017-18,8891,11801700,3568034,6171379,15369734,17973079,674373,858313,2518243,43118410,50333586,6007400,7215175,456987,1664762,2191786,2017,"Financial Year (Apr - Mar), 2017"
Himachal Pradesh,2017-18,2671,4534824,1293444,1314289,5828268,5849113,146633,205781,624412,7966319,11291885,2964376,3325566,-94145,267045,335993,2017,"Financial Year (Apr - Mar), 2017"
Jammu and Kashmir,2017-18,1019,920266,517852,441728,1438118,1361994,58005,73498,137584,2566395,3288427,640797,722033,-27831,53405,87349,2017,"Financial Year (Apr - Mar), 2017"
Karnataka,2017-18,13518,19018695,5544690,7838556,24563385,26857251,828689,1065346,3323933,42675431,52893789,8721906,10218358,592043,2088495,2955372,2017,"Financial Year (Apr - Mar), 2017"
Kerala,2017-18,7649,4346595,1944115,1823124,6290710,6169720,241789,310326,728747,14173049,16356600,1887210,2183550,183020,479360,652914,2017,"Financial Year (Apr - Mar), 2017"
Madhya Pradesh,2017-18,4533,15416401,1161398,3858564,16577799,19274964,281063,378022,1007889,20824573,25723164,3991861,4898592,425244,1331975,1781838,2017,"Financial Year (Apr - Mar), 2017"
Maharashtra,2017-18,26393,35844136,11715241,17880963,47559377,53725099,1414565,2007794,7534324,94108687,119971795,22372401,25863108,1314811,4805518,6644687,2017,"Financial Year (Apr - Mar), 2017"
Manipur,2017-18,191,15929,2039,6696,17968,22625,7334,8532,6036,31824,42083,8376,10259,-214,1669,2884,2017,"Financial Year (Apr - Mar), 2017"
Meghalaya,2017-18,133,361974,69964,133103,431938,495077,10758,12689,28240,404219,568899,122400,164679,-30587,11693,41593,2017,"Financial Year (Apr - Mar), 2017"
Nagaland,2017-18,186,20764,18664,11369,39428,32133,5227,6004,3810,39617,54104,13167,14487,-911,409,104,2017,"Financial Year (Apr - Mar), 2017"
Odisha,2017-18,3066,33907302,-3533597,3806745,30373705,37714048,229036,279496,923326,18895455,22997037,2698489,4101583,-788554,614540,1205922,2017,"Financial Year (Apr - Mar), 2017"
Puducherry,2017-18,681,447633,430444,338170,878077,785802,39738,51816,139324,2508208,3069202,500796,560994,19573,79770,45315,2017,"Financial Year (Apr - Mar), 2017"
Punjab,2017-18,12726,4725230,3455601,3935475,8180831,8660706,569266,708232,1287757,18056120,21210410,2679446,3154290,256134,730978,1010768,2017,"Financial Year (Apr - Mar), 2017"
Rajasthan,2017-18,9212,10937405,3458758,4349174,14396163,15286579,432434,556103,1477445,24566286,29745019,4248614,5178733,502608,1432726,1903785,2017,"Financial Year (Apr - Mar), 2017"
Sikkim,2017-18,82,705218,305055,185651,1010273,890869,15069,19659,67252,694393,1836037,1064105,1141644,-13162,64377,89968,2017,"Financial Year (Apr - Mar), 2017"
Tamil Nadu,2017-18,37787,27754189,11232301,12693893,38986490,40448082,2095223,2523483,5752881,69972582,86380870,13701555,16408288,470805,3177538,3875005,2017,"Financial Year (Apr - Mar), 2017"
Telangana,2017-18,15263,8101026,4580255,4022345,12681281,12123370,669220,794520,1579695,17523505,22240202,3948741,4716697,537289,1305245,1726507,2017,"Financial Year (Apr - Mar), 2017"
Tripura,2017-18,607,45161,18337,31702,63498,76863,23393,26632,13734,120572,155929,30480,35357,-1230,3648,5194,2017,"Financial Year (Apr - Mar), 2017"
Uttar Pradesh,2017-18,15830,13845026,3789457,7847833,17634483,21692859,839121,1070841,2654962,43032444,51463543,7285531,8431099,310599,1456168,1864619,2017,"Financial Year (Apr - Mar), 2017"
Uttarakhand,2017-18,2998,5842010,1962133,2212010,7804143,8054019,339694,426587,963719,18641893,23618613,4445813,4976720,-23378,507529,517306,2017,"Financial Year (Apr - Mar), 2017"
West Bengal,2017-18,9534,11743291,2283569,5180424,14026860,16923715,516740,663751,1529343,27391759,31912464,3715370,4520705,537768,1343104,1910502,2017,"Financial Year (Apr - Mar), 2017"
Tamil Nadu,2018-19,38131,28276628,10453794,13956396,38730422,42233024,2112058,2553599,6354913,77125135,93953310,14079539,16828175,567537,3316174,4886573,2018,"Financial Year (Apr - Mar), 2018"
Uttarakhand,2018-19,3002,5605314,2727060,2455267,8332374,8060581,333496,411486,1022504,20044431,25569341,5004840,5524910,-38350,481720,742291,2018,"Financial Year (Apr - Mar), 2018"
Tripura,2018-19,621,45781,7810,31895,53591,77676,21731,25050,14384,149729,181849,26736,32120,-1384,4000,8128,2018,"Financial Year (Apr - Mar), 2018"
Andaman & Nicobar Islands,2018-19,14,1511,862,903,2373,2414,213,289,718,3287,4402,889,1116,-138,89,326,2018,"Financial Year (Apr - Mar), 2018"
Andhra Pradesh,2018-19,16739,18875049,3980924,6558372,22855973,25433421,512694,633142,1569781,32713649,37614334,3112374,4900685,312541,2100851,2770188,2018,"Financial Year (Apr - Mar), 2018"
Arunachal Pradesh,2018-19,115,17139,21461,10690,38600,27829,2470,3103,4029,91013,106282,12463,15270,-1057,1750,2085,2018,"Financial Year (Apr - Mar), 2018"
Assam,2018-19,5020,3063797,970637,890570,4034434,3954367,200433,237953,377559,6433955,8100540,1415078,1666585,1572,253079,329812,2018,"Financial Year (Apr - Mar), 2018"
Bihar,2018-19,3422,2353563,348081,750568,2701644,3104131,111181,130004,200972,6113678,6841844,595922,728166,63673,195917,322376,2018,"Financial Year (Apr - Mar), 2018"
Chandigarh,2018-19,233,98553,95413,66776,193966,165329,6221,9604,37580,390967,442146,42473,51179,-11228,-2522,1772,2018,"Financial Year (Apr - Mar), 2018"
Chhattisgarh,2018-19,3576,11523679,1252319,2487520,12775998,14011199,170823,213167,690610,14671040,17133370,1874773,2462331,403110,990668,1539915,2018,"Financial Year (Apr - Mar), 2018"
Dadra & Nagar Haveli,2018-19,1335,3102487,831166,1130062,3933653,4232549,103140,128024,341800,9363307,10368341,791313,1005034,162172,375892,476246,2018,"Financial Year (Apr - Mar), 2018"
Daman & Diu,2018-19,1709,1135121,924069,694486,2059190,1829607,90356,114583,301584,4207360,5024273,698431,816913,36320,154802,236746,2018,"Financial Year (Apr - Mar), 2018"
Delhi,2018-19,3376,735863,627124,674568,1362987,1410431,74488,110483,343798,4403596,5011126,530066,607531,22378,99843,100439,2018,"Financial Year (Apr - Mar), 2018"
Goa,2018-19,708,1135862,1022638,852002,2158500,1987864,54271,76522,317588,3710831,5224251,1373321,1513420,40674,180773,269971,2018,"Financial Year (Apr - Mar), 2018"
Gujarat,2018-19,26842,70969627,7916675,21415721,78886302,92385348,1489877,1945254,5736290,139068931,161930548,18762157,22861618,2634278,6733738,8895514,2018,"Financial Year (Apr - Mar), 2018"
Haryana,2018-19,11835,13996755,5643826,8026644,19640581,22023399,802213,1016463,3137567,53057326,62391961,7889276,9334636,795463,2240823,3174109,2018,"Financial Year (Apr - Mar), 2018"
Telangana,2018-19,15167,9956161,5226433,4608648,15182594,14564809,659251,780204,1738621,21108722,26867828,4868162,5759106,475264,1366208,1962330,2018,"Financial Year (Apr - Mar), 2018"
Himachal Pradesh,2018-19,2691,4481462,1234909,1427573,5716371,5909035,155261,218196,689057,8409638,11638767,2836230,3229128,116860,509758,583595,2018,"Financial Year (Apr - Mar), 2018"
Uttar Pradesh,2018-19,15854,14392066,5923912,8803984,20315978,23196050,859032,1101163,2934079,49616067,57905351,7100261,8289283,578883,1767906,2971102,2018,"Financial Year (Apr - Mar), 2018"
Jammu and Kashmir,2018-19,1000,867609,506032,439832,1373641,1307441,58923,74661,157215,2505804,3233252,650387,727447,-7416,69644,111208,2018,"Financial Year (Apr - Mar), 2018"
Jharkhand,2018-19,2857,10212081,1989512,2301800,12201593,12513881,172842,235320,797587,13097713,16825465,3125397,3727752,-589499,12855,194247,2018,"Financial Year (Apr - Mar), 2018"
West Bengal,2018-19,9420,12459726,170256,5473662,12629982,17933388,551871,701692,1671657,31433544,36533341,4178172,5099797,155222,1076847,1490094,2018,"Financial Year (Apr - Mar), 2018"
Karnataka,2018-19,13789,20716277,6144195,8518634,26860472,29234911,842367,1076026,3505600,47332118,57908052,8847067,10575933,980096,2708962,3673197,2018,"Financial Year (Apr - Mar), 2018"
Kerala,2018-19,7696,4795992,1563296,2117473,6359288,6913465,275123,349971,875662,19739583,22076746,1978951,2337162,315446,673658,758482,2018,"Financial Year (Apr - Mar), 2018"
Madhya Pradesh,2018-19,4640,15604439,895480,4034740,16499919,19639179,314728,411134,1116779,23599259,29291235,4699683,5691976,459419,1451712,1915100,2018,"Financial Year (Apr - Mar), 2018"
Maharashtra,2018-19,25972,42383056,13578802,20054541,55961858,62437597,1473792,2035306,7962167,109817639,133055982,19621798,23238343,2205815,5822360,8147601,2018,"Financial Year (Apr - Mar), 2018"
Manipur,2018-19,197,15082,1670,7429,16752,22511,7558,8760,6428,35685,46742,9131,11057,-780,1147,2329,2018,"Financial Year (Apr - Mar), 2018"
Meghalaya,2018-19,148,362247,101269,129194,463516,491441,10802,12848,33385,553383,713670,120267,160287,-23744,16276,12920,2018,"Financial Year (Apr - Mar), 2018"
Nagaland,2018-19,187,20221,17832,11309,38053,31530,5073,5936,3939,41498,57320,14690,15822,-703,429,370,2018,"Financial Year (Apr - Mar), 2018"
Odisha,2018-19,3063,30927574,-2010373,4011614,28917201,34939188,233064,281520,995449,24933019,30238991,3722012,5305972,-1939331,-355371,210853,2018,"Financial Year (Apr - Mar), 2018"
Puducherry,2018-19,703,541476,389669,428711,931145,970187,44054,56477,167020,3042646,3794303,694099,751657,39732,97290,118713,2018,"Financial Year (Apr - Mar), 2018"
Punjab,2018-19,12825,4990543,3969390,4085185,8959933,9075728,564103,704770,1346898,19643701,23063651,2939632,3419950,244674,724993,972131,2018,"Financial Year (Apr - Mar), 2018"
Rajasthan,2018-19,9424,12270956,4052353,4436998,16323309,16707954,464518,591685,1671110,27598966,33277014,4669013,5678048,367768,1376804,1778393,2018,"Financial Year (Apr - Mar), 2018"
Sikkim,2018-19,84,743555,294388,228520,1037943,972075,17241,22624,80804,747285,1910564,1084827,1163279,-55249,23203,57305,2018,"Financial Year (Apr - Mar), 2018"
