ROWID,Country,State lgd code,State,YearCode,Year,State Development Loans,Power bonds,Compensation and other bonds,Special securities issued to National Small Savings Fund (NSSF),Ways and Means Advances (WMA) ,Loans from Life Insurance Corporation of India,Loans from General Insurance Corporation of India,Loans from National Bank for Agriculture and Rural Development (NABARD),Loans from State Bank of India (SBI) and other banks as on end-March,Loans from National Co-operative Development Corporation (NCDC ) as on end-March,Loans from other institutions,Loans from banks and Financial Institutions,Total internal debt,Loans and Advances from Centre,Provident Funds,Reserve Funds,Deposits and Advances,Contingency funds,Total outstanding liabilities
267,India,28,Andhra Pradesh,2013,"Financial Year (Apr - Mar), 2013",53742.42237998121015157322,428.47634626246103177986,0.00000000000000000000,15223.51253779567430559032,0.00000000000000000000,286.04166480996030575728,49.23668000827185590904,3005.935411069463730,0.00000000000000000000,40.44441572108045306814,-1700.42391314281730943006,1799.48342411184044810420,71194.48083910366536390366,10134.54996836929034127740,7294.64860360646722366670,4364.47999216181237022276,9126.37033010467614885420,28.13524571901248909088,102142.66497906492393701560
268,India,28,Andhra Pradesh,2014,"Financial Year (Apr - Mar), 2014",65281.39003049120723997038,356.96593005997095534054,0.00000000000000000000,14874.75272107041532623462,0.00000000000000000000,223.32351289466163215886,44.54747238843644106056,2915.136986832656289,0.00000000000000000000,90.85339763431116268930,-2148.24324083709942745990,1240.88156639894665427902,81753.40409706806074896850,10200.19887504698614915612,7923.58857561689224021908,5273.60011945740342397182,9826.23456736511181498984,27.54909476653306223482,115003.98917836850801268412
269,India,28,Andhra Pradesh,2015,"Financial Year (Apr - Mar), 2015",79943,142,0,15098,1296,180,39,2922,0,65,270,3475,99953,16843,744,-14,5030,50,122606
270,India,28,Andhra Pradesh,2016,"Financial Year (Apr - Mar), 2016",94928,,1500,15855,0,154,34,3079,0,43,140,3450,115733,16520,1997,35,13600,50,147935
271,India,28,Andhra Pradesh,2017,"Financial Year (Apr - Mar), 2017",158429,8256,1500,14721,0,129,29,3376,0,49,21,3604,186510,16217,13568,2628,35310,50,254283
272,India,28,Andhra Pradesh,2018,"Financial Year (Apr - Mar), 2018",129969,8256,1500,13659,230,103,24,4468,,42,-22,4615,158230,16169,13509,1487,39889,50,229334
273,India,28,Andhra Pradesh,2019,"Financial Year (Apr - Mar), 2019",155376,8256,1500,12504,370,81,20,5081,0,138,-53,5267,183274,17043,15730,2785,45570,50,264451
274,India,28,Andhra Pradesh,2020,"Financial Year (Apr - Mar), 2020",188820,8256,1500,11331,0,61,20,5596,0,119,-87,5709,215617,17353,15648,5700,54777,50,309144
275,India,28,Andhra Pradesh,2021,"Financial Year (Apr - Mar), 2021",232659,8256,1500,10119,1500,42,20,6788,0,96,-218,6728,260762,18530,17891,5373,54834,50,357439
276,India,29,Karnataka,2011,"Financial Year (Apr - Mar), 2011",24563,,,21436,,406,43,2398,0,-85,0,2762,48761,10518,12784,11628,9688,67,93447
277,India,29,Karnataka,2012,"Financial Year (Apr - Mar), 2012",31770,0,0,20591,0,366,38,2673,0,-106,0,2970,55332,11009,14182,14389,11099,79,106089
278,India,29,Karnataka,2013,"Financial Year (Apr - Mar), 2013",32160,0,0,20074,0,326,33,3184,0,-119,0,3424,55658,11655,15914,15751,13609,80,112667
279,India,29,Karnataka,2014,"Financial Year (Apr - Mar), 2014",53326,0,0,19730,0,287,28,3180,0,-123,0,3371,76428,12113,18021,15885,16450,80,138976
280,India,29,Karnataka,2015,"Financial Year (Apr - Mar), 2015",69419,0,0,20167,0,248,22,3158,0,-112,0,3318,92904,12699,20176,12632,19878,80,158370
281,India,29,Karnataka,2016,"Financial Year (Apr - Mar), 2016",84333,,0,21729,0,211,18,3371,0,-118,0,3482,109545,13021,22262,20643,20147,80,185698
282,India,29,Karnataka,2017,"Financial Year (Apr - Mar), 2017",108359,,0,20157,0,175,13,3908,0,-123,0,3973,132489,13812,24920,16384,23484,80,211169
283,India,29,Karnataka,2018,"Financial Year (Apr - Mar), 2018",125707,,0,18584,,139,8,4270,0,-128,0,4289,148581,14573,27731,29675,25311,80,245951
284,India,29,Karnataka,2019,"Financial Year (Apr - Mar), 2019",157890,0,0,16989,0,105,4,4454,0,-134,0,4430,179309,14666,31023,32872,28379,80,286329
285,India,29,Karnataka,2020,"Financial Year (Apr - Mar), 2020",200390,0,0,15361,0,73,4,4672,0,-134,-4,4612,220363,14201,35195,30250,26649,80,326737
286,India,29,Karnataka,2021,"Financial Year (Apr - Mar), 2021",242863,0,0,13733,0,40,4,4825,0,-134,-7,4729,261325,14551,39728,29371,25029,80,370084
287,India,30,Goa,2011,"Financial Year (Apr - Mar), 2011",2610,,,3060,,19,0,253,137,1,115,524,6195,581,1295,605,854,30,9560
288,India,30,Goa,2012,"Financial Year (Apr - Mar), 2012",3061,0,0,3053,0,17,0,313,0,1,102,432,6546,668,1467,229,1011,30,9951
289,India,30,Goa,2013,"Financial Year (Apr - Mar), 2013",3756,0,0,3010,0,15,0,396,0,1,108,520,7286,777,1617,340,1203,30,11254
290,India,30,Goa,2014,"Financial Year (Apr - Mar), 2014",4637,0,0,2925,0,13,0,452,0,1,96,562,8123,899,1732,953,1539,30,13277
291,India,30,Goa,2015,"Financial Year (Apr - Mar), 2015",5304,,,2902,0,11,0,539,0,1,85,636,8842,1075,1844,447,1650,230,14087
292,India,30,Goa,2016,"Financial Year (Apr - Mar), 2016",6589,,,2909,0,9,0,579,0,1,74,664,10161,1159,1956,696,1578,100,15651
293,India,30,Goa,2017,"Financial Year (Apr - Mar), 2017",7760,,,2719,0,8,0,596,0,1,68,672,11151,1224,2079,773,1576,100,16903
294,India,30,Goa,2018,"Financial Year (Apr - Mar), 2018",9160,,,2540,,6,,620,,1,61,688,12388,1214,2315,872,1753,100,18642
295,India,30,Goa,2019,"Financial Year (Apr - Mar), 2019",11010,0,0,2341,0,4,0,608,0,0,55,668,14019,1192,2422,896,1874,98,20500
296,India,30,Goa,2020,"Financial Year (Apr - Mar), 2020",13010,0,0,2136,0,3,0,687,0,0,48,739,15886,1178,2534,921,2000,98,22617
