ROWID,Country,State lgd code,State,YearCode,Year,Infant mortality rate-per 1000 live births
136,India,7,Delhi,2002,"Calendar Year (Jan - Dec), 2002",30
137,India,7,Delhi,2003,"Calendar Year (Jan - Dec), 2003",28
138,India,7,Delhi,2004,"Calendar Year (Jan - Dec), 2004",32
139,India,7,Delhi,2005,"Calendar Year (Jan - Dec), 2005",35
140,India,7,Delhi,2006,"Calendar Year (Jan - Dec), 2006",37
141,India,7,Delhi,2007,"Calendar Year (Jan - Dec), 2007",36
142,India,7,Delhi,2008,"Calendar Year (Jan - Dec), 2008",35
143,India,7,Delhi,2009,"Calendar Year (Jan - Dec), 2009",33
144,India,7,Delhi,2010,"Calendar Year (Jan - Dec), 2010",30
145,India,7,Delhi,2011,"Calendar Year (Jan - Dec), 2011",28
146,India,7,Delhi,2012,"Calendar Year (Jan - Dec), 2012",25
147,India,7,Delhi,2013,"Calendar Year (Jan - Dec), 2013",24
148,India,7,Delhi,2014,"Calendar Year (Jan - Dec), 2014",20
149,India,7,Delhi,2015,"Calendar Year (Jan - Dec), 2015",18
150,India,7,Delhi,2016,"Calendar Year (Jan - Dec), 2016",18
151,India,7,Delhi,2017,"Calendar Year (Jan - Dec), 2017",16
152,India,7,Delhi,2018,"Calendar Year (Jan - Dec), 2018",13
153,India,8,Rajasthan,1997,"Calendar Year (Jan - Dec), 1997",85
154,India,8,Rajasthan,1998,"Calendar Year (Jan - Dec), 1998",83
155,India,8,Rajasthan,1999,"Calendar Year (Jan - Dec), 1999",81
156,India,8,Rajasthan,2000,"Calendar Year (Jan - Dec), 2000",79
157,India,8,Rajasthan,2001,"Calendar Year (Jan - Dec), 2001",79
158,India,8,Rajasthan,2002,"Calendar Year (Jan - Dec), 2002",78
159,India,8,Rajasthan,2003,"Calendar Year (Jan - Dec), 2003",75
160,India,8,Rajasthan,2004,"Calendar Year (Jan - Dec), 2004",67
161,India,8,Rajasthan,2005,"Calendar Year (Jan - Dec), 2005",68
162,India,8,Rajasthan,2006,"Calendar Year (Jan - Dec), 2006",67
163,India,8,Rajasthan,2007,"Calendar Year (Jan - Dec), 2007",65
164,India,8,Rajasthan,2008,"Calendar Year (Jan - Dec), 2008",63
165,India,8,Rajasthan,2009,"Calendar Year (Jan - Dec), 2009",59
166,India,8,Rajasthan,2010,"Calendar Year (Jan - Dec), 2010",55
167,India,8,Rajasthan,2011,"Calendar Year (Jan - Dec), 2011",52
168,India,8,Rajasthan,2012,"Calendar Year (Jan - Dec), 2012",49
169,India,8,Rajasthan,2013,"Calendar Year (Jan - Dec), 2013",47
170,India,8,Rajasthan,2014,"Calendar Year (Jan - Dec), 2014",46
171,India,8,Rajasthan,2015,"Calendar Year (Jan - Dec), 2015",43
172,India,8,Rajasthan,2016,"Calendar Year (Jan - Dec), 2016",41
173,India,8,Rajasthan,2017,"Calendar Year (Jan - Dec), 2017",38
174,India,8,Rajasthan,2018,"Calendar Year (Jan - Dec), 2018",37
175,India,9,Uttar Pradesh,1997,"Calendar Year (Jan - Dec), 1997",85
176,India,9,Uttar Pradesh,1998,"Calendar Year (Jan - Dec), 1998",85
177,India,9,Uttar Pradesh,1999,"Calendar Year (Jan - Dec), 1999",84
178,India,9,Uttar Pradesh,2000,"Calendar Year (Jan - Dec), 2000",83
179,India,9,Uttar Pradesh,2001,"Calendar Year (Jan - Dec), 2001",82
180,India,9,Uttar Pradesh,2002,"Calendar Year (Jan - Dec), 2002",80
181,India,9,Uttar Pradesh,2003,"Calendar Year (Jan - Dec), 2003",76
182,India,9,Uttar Pradesh,2004,"Calendar Year (Jan - Dec), 2004",72
183,India,9,Uttar Pradesh,2005,"Calendar Year (Jan - Dec), 2005",73
184,India,9,Uttar Pradesh,2006,"Calendar Year (Jan - Dec), 2006",71
185,India,9,Uttar Pradesh,2007,"Calendar Year (Jan - Dec), 2007",69
186,India,9,Uttar Pradesh,2008,"Calendar Year (Jan - Dec), 2008",67
187,India,9,Uttar Pradesh,2009,"Calendar Year (Jan - Dec), 2009",63
188,India,9,Uttar Pradesh,2010,"Calendar Year (Jan - Dec), 2010",61
189,India,9,Uttar Pradesh,2011,"Calendar Year (Jan - Dec), 2011",57
190,India,9,Uttar Pradesh,2012,"Calendar Year (Jan - Dec), 2012",53
191,India,9,Uttar Pradesh,2013,"Calendar Year (Jan - Dec), 2013",50
192,India,9,Uttar Pradesh,2014,"Calendar Year (Jan - Dec), 2014",48
193,India,9,Uttar Pradesh,2015,"Calendar Year (Jan - Dec), 2015",46
194,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",43
195,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",41
196,India,9,Uttar Pradesh,2018,"Calendar Year (Jan - Dec), 2018",43
197,India,10,Bihar,1997,"Calendar Year (Jan - Dec), 1997",71
198,India,10,Bihar,1998,"Calendar Year (Jan - Dec), 1998",67
199,India,10,Bihar,1999,"Calendar Year (Jan - Dec), 1999",63
200,India,10,Bihar,2000,"Calendar Year (Jan - Dec), 2000",62
201,India,10,Bihar,2001,"Calendar Year (Jan - Dec), 2001",62
202,India,10,Bihar,2002,"Calendar Year (Jan - Dec), 2002",61
203,India,10,Bihar,2003,"Calendar Year (Jan - Dec), 2003",60
204,India,10,Bihar,2004,"Calendar Year (Jan - Dec), 2004",61
205,India,10,Bihar,2005,"Calendar Year (Jan - Dec), 2005",61
206,India,10,Bihar,2006,"Calendar Year (Jan - Dec), 2006",60
207,India,10,Bihar,2007,"Calendar Year (Jan - Dec), 2007",58
208,India,10,Bihar,2008,"Calendar Year (Jan - Dec), 2008",56
209,India,10,Bihar,2009,"Calendar Year (Jan - Dec), 2009",52
210,India,10,Bihar,2010,"Calendar Year (Jan - Dec), 2010",48
211,India,10,Bihar,2011,"Calendar Year (Jan - Dec), 2011",44
212,India,10,Bihar,2012,"Calendar Year (Jan - Dec), 2012",43
213,India,10,Bihar,2013,"Calendar Year (Jan - Dec), 2013",42
214,India,10,Bihar,2014,"Calendar Year (Jan - Dec), 2014",42
215,India,10,Bihar,2015,"Calendar Year (Jan - Dec), 2015",42
216,India,10,Bihar,2016,"Calendar Year (Jan - Dec), 2016",38
217,India,10,Bihar,2017,"Calendar Year (Jan - Dec), 2017",35
218,India,10,Bihar,2018,"Calendar Year (Jan - Dec), 2018",32
219,India,11,Sikkim,1997,"Calendar Year (Jan - Dec), 1997",51
220,India,11,Sikkim,1998,"Calendar Year (Jan - Dec), 1998",52
221,India,11,Sikkim,1999,"Calendar Year (Jan - Dec), 1999",49
222,India,11,Sikkim,2000,"Calendar Year (Jan - Dec), 2000",49
223,India,11,Sikkim,2001,"Calendar Year (Jan - Dec), 2001",42
224,India,11,Sikkim,2002,"Calendar Year (Jan - Dec), 2002",34
225,India,11,Sikkim,2003,"Calendar Year (Jan - Dec), 2003",33
226,India,11,Sikkim,2004,"Calendar Year (Jan - Dec), 2004",32
227,India,11,Sikkim,2005,"Calendar Year (Jan - Dec), 2005",30
228,India,11,Sikkim,2006,"Calendar Year (Jan - Dec), 2006",33
229,India,11,Sikkim,2007,"Calendar Year (Jan - Dec), 2007",34
230,India,11,Sikkim,2008,"Calendar Year (Jan - Dec), 2008",33
231,India,11,Sikkim,2009,"Calendar Year (Jan - Dec), 2009",34
232,India,11,Sikkim,2010,"Calendar Year (Jan - Dec), 2010",30
233,India,11,Sikkim,2011,"Calendar Year (Jan - Dec), 2011",26
234,India,11,Sikkim,2012,"Calendar Year (Jan - Dec), 2012",24
235,India,11,Sikkim,2013,"Calendar Year (Jan - Dec), 2013",22
236,India,11,Sikkim,2014,"Calendar Year (Jan - Dec), 2014",19
237,India,11,Sikkim,2015,"Calendar Year (Jan - Dec), 2015",18
238,India,11,Sikkim,2016,"Calendar Year (Jan - Dec), 2016",16
239,India,11,Sikkim,2017,"Calendar Year (Jan - Dec), 2017",12
240,India,11,Sikkim,2018,"Calendar Year (Jan - Dec), 2018",7
241,India,12,Arunachal Pradesh,1997,"Calendar Year (Jan - Dec), 1997",47
242,India,12,Arunachal Pradesh,1998,"Calendar Year (Jan - Dec), 1998",44
243,India,12,Arunachal Pradesh,1999,"Calendar Year (Jan - Dec), 1999",43
244,India,12,Arunachal Pradesh,2000,"Calendar Year (Jan - Dec), 2000",44
245,India,12,Arunachal Pradesh,2001,"Calendar Year (Jan - Dec), 2001",39
246,India,12,Arunachal Pradesh,2002,"Calendar Year (Jan - Dec), 2002",37
247,India,12,Arunachal Pradesh,2003,"Calendar Year (Jan - Dec), 2003",34
248,India,12,Arunachal Pradesh,2004,"Calendar Year (Jan - Dec), 2004",38
249,India,12,Arunachal Pradesh,2005,"Calendar Year (Jan - Dec), 2005",37
250,India,12,Arunachal Pradesh,2006,"Calendar Year (Jan - Dec), 2006",40
251,India,12,Arunachal Pradesh,2007,"Calendar Year (Jan - Dec), 2007",37
252,India,12,Arunachal Pradesh,2008,"Calendar Year (Jan - Dec), 2008",32
253,India,12,Arunachal Pradesh,2009,"Calendar Year (Jan - Dec), 2009",32
254,India,12,Arunachal Pradesh,2010,"Calendar Year (Jan - Dec), 2010",31
255,India,12,Arunachal Pradesh,2011,"Calendar Year (Jan - Dec), 2011",32
256,India,12,Arunachal Pradesh,2012,"Calendar Year (Jan - Dec), 2012",33
257,India,12,Arunachal Pradesh,2013,"Calendar Year (Jan - Dec), 2013",32
258,India,12,Arunachal Pradesh,2014,"Calendar Year (Jan - Dec), 2014",30
259,India,12,Arunachal Pradesh,2015,"Calendar Year (Jan - Dec), 2015",30
260,India,12,Arunachal Pradesh,2016,"Calendar Year (Jan - Dec), 2016",36
261,India,12,Arunachal Pradesh,2017,"Calendar Year (Jan - Dec), 2017",42
262,India,12,Arunachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",37
263,India,13,Nagaland,1997,"Calendar Year (Jan - Dec), 1997",
264,India,13,Nagaland,1998,"Calendar Year (Jan - Dec), 1998",
265,India,13,Nagaland,1999,"Calendar Year (Jan - Dec), 1999",
266,India,13,Nagaland,2000,"Calendar Year (Jan - Dec), 2000",
267,India,13,Nagaland,2001,"Calendar Year (Jan - Dec), 2001",13
268,India,13,Nagaland,2002,"Calendar Year (Jan - Dec), 2002",
269,India,13,Nagaland,2003,"Calendar Year (Jan - Dec), 2003",
270,India,13,Nagaland,2004,"Calendar Year (Jan - Dec), 2004",17
271,India,13,Nagaland,2005,"Calendar Year (Jan - Dec), 2005",18
272,India,13,Nagaland,2006,"Calendar Year (Jan - Dec), 2006",20
273,India,13,Nagaland,2007,"Calendar Year (Jan - Dec), 2007",21
274,India,13,Nagaland,2008,"Calendar Year (Jan - Dec), 2008",26
275,India,13,Nagaland,2009,"Calendar Year (Jan - Dec), 2009",26
276,India,13,Nagaland,2010,"Calendar Year (Jan - Dec), 2010",23
277,India,13,Nagaland,2011,"Calendar Year (Jan - Dec), 2011",21
278,India,13,Nagaland,2012,"Calendar Year (Jan - Dec), 2012",18
279,India,13,Nagaland,2013,"Calendar Year (Jan - Dec), 2013",18
280,India,13,Nagaland,2014,"Calendar Year (Jan - Dec), 2014",14
281,India,13,Nagaland,2015,"Calendar Year (Jan - Dec), 2015",12
282,India,13,Nagaland,2016,"Calendar Year (Jan - Dec), 2016",12
283,India,13,Nagaland,2017,"Calendar Year (Jan - Dec), 2017",7
284,India,13,Nagaland,2018,"Calendar Year (Jan - Dec), 2018",4
285,India,14,Manipur,1997,"Calendar Year (Jan - Dec), 1997",30
286,India,14,Manipur,1998,"Calendar Year (Jan - Dec), 1998",25
287,India,14,Manipur,1999,"Calendar Year (Jan - Dec), 1999",25
288,India,14,Manipur,2000,"Calendar Year (Jan - Dec), 2000",23
289,India,14,Manipur,2001,"Calendar Year (Jan - Dec), 2001",20
290,India,14,Manipur,2002,"Calendar Year (Jan - Dec), 2002",14
291,India,14,Manipur,2003,"Calendar Year (Jan - Dec), 2003",16
292,India,14,Manipur,2004,"Calendar Year (Jan - Dec), 2004",14
293,India,14,Manipur,2005,"Calendar Year (Jan - Dec), 2005",13
294,India,14,Manipur,2006,"Calendar Year (Jan - Dec), 2006",11
295,India,14,Manipur,2007,"Calendar Year (Jan - Dec), 2007",12
296,India,14,Manipur,2008,"Calendar Year (Jan - Dec), 2008",14
297,India,14,Manipur,2009,"Calendar Year (Jan - Dec), 2009",16
298,India,14,Manipur,2010,"Calendar Year (Jan - Dec), 2010",14
299,India,14,Manipur,2011,"Calendar Year (Jan - Dec), 2011",11
300,India,14,Manipur,2012,"Calendar Year (Jan - Dec), 2012",10
301,India,14,Manipur,2013,"Calendar Year (Jan - Dec), 2013",10
302,India,14,Manipur,2014,"Calendar Year (Jan - Dec), 2014",11
303,India,14,Manipur,2015,"Calendar Year (Jan - Dec), 2015",9
304,India,14,Manipur,2016,"Calendar Year (Jan - Dec), 2016",11
305,India,14,Manipur,2017,"Calendar Year (Jan - Dec), 2017",12
306,India,14,Manipur,2018,"Calendar Year (Jan - Dec), 2018",11
307,India,15,Mizoram,1997,"Calendar Year (Jan - Dec), 1997",19
308,India,15,Mizoram,1998,"Calendar Year (Jan - Dec), 1998",23
309,India,15,Mizoram,1999,"Calendar Year (Jan - Dec), 1999",19
310,India,15,Mizoram,2000,"Calendar Year (Jan - Dec), 2000",21
311,India,15,Mizoram,2001,"Calendar Year (Jan - Dec), 2001",19
312,India,15,Mizoram,2002,"Calendar Year (Jan - Dec), 2002",14
313,India,15,Mizoram,2003,"Calendar Year (Jan - Dec), 2003",16
314,India,15,Mizoram,2004,"Calendar Year (Jan - Dec), 2004",19
315,India,15,Mizoram,2005,"Calendar Year (Jan - Dec), 2005",20
316,India,15,Mizoram,2006,"Calendar Year (Jan - Dec), 2006",25
317,India,15,Mizoram,2007,"Calendar Year (Jan - Dec), 2007",23
318,India,15,Mizoram,2008,"Calendar Year (Jan - Dec), 2008",37
319,India,15,Mizoram,2009,"Calendar Year (Jan - Dec), 2009",36
320,India,15,Mizoram,2010,"Calendar Year (Jan - Dec), 2010",37
321,India,15,Mizoram,2011,"Calendar Year (Jan - Dec), 2011",34
322,India,15,Mizoram,2012,"Calendar Year (Jan - Dec), 2012",35
323,India,15,Mizoram,2013,"Calendar Year (Jan - Dec), 2013",35
324,India,15,Mizoram,2014,"Calendar Year (Jan - Dec), 2014",32
325,India,15,Mizoram,2015,"Calendar Year (Jan - Dec), 2015",32
326,India,15,Mizoram,2016,"Calendar Year (Jan - Dec), 2016",27
327,India,15,Mizoram,2017,"Calendar Year (Jan - Dec), 2017",15
328,India,15,Mizoram,2018,"Calendar Year (Jan - Dec), 2018",5
329,India,16,Tripura,1997,"Calendar Year (Jan - Dec), 1997",51
330,India,16,Tripura,1998,"Calendar Year (Jan - Dec), 1998",49
331,India,16,Tripura,1999,"Calendar Year (Jan - Dec), 1999",42
332,India,16,Tripura,2000,"Calendar Year (Jan - Dec), 2000",41
333,India,16,Tripura,2001,"Calendar Year (Jan - Dec), 2001",39
334,India,16,Tripura,2002,"Calendar Year (Jan - Dec), 2002",34
335,India,16,Tripura,2003,"Calendar Year (Jan - Dec), 2003",32
336,India,16,Tripura,2004,"Calendar Year (Jan - Dec), 2004",32
337,India,16,Tripura,2005,"Calendar Year (Jan - Dec), 2005",31
338,India,16,Tripura,2006,"Calendar Year (Jan - Dec), 2006",36
339,India,16,Tripura,2007,"Calendar Year (Jan - Dec), 2007",39
340,India,16,Tripura,2008,"Calendar Year (Jan - Dec), 2008",34
341,India,16,Tripura,2009,"Calendar Year (Jan - Dec), 2009",31
342,India,16,Tripura,2010,"Calendar Year (Jan - Dec), 2010",27
343,India,16,Tripura,2011,"Calendar Year (Jan - Dec), 2011",29
344,India,16,Tripura,2012,"Calendar Year (Jan - Dec), 2012",28
345,India,16,Tripura,2013,"Calendar Year (Jan - Dec), 2013",26
346,India,16,Tripura,2014,"Calendar Year (Jan - Dec), 2014",21
347,India,16,Tripura,2015,"Calendar Year (Jan - Dec), 2015",20
348,India,16,Tripura,2016,"Calendar Year (Jan - Dec), 2016",24
349,India,16,Tripura,2017,"Calendar Year (Jan - Dec), 2017",29
350,India,16,Tripura,2018,"Calendar Year (Jan - Dec), 2018",27
351,India,17,Meghalaya,1997,"Calendar Year (Jan - Dec), 1997",54
352,India,17,Meghalaya,1998,"Calendar Year (Jan - Dec), 1998",52
353,India,17,Meghalaya,1999,"Calendar Year (Jan - Dec), 1999",56
354,India,17,Meghalaya,2000,"Calendar Year (Jan - Dec), 2000",58
355,India,17,Meghalaya,2001,"Calendar Year (Jan - Dec), 2001",56
356,India,17,Meghalaya,2002,"Calendar Year (Jan - Dec), 2002",61
357,India,17,Meghalaya,2003,"Calendar Year (Jan - Dec), 2003",57
358,India,17,Meghalaya,2004,"Calendar Year (Jan - Dec), 2004",54
359,India,17,Meghalaya,2005,"Calendar Year (Jan - Dec), 2005",49
360,India,17,Meghalaya,2006,"Calendar Year (Jan - Dec), 2006",53
361,India,17,Meghalaya,2007,"Calendar Year (Jan - Dec), 2007",56
362,India,17,Meghalaya,2008,"Calendar Year (Jan - Dec), 2008",58
363,India,17,Meghalaya,2009,"Calendar Year (Jan - Dec), 2009",59
364,India,17,Meghalaya,2010,"Calendar Year (Jan - Dec), 2010",55
365,India,17,Meghalaya,2011,"Calendar Year (Jan - Dec), 2011",52
