srcStateName,srcYear,Number of Employees,Mandays Employees,YearCode,Year
Delhi,2013-14,35964,33945,2013,"Financial Year (Apr - Mar), 2013"
Goa,2013-14,16970,17651,2013,"Financial Year (Apr - Mar), 2013"
Gujarat,2013-14,316957,426125,2013,"Financial Year (Apr - Mar), 2013"
Haryana,2013-14,142480,183571,2013,"Financial Year (Apr - Mar), 2013"
Himachal Pradesh,2013-14,61746,59614,2013,"Financial Year (Apr - Mar), 2013"
Jammu and Kashmir,2013-14,13498,20572,2013,"Financial Year (Apr - Mar), 2013"
Jharkhand,2013-14,56070,58526,2013,"Financial Year (Apr - Mar), 2013"
Karnataka,2013-14,218707,279823,2013,"Financial Year (Apr - Mar), 2013"
Kerala,2013-14,59055,101794,2013,"Financial Year (Apr - Mar), 2013"
Madhya Pradesh,2013-14,82734,101250,2013,"Financial Year (Apr - Mar), 2013"
Maharashtra,2013-14,550679,582296,2013,"Financial Year (Apr - Mar), 2013"
Manipur,2013-14,745,1611,2013,"Financial Year (Apr - Mar), 2013"
Meghalaya,2013-14,2421,4072,2013,"Financial Year (Apr - Mar), 2013"
Nagaland,2013-14,360,846,2013,"Financial Year (Apr - Mar), 2013"
Odisha,2013-14,53234,84290,2013,"Financial Year (Apr - Mar), 2013"
Puducherry,2013-14,10140,14650,2013,"Financial Year (Apr - Mar), 2013"
Punjab,2013-14,111022,170871,2013,"Financial Year (Apr - Mar), 2013"
Rajasthan,2013-14,110840,143794,2013,"Financial Year (Apr - Mar), 2013"
Sikkim,2013-14,2507,3874,2013,"Financial Year (Apr - Mar), 2013"
Tamil Nadu,2013-14,391525,619363,2013,"Financial Year (Apr - Mar), 2013"
Telangana,2013-14,113922,206397,2013,"Financial Year (Apr - Mar), 2013"
Tripura,2013-14,2315,5507,2013,"Financial Year (Apr - Mar), 2013"
Uttar Pradesh,2013-14,205271,272117,2013,"Financial Year (Apr - Mar), 2013"
Uttarakhand,2013-14,74273,117870,2013,"Financial Year (Apr - Mar), 2013"
West Bengal,2013-14,121299,201317,2013,"Financial Year (Apr - Mar), 2013"
Andaman & Nicobar Islands,2014-15,91,157,2014,"Financial Year (Apr - Mar), 2014"
Andhra Pradesh,2014-15,94880,163798,2014,"Financial Year (Apr - Mar), 2014"
Arunachal Pradesh,2014-15,702,1009,2014,"Financial Year (Apr - Mar), 2014"
Assam,2014-15,30840,51193,2014,"Financial Year (Apr - Mar), 2014"
Bihar,2014-15,18229,33224,2014,"Financial Year (Apr - Mar), 2014"
Chandigarh,2014-15,4001,3253,2014,"Financial Year (Apr - Mar), 2014"
Chhattisgarh,2014-15,35380,59489,2014,"Financial Year (Apr - Mar), 2014"
Dadra & Nagar Haveli,2014-15,25340,39892,2014,"Financial Year (Apr - Mar), 2014"
Daman & Diu,2014-15,18423,29629,2014,"Financial Year (Apr - Mar), 2014"
Delhi,2014-15,41198,36985,2014,"Financial Year (Apr - Mar), 2014"
Goa,2014-15,20431,20422,2014,"Financial Year (Apr - Mar), 2014"
Gujarat,2014-15,353685,451288,2014,"Financial Year (Apr - Mar), 2014"
Haryana,2014-15,160265,213625,2014,"Financial Year (Apr - Mar), 2014"
Himachal Pradesh,2014-15,60862,63156,2014,"Financial Year (Apr - Mar), 2014"
Jammu and Kashmir,2014-15,12465,19968,2014,"Financial Year (Apr - Mar), 2014"
Jharkhand,2014-15,37892,57586,2014,"Financial Year (Apr - Mar), 2014"
Karnataka,2014-15,223273,296428,2014,"Financial Year (Apr - Mar), 2014"
Kerala,2014-15,86988,103131,2014,"Financial Year (Apr - Mar), 2014"
Madhya Pradesh,2014-15,86104,97985,2014,"Financial Year (Apr - Mar), 2014"
Maharashtra,2014-15,571120,575078,2014,"Financial Year (Apr - Mar), 2014"
Manipur,2014-15,863,2119,2014,"Financial Year (Apr - Mar), 2014"
Meghalaya,2014-15,2464,4391,2014,"Financial Year (Apr - Mar), 2014"
Nagaland,2014-15,516,1216,2014,"Financial Year (Apr - Mar), 2014"
Odisha,2014-15,47226,88870,2014,"Financial Year (Apr - Mar), 2014"
Puducherry,2014-15,9757,14153,2014,"Financial Year (Apr - Mar), 2014"
Punjab,2014-15,109722,168919,2014,"Financial Year (Apr - Mar), 2014"
Rajasthan,2014-15,108551,149912,2014,"Financial Year (Apr - Mar), 2014"
Sikkim,2014-15,2561,4150,2014,"Financial Year (Apr - Mar), 2014"
Tamil Nadu,2014-15,372691,646774,2014,"Financial Year (Apr - Mar), 2014"
Telangana,2014-15,103409,206300,2014,"Financial Year (Apr - Mar), 2014"
Tripura,2014-15,2359,5501,2014,"Financial Year (Apr - Mar), 2014"
Uttar Pradesh,2014-15,204352,263569,2014,"Financial Year (Apr - Mar), 2014"
Uttarakhand,2014-15,79463,116294,2014,"Financial Year (Apr - Mar), 2014"
West Bengal,2014-15,126936,194897,2014,"Financial Year (Apr - Mar), 2014"
Andaman & Nicobar Islands,2015-16,94,153,2015,"Financial Year (Apr - Mar), 2015"
Andhra Pradesh,2015-16,91655,165177,2015,"Financial Year (Apr - Mar), 2015"
Arunachal Pradesh,2015-16,698,932,2015,"Financial Year (Apr - Mar), 2015"
Assam,2015-16,33683,53939,2015,"Financial Year (Apr - Mar), 2015"
Bihar,2015-16,14363,26642,2015,"Financial Year (Apr - Mar), 2015"
