ROWID,Country,State lgd code,State,YearCode,Year,Number of employees,Mandays employees
67,India,3,Punjab,2006,"Financial Year (Apr - Mar), 2006",,144711
68,India,3,Punjab,2007,"Financial Year (Apr - Mar), 2007",,157510
69,India,3,Punjab,2008,"Financial Year (Apr - Mar), 2008",105101,157393
70,India,3,Punjab,2009,"Financial Year (Apr - Mar), 2009",106968,164096
71,India,3,Punjab,2010,"Financial Year (Apr - Mar), 2010",119144,177922
72,India,3,Punjab,2011,"Financial Year (Apr - Mar), 2011",109435,177747
73,India,3,Punjab,2012,"Financial Year (Apr - Mar), 2012",110265,168054
74,India,3,Punjab,2013,"Financial Year (Apr - Mar), 2013",111022,170871
75,India,3,Punjab,2014,"Financial Year (Apr - Mar), 2014",109722,168919
76,India,3,Punjab,2015,"Financial Year (Apr - Mar), 2015",112650,174368
77,India,3,Punjab,2016,"Financial Year (Apr - Mar), 2016",120399,186823
78,India,3,Punjab,2017,"Financial Year (Apr - Mar), 2017",134295,203094
79,India,4,Chandigarh,1991,"Financial Year (Apr - Mar), 1991",11543,3542
80,India,4,Chandigarh,1992,"Financial Year (Apr - Mar), 1992",9856,3046
81,India,4,Chandigarh,1993,"Financial Year (Apr - Mar), 1993",7759,2361
82,India,4,Chandigarh,1994,"Financial Year (Apr - Mar), 1994",11999,3683
83,India,4,Chandigarh,1995,"Financial Year (Apr - Mar), 1995",13711,4012
84,India,4,Chandigarh,1996,"Financial Year (Apr - Mar), 1996",14439,4497
85,India,4,Chandigarh,1997,"Financial Year (Apr - Mar), 1997",25340,
86,India,4,Chandigarh,1999,"Financial Year (Apr - Mar), 1999",,3485
87,India,4,Chandigarh,2000,"Financial Year (Apr - Mar), 2000",,3006
88,India,4,Chandigarh,2001,"Financial Year (Apr - Mar), 2001",,2936
89,India,4,Chandigarh,2002,"Financial Year (Apr - Mar), 2002",,2554
90,India,4,Chandigarh,2003,"Financial Year (Apr - Mar), 2003",,2767
91,India,4,Chandigarh,2004,"Financial Year (Apr - Mar), 2004",,3002
92,India,4,Chandigarh,2005,"Financial Year (Apr - Mar), 2005",,3302
93,India,4,Chandigarh,2006,"Financial Year (Apr - Mar), 2006",,4109
94,India,4,Chandigarh,2007,"Financial Year (Apr - Mar), 2007",,3921
95,India,4,Chandigarh,2008,"Financial Year (Apr - Mar), 2008",3958,3376
96,India,4,Chandigarh,2009,"Financial Year (Apr - Mar), 2009",3637,3284
97,India,4,Chandigarh,2010,"Financial Year (Apr - Mar), 2010",4528,4221
98,India,4,Chandigarh,2011,"Financial Year (Apr - Mar), 2011",5106,4658
99,India,4,Chandigarh,2012,"Financial Year (Apr - Mar), 2012",4204,3813
100,India,4,Chandigarh,2013,"Financial Year (Apr - Mar), 2013",5082,4049
101,India,4,Chandigarh,2014,"Financial Year (Apr - Mar), 2014",4001,3253
102,India,4,Chandigarh,2015,"Financial Year (Apr - Mar), 2015",4530,3391
103,India,4,Chandigarh,2016,"Financial Year (Apr - Mar), 2016",4316,3195
104,India,4,Chandigarh,2017,"Financial Year (Apr - Mar), 2017",3958,2891
105,India,5,Uttarakhand,1991,"Financial Year (Apr - Mar), 1991",,
106,India,5,Uttarakhand,1992,"Financial Year (Apr - Mar), 1992",,
107,India,5,Uttarakhand,1993,"Financial Year (Apr - Mar), 1993",,
108,India,5,Uttarakhand,1994,"Financial Year (Apr - Mar), 1994",,
109,India,5,Uttarakhand,1995,"Financial Year (Apr - Mar), 1995",,
110,India,5,Uttarakhand,1996,"Financial Year (Apr - Mar), 1996",,
111,India,5,Uttarakhand,1997,"Financial Year (Apr - Mar), 1997",,
112,India,5,Uttarakhand,1999,"Financial Year (Apr - Mar), 1999",,
113,India,5,Uttarakhand,2000,"Financial Year (Apr - Mar), 2000",,
114,India,5,Uttarakhand,2001,"Financial Year (Apr - Mar), 2001",,
115,India,5,Uttarakhand,2002,"Financial Year (Apr - Mar), 2002",,
