ROWID,Country,State lgd code,State,YearCode,Year,Number of employees,Mandays employees
336,India,13,Nagaland,2015,"Financial Year (Apr - Mar), 2015",571,1255
337,India,13,Nagaland,2016,"Financial Year (Apr - Mar), 2016",612,1346
338,India,13,Nagaland,2017,"Financial Year (Apr - Mar), 2017",591,1380
339,India,14,Manipur,1991,"Financial Year (Apr - Mar), 1991",1502,391
340,India,14,Manipur,1992,"Financial Year (Apr - Mar), 1992",1739,477
341,India,14,Manipur,1993,"Financial Year (Apr - Mar), 1993",1078,265
342,India,14,Manipur,1994,"Financial Year (Apr - Mar), 1994",1482,406
343,India,14,Manipur,1995,"Financial Year (Apr - Mar), 1995",3353,1023
344,India,14,Manipur,1996,"Financial Year (Apr - Mar), 1996",2856,856
345,India,14,Manipur,1997,"Financial Year (Apr - Mar), 1997",4389,
346,India,14,Manipur,1999,"Financial Year (Apr - Mar), 1999",980,246
347,India,14,Manipur,2000,"Financial Year (Apr - Mar), 2000",,191
348,India,14,Manipur,2001,"Financial Year (Apr - Mar), 2001",,269
349,India,14,Manipur,2002,"Financial Year (Apr - Mar), 2002",,307
350,India,14,Manipur,2003,"Financial Year (Apr - Mar), 2003",,311
351,India,14,Manipur,2004,"Financial Year (Apr - Mar), 2004",,445
352,India,14,Manipur,2005,"Financial Year (Apr - Mar), 2005",,460
353,India,14,Manipur,2006,"Financial Year (Apr - Mar), 2006",,482
354,India,14,Manipur,2007,"Financial Year (Apr - Mar), 2007",,701
355,India,14,Manipur,2008,"Financial Year (Apr - Mar), 2008",285,719
356,India,14,Manipur,2009,"Financial Year (Apr - Mar), 2009",460,1017
357,India,14,Manipur,2010,"Financial Year (Apr - Mar), 2010",582,1314
358,India,14,Manipur,2011,"Financial Year (Apr - Mar), 2011",659,1541
359,India,14,Manipur,2012,"Financial Year (Apr - Mar), 2012",754,1729
360,India,14,Manipur,2013,"Financial Year (Apr - Mar), 2013",745,1611
361,India,14,Manipur,2014,"Financial Year (Apr - Mar), 2014",863,2119
362,India,14,Manipur,2015,"Financial Year (Apr - Mar), 2015",942,2227
363,India,14,Manipur,2016,"Financial Year (Apr - Mar), 2016",989,2257
364,India,14,Manipur,2017,"Financial Year (Apr - Mar), 2017",983,2399
365,India,16,Tripura,1991,"Financial Year (Apr - Mar), 1991",9070,2094
366,India,16,Tripura,1992,"Financial Year (Apr - Mar), 1992",10208,2455
367,India,16,Tripura,1993,"Financial Year (Apr - Mar), 1993",7472,1830
368,India,16,Tripura,1994,"Financial Year (Apr - Mar), 1994",7868,2049
369,India,16,Tripura,1995,"Financial Year (Apr - Mar), 1995",8602,2155
370,India,16,Tripura,1996,"Financial Year (Apr - Mar), 1996",9074,2731
371,India,16,Tripura,1997,"Financial Year (Apr - Mar), 1997",8520,
372,India,16,Tripura,1999,"Financial Year (Apr - Mar), 1999",7676,1771
373,India,16,Tripura,2000,"Financial Year (Apr - Mar), 2000",,1998
374,India,16,Tripura,2001,"Financial Year (Apr - Mar), 2001",,2261
375,India,16,Tripura,2002,"Financial Year (Apr - Mar), 2002",,2477
376,India,16,Tripura,2003,"Financial Year (Apr - Mar), 2003",,2909
377,India,16,Tripura,2004,"Financial Year (Apr - Mar), 2004",,3049
378,India,16,Tripura,2005,"Financial Year (Apr - Mar), 2005",,3712
379,India,16,Tripura,2006,"Financial Year (Apr - Mar), 2006",,4064
380,India,16,Tripura,2007,"Financial Year (Apr - Mar), 2007",,4331
381,India,16,Tripura,2008,"Financial Year (Apr - Mar), 2008",2156,4778
382,India,16,Tripura,2009,"Financial Year (Apr - Mar), 2009",2321,5351
383,India,16,Tripura,2010,"Financial Year (Apr - Mar), 2010",2544,6398
384,India,16,Tripura,2011,"Financial Year (Apr - Mar), 2011",2335,5751
385,India,16,Tripura,2012,"Financial Year (Apr - Mar), 2012",2392,5331
386,India,16,Tripura,2013,"Financial Year (Apr - Mar), 2013",2315,5507
387,India,16,Tripura,2014,"Financial Year (Apr - Mar), 2014",2359,5501
388,India,16,Tripura,2015,"Financial Year (Apr - Mar), 2015",2837,5423
389,India,16,Tripura,2016,"Financial Year (Apr - Mar), 2016",3060,5295
390,India,16,Tripura,2017,"Financial Year (Apr - Mar), 2017",3005,5172
391,India,17,Meghalaya,1991,"Financial Year (Apr - Mar), 1991",5726,2001
392,India,17,Meghalaya,1992,"Financial Year (Apr - Mar), 1992",6416,2190
393,India,17,Meghalaya,1993,"Financial Year (Apr - Mar), 1993",1943,595
394,India,17,Meghalaya,1994,"Financial Year (Apr - Mar), 1994",938,272
395,India,17,Meghalaya,1995,"Financial Year (Apr - Mar), 1995",6683,2304
396,India,17,Meghalaya,1996,"Financial Year (Apr - Mar), 1996",6518,2254
397,India,17,Meghalaya,1997,"Financial Year (Apr - Mar), 1997",6536,
398,India,17,Meghalaya,1999,"Financial Year (Apr - Mar), 1999",1001,291
399,India,17,Meghalaya,2000,"Financial Year (Apr - Mar), 2000",,343
400,India,17,Meghalaya,2001,"Financial Year (Apr - Mar), 2001",,475
401,India,17,Meghalaya,2002,"Financial Year (Apr - Mar), 2002",,736
402,India,17,Meghalaya,2003,"Financial Year (Apr - Mar), 2003",,669
403,India,17,Meghalaya,2004,"Financial Year (Apr - Mar), 2004",,945
404,India,17,Meghalaya,2005,"Financial Year (Apr - Mar), 2005",,1345
405,India,17,Meghalaya,2006,"Financial Year (Apr - Mar), 2006",,1790
406,India,17,Meghalaya,2007,"Financial Year (Apr - Mar), 2007",,1757
407,India,17,Meghalaya,2008,"Financial Year (Apr - Mar), 2008",982,1748
408,India,17,Meghalaya,2009,"Financial Year (Apr - Mar), 2009",1220,1981
409,India,17,Meghalaya,2010,"Financial Year (Apr - Mar), 2010",1566,2349
410,India,17,Meghalaya,2011,"Financial Year (Apr - Mar), 2011",2179,3508
411,India,17,Meghalaya,2012,"Financial Year (Apr - Mar), 2012",2500,3643
412,India,17,Meghalaya,2013,"Financial Year (Apr - Mar), 2013",2421,4072
413,India,17,Meghalaya,2014,"Financial Year (Apr - Mar), 2014",2464,4391
414,India,17,Meghalaya,2015,"Financial Year (Apr - Mar), 2015",2276,4024
415,India,17,Meghalaya,2016,"Financial Year (Apr - Mar), 2016",1839,3795
416,India,17,Meghalaya,2017,"Financial Year (Apr - Mar), 2017",1925,3884
417,India,18,Assam,1991,"Financial Year (Apr - Mar), 1991",121835,35694
418,India,18,Assam,1992,"Financial Year (Apr - Mar), 1992",131938,38789
419,India,18,Assam,1993,"Financial Year (Apr - Mar), 1993",113562,34289
420,India,18,Assam,1994,"Financial Year (Apr - Mar), 1994",124095,37274
421,India,18,Assam,1995,"Financial Year (Apr - Mar), 1995",147783,45185
422,India,18,Assam,1996,"Financial Year (Apr - Mar), 1996",136643,40900
423,India,18,Assam,1997,"Financial Year (Apr - Mar), 1997",153989,
424,India,18,Assam,1999,"Financial Year (Apr - Mar), 1999",113916,32985
425,India,18,Assam,2000,"Financial Year (Apr - Mar), 2000",,33302
426,India,18,Assam,2001,"Financial Year (Apr - Mar), 2001",,31866
427,India,18,Assam,2002,"Financial Year (Apr - Mar), 2002",,32243
428,India,18,Assam,2003,"Financial Year (Apr - Mar), 2003",,32573
429,India,18,Assam,2004,"Financial Year (Apr - Mar), 2004",,34074
430,India,18,Assam,2005,"Financial Year (Apr - Mar), 2005",,36342
431,India,18,Assam,2006,"Financial Year (Apr - Mar), 2006",,38539
432,India,18,Assam,2007,"Financial Year (Apr - Mar), 2007",,37589
433,India,18,Assam,2008,"Financial Year (Apr - Mar), 2008",21999,40786
434,India,18,Assam,2009,"Financial Year (Apr - Mar), 2009",22224,41178
435,India,18,Assam,2010,"Financial Year (Apr - Mar), 2010",24816,45656
436,India,18,Assam,2011,"Financial Year (Apr - Mar), 2011",27982,49818
437,India,18,Assam,2012,"Financial Year (Apr - Mar), 2012",25700,43949
438,India,18,Assam,2013,"Financial Year (Apr - Mar), 2013",27144,48028
439,India,18,Assam,2014,"Financial Year (Apr - Mar), 2014",30840,51193
440,India,18,Assam,2015,"Financial Year (Apr - Mar), 2015",33683,53939
441,India,18,Assam,2016,"Financial Year (Apr - Mar), 2016",35308,53955
442,India,18,Assam,2017,"Financial Year (Apr - Mar), 2017",34759,53992
443,India,19,West Bengal,1991,"Financial Year (Apr - Mar), 1991",765069,237373
444,India,19,West Bengal,1992,"Financial Year (Apr - Mar), 1992",758933,237212
445,India,19,West Bengal,1993,"Financial Year (Apr - Mar), 1993",738549,235371
446,India,19,West Bengal,1994,"Financial Year (Apr - Mar), 1994",747036,235447
447,India,19,West Bengal,1995,"Financial Year (Apr - Mar), 1995",825154,262229
448,India,19,West Bengal,1996,"Financial Year (Apr - Mar), 1996",767822,241358
449,India,19,West Bengal,1997,"Financial Year (Apr - Mar), 1997",832057,
450,India,19,West Bengal,1999,"Financial Year (Apr - Mar), 1999",588968,180942
451,India,19,West Bengal,2000,"Financial Year (Apr - Mar), 2000",,175100
452,India,19,West Bengal,2001,"Financial Year (Apr - Mar), 2001",,170743
453,India,19,West Bengal,2002,"Financial Year (Apr - Mar), 2002",,168079
454,India,19,West Bengal,2003,"Financial Year (Apr - Mar), 2003",,160374
455,India,19,West Bengal,2004,"Financial Year (Apr - Mar), 2004",,161143
456,India,19,West Bengal,2005,"Financial Year (Apr - Mar), 2005",,160306
457,India,19,West Bengal,2006,"Financial Year (Apr - Mar), 2006",,153421
458,India,19,West Bengal,2007,"Financial Year (Apr - Mar), 2007",,164141
459,India,19,West Bengal,2008,"Financial Year (Apr - Mar), 2008",97979,172156
460,India,19,West Bengal,2009,"Financial Year (Apr - Mar), 2009",103447,172588
461,India,19,West Bengal,2010,"Financial Year (Apr - Mar), 2010",119869,200422
462,India,19,West Bengal,2011,"Financial Year (Apr - Mar), 2011",117335,206023
463,India,19,West Bengal,2012,"Financial Year (Apr - Mar), 2012",117034,205397
464,India,19,West Bengal,2013,"Financial Year (Apr - Mar), 2013",121299,201317
465,India,19,West Bengal,2014,"Financial Year (Apr - Mar), 2014",126936,194897
466,India,19,West Bengal,2015,"Financial Year (Apr - Mar), 2015",135221,195014
467,India,19,West Bengal,2016,"Financial Year (Apr - Mar), 2016",140510,198096
468,India,19,West Bengal,2017,"Financial Year (Apr - Mar), 2017",144963,206668
469,India,20,Jharkhand,1991,"Financial Year (Apr - Mar), 1991",,
470,India,20,Jharkhand,1992,"Financial Year (Apr - Mar), 1992",,
471,India,20,Jharkhand,1993,"Financial Year (Apr - Mar), 1993",,
472,India,20,Jharkhand,1994,"Financial Year (Apr - Mar), 1994",,
473,India,20,Jharkhand,1995,"Financial Year (Apr - Mar), 1995",,
474,India,20,Jharkhand,1996,"Financial Year (Apr - Mar), 1996",,47908
475,India,20,Jharkhand,1997,"Financial Year (Apr - Mar), 1997",,
476,India,20,Jharkhand,1999,"Financial Year (Apr - Mar), 1999",,66827
477,India,20,Jharkhand,2000,"Financial Year (Apr - Mar), 2000",,60314
478,India,20,Jharkhand,2001,"Financial Year (Apr - Mar), 2001",,52137
479,India,20,Jharkhand,2002,"Financial Year (Apr - Mar), 2002",,52074
480,India,20,Jharkhand,2003,"Financial Year (Apr - Mar), 2003",,48238
481,India,20,Jharkhand,2004,"Financial Year (Apr - Mar), 2004",,48258
482,India,20,Jharkhand,2005,"Financial Year (Apr - Mar), 2005",,48993
483,India,20,Jharkhand,2006,"Financial Year (Apr - Mar), 2006",,47695
484,India,20,Jharkhand,2007,"Financial Year (Apr - Mar), 2007",,49453
485,India,20,Jharkhand,2008,"Financial Year (Apr - Mar), 2008",40205,52466
486,India,20,Jharkhand,2009,"Financial Year (Apr - Mar), 2009",35915,49199
487,India,20,Jharkhand,2010,"Financial Year (Apr - Mar), 2010",59402,61363
488,India,20,Jharkhand,2011,"Financial Year (Apr - Mar), 2011",60840,63423
489,India,20,Jharkhand,2012,"Financial Year (Apr - Mar), 2012",55300,58400
490,India,20,Jharkhand,2013,"Financial Year (Apr - Mar), 2013",56070,58526
491,India,20,Jharkhand,2014,"Financial Year (Apr - Mar), 2014",37892,57586
492,India,20,Jharkhand,2015,"Financial Year (Apr - Mar), 2015",37356,57175
493,India,20,Jharkhand,2016,"Financial Year (Apr - Mar), 2016",44182,59881
494,India,20,Jharkhand,2017,"Financial Year (Apr - Mar), 2017",38796,59329
495,India,21,Odisha,1991,"Financial Year (Apr - Mar), 1991",170105,57854
496,India,21,Odisha,1992,"Financial Year (Apr - Mar), 1992",178947,61356
497,India,21,Odisha,1993,"Financial Year (Apr - Mar), 1993",184324,62275
498,India,21,Odisha,1994,"Financial Year (Apr - Mar), 1994",193626,65775
499,India,21,Odisha,1995,"Financial Year (Apr - Mar), 1995",196101,67117
500,India,21,Odisha,1996,"Financial Year (Apr - Mar), 1996",183738,61978
501,India,21,Odisha,1997,"Financial Year (Apr - Mar), 1997",179133,
502,India,21,Odisha,1999,"Financial Year (Apr - Mar), 1999",132058,43711
503,India,21,Odisha,2000,"Financial Year (Apr - Mar), 2000",,42795
504,India,21,Odisha,2001,"Financial Year (Apr - Mar), 2001",,38050
505,India,21,Odisha,2002,"Financial Year (Apr - Mar), 2002",,39120
506,India,21,Odisha,2003,"Financial Year (Apr - Mar), 2003",,41196
507,India,21,Odisha,2004,"Financial Year (Apr - Mar), 2004",,48613
508,India,21,Odisha,2005,"Financial Year (Apr - Mar), 2005",,47650
509,India,21,Odisha,2006,"Financial Year (Apr - Mar), 2006",,53242
510,India,21,Odisha,2007,"Financial Year (Apr - Mar), 2007",,62644
511,India,21,Odisha,2008,"Financial Year (Apr - Mar), 2008",37678,72414
512,India,21,Odisha,2009,"Financial Year (Apr - Mar), 2009",39289,78094
513,India,21,Odisha,2010,"Financial Year (Apr - Mar), 2010",53139,96064
514,India,21,Odisha,2011,"Financial Year (Apr - Mar), 2011",60678,98091
515,India,21,Odisha,2012,"Financial Year (Apr - Mar), 2012",49886,88077
516,India,21,Odisha,2013,"Financial Year (Apr - Mar), 2013",53234,84290
517,India,21,Odisha,2014,"Financial Year (Apr - Mar), 2014",47226,88870
518,India,21,Odisha,2015,"Financial Year (Apr - Mar), 2015",47977,86040
519,India,21,Odisha,2016,"Financial Year (Apr - Mar), 2016",49167,92703
520,India,21,Odisha,2017,"Financial Year (Apr - Mar), 2017",49805,95210
521,India,22,Chhattisgarh,1991,"Financial Year (Apr - Mar), 1991",,
522,India,22,Chhattisgarh,1992,"Financial Year (Apr - Mar), 1992",,
523,India,22,Chhattisgarh,1993,"Financial Year (Apr - Mar), 1993",,
524,India,22,Chhattisgarh,1994,"Financial Year (Apr - Mar), 1994",,
525,India,22,Chhattisgarh,1995,"Financial Year (Apr - Mar), 1995",,
526,India,22,Chhattisgarh,1996,"Financial Year (Apr - Mar), 1996",,
527,India,22,Chhattisgarh,1997,"Financial Year (Apr - Mar), 1997",,
528,India,22,Chhattisgarh,1999,"Financial Year (Apr - Mar), 1999",,
529,India,22,Chhattisgarh,2000,"Financial Year (Apr - Mar), 2000",,
530,India,22,Chhattisgarh,2001,"Financial Year (Apr - Mar), 2001",,
531,India,22,Chhattisgarh,2002,"Financial Year (Apr - Mar), 2002",,
532,India,22,Chhattisgarh,2003,"Financial Year (Apr - Mar), 2003",,
533,India,22,Chhattisgarh,2004,"Financial Year (Apr - Mar), 2004",,
534,India,22,Chhattisgarh,2005,"Financial Year (Apr - Mar), 2005",,
535,India,22,Chhattisgarh,2006,"Financial Year (Apr - Mar), 2006",,
536,India,22,Chhattisgarh,2007,"Financial Year (Apr - Mar), 2007",,
537,India,22,Chhattisgarh,2008,"Financial Year (Apr - Mar), 2008",,
538,India,22,Chhattisgarh,2009,"Financial Year (Apr - Mar), 2009",,
539,India,22,Chhattisgarh,2010,"Financial Year (Apr - Mar), 2010",42895,58258
540,India,22,Chhattisgarh,2011,"Financial Year (Apr - Mar), 2011",46803,61385
541,India,22,Chhattisgarh,2012,"Financial Year (Apr - Mar), 2012",34040,57292
542,India,22,Chhattisgarh,2013,"Financial Year (Apr - Mar), 2013",34112,54852
543,India,22,Chhattisgarh,2014,"Financial Year (Apr - Mar), 2014",35380,59489
544,India,22,Chhattisgarh,2015,"Financial Year (Apr - Mar), 2015",32612,56871
545,India,22,Chhattisgarh,2016,"Financial Year (Apr - Mar), 2016",39186,60608
546,India,22,Chhattisgarh,2017,"Financial Year (Apr - Mar), 2017",36757,61024
547,India,23,Madhya Pradesh,1991,"Financial Year (Apr - Mar), 1991",397115,127899
548,India,23,Madhya Pradesh,1992,"Financial Year (Apr - Mar), 1992",454925,148337
549,India,23,Madhya Pradesh,1993,"Financial Year (Apr - Mar), 1993",451765,148954
550,India,23,Madhya Pradesh,1994,"Financial Year (Apr - Mar), 1994",445695,146379
551,India,23,Madhya Pradesh,1995,"Financial Year (Apr - Mar), 1995",524697,172989
552,India,23,Madhya Pradesh,1996,"Financial Year (Apr - Mar), 1996",483248,155721
553,India,23,Madhya Pradesh,1997,"Financial Year (Apr - Mar), 1997",464000,
554,India,23,Madhya Pradesh,1999,"Financial Year (Apr - Mar), 1999",267685,83558
555,India,23,Madhya Pradesh,2000,"Financial Year (Apr - Mar), 2000",,78939
556,India,23,Madhya Pradesh,2001,"Financial Year (Apr - Mar), 2001",,64852
557,India,23,Madhya Pradesh,2002,"Financial Year (Apr - Mar), 2002",,64305
558,India,23,Madhya Pradesh,2003,"Financial Year (Apr - Mar), 2003",,65191
559,India,23,Madhya Pradesh,2004,"Financial Year (Apr - Mar), 2004",,67241
560,India,23,Madhya Pradesh,2005,"Financial Year (Apr - Mar), 2005",,67348
561,India,23,Madhya Pradesh,2006,"Financial Year (Apr - Mar), 2006",,73747
562,India,23,Madhya Pradesh,2007,"Financial Year (Apr - Mar), 2007",,79318
563,India,23,Madhya Pradesh,2008,"Financial Year (Apr - Mar), 2008",69588,84231
564,India,23,Madhya Pradesh,2009,"Financial Year (Apr - Mar), 2009",69548,89147
565,India,23,Madhya Pradesh,2010,"Financial Year (Apr - Mar), 2010",78270,96713
566,India,23,Madhya Pradesh,2011,"Financial Year (Apr - Mar), 2011",80628,97743
567,India,23,Madhya Pradesh,2012,"Financial Year (Apr - Mar), 2012",77727,94589
568,India,23,Madhya Pradesh,2013,"Financial Year (Apr - Mar), 2013",82734,101250
569,India,23,Madhya Pradesh,2014,"Financial Year (Apr - Mar), 2014",86104,97985
570,India,23,Madhya Pradesh,2015,"Financial Year (Apr - Mar), 2015",89233,110421
571,India,23,Madhya Pradesh,2016,"Financial Year (Apr - Mar), 2016",91198,115878
572,India,23,Madhya Pradesh,2017,"Financial Year (Apr - Mar), 2017",95861,117480
573,India,24,Gujarat,1991,"Financial Year (Apr - Mar), 1991",690053,215000
574,India,24,Gujarat,1992,"Financial Year (Apr - Mar), 1992",726152,228508
575,India,24,Gujarat,1993,"Financial Year (Apr - Mar), 1993",760432,241170
576,India,24,Gujarat,1994,"Financial Year (Apr - Mar), 1994",772633,238932
577,India,24,Gujarat,1995,"Financial Year (Apr - Mar), 1995",956644,299302
578,India,24,Gujarat,1996,"Financial Year (Apr - Mar), 1996",848287,259156
579,India,24,Gujarat,1997,"Financial Year (Apr - Mar), 1997",872269,
580,India,24,Gujarat,1999,"Financial Year (Apr - Mar), 1999",822884,250006
581,India,24,Gujarat,2000,"Financial Year (Apr - Mar), 2000",,232252
582,India,24,Gujarat,2001,"Financial Year (Apr - Mar), 2001",,217715
583,India,24,Gujarat,2002,"Financial Year (Apr - Mar), 2002",,218610
584,India,24,Gujarat,2003,"Financial Year (Apr - Mar), 2003",,222468
585,India,24,Gujarat,2004,"Financial Year (Apr - Mar), 2004",,244873
586,India,24,Gujarat,2005,"Financial Year (Apr - Mar), 2005",,267958
587,India,24,Gujarat,2006,"Financial Year (Apr - Mar), 2006",,303112
588,India,24,Gujarat,2007,"Financial Year (Apr - Mar), 2007",,321486
589,India,24,Gujarat,2008,"Financial Year (Apr - Mar), 2008",248182,346652
590,India,24,Gujarat,2009,"Financial Year (Apr - Mar), 2009",263690,360106
591,India,24,Gujarat,2010,"Financial Year (Apr - Mar), 2010",299173,402929
592,India,24,Gujarat,2011,"Financial Year (Apr - Mar), 2011",319373,431986
593,India,24,Gujarat,2012,"Financial Year (Apr - Mar), 2012",312488,423578
594,India,24,Gujarat,2013,"Financial Year (Apr - Mar), 2013",316957,426125
595,India,24,Gujarat,2014,"Financial Year (Apr - Mar), 2014",353685,451288
596,India,24,Gujarat,2015,"Financial Year (Apr - Mar), 2015",366794,484696
597,India,24,Gujarat,2016,"Financial Year (Apr - Mar), 2016",381153,508807
598,India,24,Gujarat,2017,"Financial Year (Apr - Mar), 2017",416999,566664
599,India,27,Maharashtra,1991,"Financial Year (Apr - Mar), 1991",1192668,391910
600,India,27,Maharashtra,1992,"Financial Year (Apr - Mar), 1992",1281819,420873
601,India,27,Maharashtra,1993,"Financial Year (Apr - Mar), 1993",1315772,426682
602,India,27,Maharashtra,1994,"Financial Year (Apr - Mar), 1994",1319269,428976
603,India,27,Maharashtra,1995,"Financial Year (Apr - Mar), 1995",1518013,493424
604,India,27,Maharashtra,1996,"Financial Year (Apr - Mar), 1996",1455506,472330
605,India,27,Maharashtra,1997,"Financial Year (Apr - Mar), 1997",1465980,
606,India,27,Maharashtra,1999,"Financial Year (Apr - Mar), 1999",1217260,380903
607,India,27,Maharashtra,2000,"Financial Year (Apr - Mar), 2000",,368677
608,India,27,Maharashtra,2001,"Financial Year (Apr - Mar), 2001",,363684
609,India,27,Maharashtra,2002,"Financial Year (Apr - Mar), 2002",,365723
610,India,27,Maharashtra,2003,"Financial Year (Apr - Mar), 2003",,344740
611,India,27,Maharashtra,2004,"Financial Year (Apr - Mar), 2004",,364321
612,India,27,Maharashtra,2005,"Financial Year (Apr - Mar), 2005",,388652
613,India,27,Maharashtra,2006,"Financial Year (Apr - Mar), 2006",,438491
614,India,27,Maharashtra,2007,"Financial Year (Apr - Mar), 2007",,423577
615,India,27,Maharashtra,2008,"Financial Year (Apr - Mar), 2008",449559,463998
616,India,27,Maharashtra,2009,"Financial Year (Apr - Mar), 2009",443547,471483
617,India,27,Maharashtra,2010,"Financial Year (Apr - Mar), 2010",491063,531153
618,India,27,Maharashtra,2011,"Financial Year (Apr - Mar), 2011",554790,581980
619,India,27,Maharashtra,2012,"Financial Year (Apr - Mar), 2012",542239,546616
620,India,27,Maharashtra,2013,"Financial Year (Apr - Mar), 2013",550679,582296
621,India,27,Maharashtra,2014,"Financial Year (Apr - Mar), 2014",571120,575078
622,India,27,Maharashtra,2015,"Financial Year (Apr - Mar), 2015",593483,605894
623,India,27,Maharashtra,2016,"Financial Year (Apr - Mar), 2016",555410,593094
624,India,27,Maharashtra,2017,"Financial Year (Apr - Mar), 2017",588797,616905
625,India,28,Andhra Pradesh,1991,"Financial Year (Apr - Mar), 1991",496795.17052870062898793330,149523.59107178691441976964
626,India,28,Andhra Pradesh,1992,"Financial Year (Apr - Mar), 1992",547798.50950774547744113814,163773.50687751426071744430
627,India,28,Andhra Pradesh,1993,"Financial Year (Apr - Mar), 1993",511709.19536358716591352394,155283.69648180224213427126
628,India,28,Andhra Pradesh,1994,"Financial Year (Apr - Mar), 1994",615013.61153046631387925046,189248.79957417511073552402
629,India,28,Andhra Pradesh,1995,"Financial Year (Apr - Mar), 1995",697342.02971191669237401382,217660.70854275788930246434
630,India,28,Andhra Pradesh,1996,"Financial Year (Apr - Mar), 1996",597059.80785602146927813266,183274.74906650479221856050
631,India,28,Andhra Pradesh,1997,"Financial Year (Apr - Mar), 1997",702381.75560133480448241770,
632,India,28,Andhra Pradesh,1999,"Financial Year (Apr - Mar), 1999",533606.03649536111497535736,159597.76749205082379487286
633,India,28,Andhra Pradesh,2000,"Financial Year (Apr - Mar), 2000",,154353.47492021739171370404
634,India,28,Andhra Pradesh,2001,"Financial Year (Apr - Mar), 2001",,153926.17087585988953563630
635,India,28,Andhra Pradesh,2002,"Financial Year (Apr - Mar), 2002",,174952.57784320188971622062
636,India,28,Andhra Pradesh,2003,"Financial Year (Apr - Mar), 2003",,150950.28249012183938741968
637,India,28,Andhra Pradesh,2004,"Financial Year (Apr - Mar), 2004",,162291.71726964626962532462
638,India,28,Andhra Pradesh,2005,"Financial Year (Apr - Mar), 2005",,170248.71644955448919633912
639,India,28,Andhra Pradesh,2006,"Financial Year (Apr - Mar), 2006",,175916.21000907806746758326
640,India,28,Andhra Pradesh,2007,"Financial Year (Apr - Mar), 2007",,182578.40173495923311356122
641,India,28,Andhra Pradesh,2008,"Financial Year (Apr - Mar), 2008",100242.36359112662206966908,192310.85214992763663158146
642,India,28,Andhra Pradesh,2009,"Financial Year (Apr - Mar), 2009",104838.95936047028747489160,199022.28055581707413346846
643,India,28,Andhra Pradesh,2010,"Financial Year (Apr - Mar), 2010",133367.51236859647198618786,230037.87205531346679502730
644,India,28,Andhra Pradesh,2011,"Financial Year (Apr - Mar), 2011",141587.69332616795421557330,241959.59627779252962043164
645,India,28,Andhra Pradesh,2012,"Financial Year (Apr - Mar), 2012",88406,150605
646,India,28,Andhra Pradesh,2013,"Financial Year (Apr - Mar), 2013",96165,161020
647,India,28,Andhra Pradesh,2014,"Financial Year (Apr - Mar), 2014",94880,163798
648,India,28,Andhra Pradesh,2015,"Financial Year (Apr - Mar), 2015",91655,165177
649,India,28,Andhra Pradesh,2016,"Financial Year (Apr - Mar), 2016",97373,177334
650,India,28,Andhra Pradesh,2017,"Financial Year (Apr - Mar), 2017",101048,187691
651,India,29,Karnataka,1991,"Financial Year (Apr - Mar), 1991",426473,135639
652,India,29,Karnataka,1992,"Financial Year (Apr - Mar), 1992",438466,139335
653,India,29,Karnataka,1993,"Financial Year (Apr - Mar), 1993",449862,140956
654,India,29,Karnataka,1994,"Financial Year (Apr - Mar), 1994",467275,148108
655,India,29,Karnataka,1995,"Financial Year (Apr - Mar), 1995",512058,165733
656,India,29,Karnataka,1996,"Financial Year (Apr - Mar), 1996",578635,179705
657,India,29,Karnataka,1997,"Financial Year (Apr - Mar), 1997",624570,
658,India,29,Karnataka,1999,"Financial Year (Apr - Mar), 1999",491789,148265
659,India,29,Karnataka,2000,"Financial Year (Apr - Mar), 2000",,141545
660,India,29,Karnataka,2001,"Financial Year (Apr - Mar), 2001",,147724
661,India,29,Karnataka,2002,"Financial Year (Apr - Mar), 2002",,146363
662,India,29,Karnataka,2003,"Financial Year (Apr - Mar), 2003",,152535
663,India,29,Karnataka,2004,"Financial Year (Apr - Mar), 2004",,166629
664,India,29,Karnataka,2005,"Financial Year (Apr - Mar), 2005",,191932
665,India,29,Karnataka,2006,"Financial Year (Apr - Mar), 2006",,218363
666,India,29,Karnataka,2007,"Financial Year (Apr - Mar), 2007",,218506
667,India,29,Karnataka,2008,"Financial Year (Apr - Mar), 2008",169967,232860
668,India,29,Karnataka,2009,"Financial Year (Apr - Mar), 2009",300914,270221
669,India,29,Karnataka,2010,"Financial Year (Apr - Mar), 2010",171519,239524
670,India,29,Karnataka,2011,"Financial Year (Apr - Mar), 2011",198155,267309
671,India,29,Karnataka,2012,"Financial Year (Apr - Mar), 2012",193959,261327
672,India,29,Karnataka,2013,"Financial Year (Apr - Mar), 2013",218707,279823
673,India,29,Karnataka,2014,"Financial Year (Apr - Mar), 2014",223273,296428
674,India,29,Karnataka,2015,"Financial Year (Apr - Mar), 2015",233503,306582
675,India,29,Karnataka,2016,"Financial Year (Apr - Mar), 2016",234990,323720
676,India,29,Karnataka,2017,"Financial Year (Apr - Mar), 2017",233710,324866
677,India,30,Goa,1991,"Financial Year (Apr - Mar), 1991",19508,6224
678,India,30,Goa,1992,"Financial Year (Apr - Mar), 1992",17144,5386
679,India,30,Goa,1993,"Financial Year (Apr - Mar), 1993",19922,6434
680,India,30,Goa,1994,"Financial Year (Apr - Mar), 1994",18120,6007
