srcStateName,srcYear,Credit to agriculture by Scheduled Commercial Banks,Personal loans by Scheduled Commercial Banks,Credit to industry by Scheduled Commercial Banks,Credit by Scheduled Commercial Banks in India,Distribution of offices of Scheduled Commercial Banks,Deposits of Regional Rural Banks,Credit-Deposit ratio of Scheduled Commercial Banks according to place of utilisation,Credit-Deposit ratio of Regional Rural Banks,Credit-Deposit ratio of Scheduled Commercial Banks according to place of sanction,Deposits by Scheduled Commercial Banks in India,Credit of Regional Rural Banks,Number of Branches of Regional Rural Banks,YearCode,Year
Andaman & Nicobar Islands,2019,126,1320,101,2181,69,,42.1,,41.9,5186,0,,2019,"Financial Year (Apr - Mar), 2019"
West Bengal,2020,41785,92689,161541,429211,9251,25233,51.8,44.6,49.3,827832,11247,980,2020,"Financial Year (Apr - Mar), 2020"
Telangana,2020,67321,170189,184111,550411,5388,19410,110.5,117.6,103.6,498184,22835,917,2020,"Financial Year (Apr - Mar), 2020"
Andaman & Nicobar Islands,2020,132,1519,254,2561,71,,44.1,,41.0,5811,,,2020,"Financial Year (Apr - Mar), 2020"
Andhra Pradesh,2020,130732,124296,76779,418830,7252,32890,128.9,97.0,125.3,324873,31908,1291,2020,"Financial Year (Apr - Mar), 2020"
Arunachal Pradesh,2020,241,2900,269,4338,164,730,25.3,22.1,24.9,17171,162,31,2020,"Financial Year (Apr - Mar), 2020"
Assam,2020,12916,31826,8741,72954,2957,11113,44.4,36.4,43.0,164299,4044,482,2020,"Financial Year (Apr - Mar), 2020"
Bihar,2020,43460,44537,14131,139590,7463,36589,37.2,51.6,36.1,375707,18883,2124,2020,"Financial Year (Apr - Mar), 2020"
Chandigarh,2020,2840,13326,36404,78002,454,,107.5,,108.5,72552,,,2020,"Financial Year (Apr - Mar), 2020"
Chhattisgarh,2020,15572,32621,25707,104647,2823,11332,65.2,31.0,62.4,160542,3511,624,2020,"Financial Year (Apr - Mar), 2020"
Dadra & Nagar Haveli,2020,95,1948,2700,6458,110,,64.7,,44.7,9979,,,2020,"Financial Year (Apr - Mar), 2020"
Delhi,2020,30271,116885,669143,1370412,3825,,110.7,,110.2,1238245,0,,2020,"Financial Year (Apr - Mar), 2020"
Goa,2020,843,10590,3972,20146,697,,26.3,,25.1,76533,,,2020,"Financial Year (Apr - Mar), 2020"
Gujarat,2020,63349,170900,250566,611499,8626,15268,82.8,61.5,74.8,738912,9389,756,2020,"Financial Year (Apr - Mar), 2020"
Haryana,2020,50436,83109,83374,308058,5224,16189,64.8,62.7,54.8,475352,10152,666,2020,"Financial Year (Apr - Mar), 2020"
Himachal Pradesh,2020,6525,12446,5034,32327,1652,5811,31.2,36.4,30.2,103545,2117,270,2020,"Financial Year (Apr - Mar), 2020"
