srcStateName,srcYear,Credit to agriculture by Scheduled Commercial Banks,Personal loans by Scheduled Commercial Banks,Credit to industry by Scheduled Commercial Banks,Credit by Scheduled Commercial Banks in India,Distribution of offices of Scheduled Commercial Banks,Deposits of Regional Rural Banks,Credit-Deposit ratio of Scheduled Commercial Banks according to place of utilisation,Credit-Deposit ratio of Regional Rural Banks,Credit-Deposit ratio of Scheduled Commercial Banks according to place of sanction,Deposits by Scheduled Commercial Banks in India,Credit of Regional Rural Banks,Number of Branches of Regional Rural Banks,YearCode,Year
Gujarat,2012,26700,33900,129200,213400,5548,5400,78.1,46.2,70.4,303100,2500,476,2012,"Financial Year (Apr - Mar), 2012"
Goa,2012,400,3500,4200,10200,521,,30.1,,28.1,36500,,,2012,"Financial Year (Apr - Mar), 2012"
Delhi,2012,19800,58000,322100,653700,2876,,93.8,,95.6,684100,,,2012,"Financial Year (Apr - Mar), 2012"
Daman & Diu,2012,0,100,500,400,34,,33.8,,17.4,2100,,,2012,"Financial Year (Apr - Mar), 2012"
Dadra & Nagar Haveli,2012,0,200,700,500,40,,60.5,,30.1,1600,,,2012,"Financial Year (Apr - Mar), 2012"
Chhattisgarh,2012,7100,7300,14000,36600,1597,5100,56.1,33.0,53.6,68300,1700,467,2012,"Financial Year (Apr - Mar), 2012"
Chandigarh,2012,4400,5800,23000,45500,363,,114.5,,115.5,39400,,,2012,"Financial Year (Apr - Mar), 2012"
Bihar,2012,15400,13500,4900,41400,4650,15100,31.7,46.7,29.7,139300,7000,1537,2012,"Financial Year (Apr - Mar), 2012"
Assam,2012,4000,10400,5300,25100,1639,5200,40.3,53.7,37.7,66600,2800,407,2012,"Financial Year (Apr - Mar), 2012"
Arunachal Pradesh,2012,100,800,300,1400,96,200,28.4,17.1,23.9,5800,,18,2012,"Financial Year (Apr - Mar), 2012"
Andhra Pradesh,2012,80300,77900,158600,384200,8333,15300,119.8,109.8,111.3,345200,16800,1403,2012,"Financial Year (Apr - Mar), 2012"
Andaman & Nicobar Islands,2012,0,400,100,800,46,,41.6,,38.5,2000,,,2012,"Financial Year (Apr - Mar), 2012"
Haryana,2012,23100,19500,51800,115800,3022,7000,94.5,69.4,79.4,145800,4900,446,2012,"Financial Year (Apr - Mar), 2012"
Kerala,2013,35400,61400,24300,173100,5430,17700,74.0,110.9,73.1,236700,7600,496,2013,"Financial Year (Apr - Mar), 2013"
Andaman & Nicobar Islands,2013,0,400,100,900,53,,38.9,,38.6,2300,,,2013,"Financial Year (Apr - Mar), 2013"
Andhra Pradesh,2013,96300,91700,178200,440700,9095,17400,116.0,118.1,112.0,393400,20600,1496,2013,"Financial Year (Apr - Mar), 2013"
Arunachal Pradesh,2013,100,900,1300,1500,106,200,38.4,21.6,21.8,7000,0,18,2013,"Financial Year (Apr - Mar), 2013"
Assam,2013,5400,9700,6100,28500,1749,5800,37.2,56.4,37.2,76700,3300,408,2013,"Financial Year (Apr - Mar), 2013"
Bihar,2013,20600,15600,7300,49800,4990,16000,35.0,49.1,30.5,163500,7900,1555,2013,"Financial Year (Apr - Mar), 2013"
Chandigarh,2013,4800,6000,29600,57900,383,,123.1,,127.5,45400,,,2013,"Financial Year (Apr - Mar), 2013"
Chhattisgarh,2013,10300,10100,18500,44600,1818,5900,61.0,33.7,53.8,82900,2000,499,2013,"Financial Year (Apr - Mar), 2013"
Dadra & Nagar Haveli,2013,0,200,800,700,47,,60.3,,37.1,2000,,,2013,"Financial Year (Apr - Mar), 2013"
Daman & Diu,2013,0,100,600,500,40,,34.2,,19.1,2500,,,2013,"Financial Year (Apr - Mar), 2013"
Delhi,2013,16300,58000,391800,734600,3045,,94.9,,97.7,752200,,,2013,"Financial Year (Apr - Mar), 2013"
Goa,2013,700,4200,3400,11500,570,,29.5,,28.8,39800,,,2013,"Financial Year (Apr - Mar), 2013"
Gujarat,2013,31200,43300,158800,261300,6084,6100,81.5,52.2,72.8,358800,3200,519,2013,"Financial Year (Apr - Mar), 2013"
Haryana,2013,25800,23100,57200,129700,3412,8500,86.0,65.4,76.5,169400,5500,508,2013,"Financial Year (Apr - Mar), 2013"
Himachal Pradesh,2013,3300,4400,6300,15800,1264,2100,41.6,43.4,35.1,45000,900,187,2013,"Financial Year (Apr - Mar), 2013"
Jammu and Kashmir,2013,2800,7200,4100,21900,1364,2600,37.2,39.6,36.9,59400,1000,266,2013,"Financial Year (Apr - Mar), 2013"
Jharkhand,2013,4600,10200,13400,33400,2368,4000,35.8,37.1,32.1,104100,1500,417,2013,"Financial Year (Apr - Mar), 2013"
Karnataka,2013,54300,86400,125000,332300,7797,,76.5,85.5,71.9,462200,15100,1325,2013,"Financial Year (Apr - Mar), 2013"
Lakshadweep,2013,0,,0,100,12,3900,9.9,,9.9,600,,,2013,"Financial Year (Apr - Mar), 2013"
Madhya Pradesh,2013,29200,21800,34700,115700,5085,12700,57.4,56.1,58.2,198600,7100,1127,2013,"Financial Year (Apr - Mar), 2013"
Maharashtra,2013,61300,148600,646000,1590900,10272,6200,80.8,68.9,89.4,1778900,4300,650,2013,"Financial Year (Apr - Mar), 2013"
Manipur,2013,300,800,200,1500,111,100,30.2,34.6,28.6,5100,0,27,2013,"Financial Year (Apr - Mar), 2013"
Meghalaya,2013,300,1200,1200,3300,256,1000,24.6,37.9,24.0,13700,400,55,2013,"Financial Year (Apr - Mar), 2013"
Mizoram,2013,300,900,200,1500,122,1000,38.7,44.7,35.3,4100,500,59,2013,"Financial Year (Apr - Mar), 2013"
Nagaland,2013,400,1100,400,1800,124,100,33.5,30.0,28.4,6300,,9,2013,"Financial Year (Apr - Mar), 2013"
Odisha,2013,11300,15300,26300,66200,3558,10100,50.9,61.1,46.3,142800,6100,884,2013,"Financial Year (Apr - Mar), 2013"
Puducherry,2013,1300,2500,1100,6900,187,200,80.4,117.6,83.3,8200,200,27,2013,"Financial Year (Apr - Mar), 2013"
Punjab,2013,36700,20500,64700,163000,4854,3900,78.9,79.9,81.6,199800,3100,300,2013,"Financial Year (Apr - Mar), 2013"
Rajasthan,2013,41200,27400,74200,163200,5359,12400,102.9,74.7,92.6,176300,9300,1159,2013,"Financial Year (Apr - Mar), 2013"
Sikkim,2013,100,800,600,1300,98,,37.5,,27.2,4900,,,2013,"Financial Year (Apr - Mar), 2013"
Tamil Nadu,2013,90600,111100,209200,549300,8245,6800,122.2,133.5,123.3,445500,5300,346,2013,"Financial Year (Apr - Mar), 2013"
Tripura,2013,700,1800,400,3900,301,3000,35.7,44.4,32.8,11800,1300,114,2013,"Financial Year (Apr - Mar), 2013"
Uttar Pradesh,2013,64500,46300,85100,225200,13092,44300,53.0,52.5,44.1,511100,23300,3396,2013,"Financial Year (Apr - Mar), 2013"
Uttarakhand,2013,4800,7200,7200,23000,1586,2200,37.3,57.6,34.8,65900,1200,231,2013,"Financial Year (Apr - Mar), 2013"
West Bengal,2013,21000,31300,137600,270100,6402,12200,63.3,49.1,62.0,435600,6000,907,2013,"Financial Year (Apr - Mar), 2013"
Puducherry,2014,1600,2800,1300,7300,205,300,80.8,110.0,77.9,9400,300,31,2014,"Financial Year (Apr - Mar), 2014"
Punjab,2014,50000,26700,66500,182000,5547,4500,81.3,82.2,79.1,230000,3700,311,2014,"Financial Year (Apr - Mar), 2014"
Rajasthan,2014,50800,31800,67000,175300,5907,13600,91.4,75.9,87.1,201300,10300,1198,2014,"Financial Year (Apr - Mar), 2014"
Sikkim,2014,100,800,700,1400,113,,37.3,,26.5,5200,,,2014,"Financial Year (Apr - Mar), 2014"
Tamil Nadu,2014,109200,112200,227700,608700,9090,7700,120.6,123.0,121.8,500000,5600,372,2014,"Financial Year (Apr - Mar), 2014"
Tripura,2014,800,1800,400,4400,354,3600,32.5,40.7,32.4,13500,1500,125,2014,"Financial Year (Apr - Mar), 2014"
Uttar Pradesh,2014,82300,54900,89000,266600,14694,48900,48.0,57.3,44.6,597700,28000,3604,2014,"Financial Year (Apr - Mar), 2014"
Uttarakhand,2014,6400,8600,6800,27100,1739,2500,36.7,61.3,35.6,76000,1500,243,2014,"Financial Year (Apr - Mar), 2014"
West Bengal,2014,26200,36500,157100,295900,6931,13800,63.9,50.0,61.6,480100,6900,907,2014,"Financial Year (Apr - Mar), 2014"
Jammu and Kashmir,2014,4200,8700,5200,26700,1535,2900,40.4,43.6,40.1,66600,1300,273,2014,"Financial Year (Apr - Mar), 2014"
Jharkhand,2014,5600,11400,12900,38200,2582,4200,33.0,39.7,31.8,120300,1700,433,2014,"Financial Year (Apr - Mar), 2014"
Karnataka,2014,73400,99300,140800,381400,8625,,76.5,85.0,71.0,536900,18100,1472,2014,"Financial Year (Apr - Mar), 2014"
Kerala,2014,40900,66300,28600,190600,5858,21300,67.8,118.1,67.7,281600,9000,509,2014,"Financial Year (Apr - Mar), 2014"
Lakshadweep,2014,0,,0,100,13,4600,8.6,,8.6,700,,,2014,"Financial Year (Apr - Mar), 2014"
Haryana,2014,33200,31800,59200,150900,3962,8700,88.5,66.8,78.1,193300,5800,542,2014,"Financial Year (Apr - Mar), 2014"
Gujarat,2014,34100,52800,182900,309800,6743,7100,81.0,53.7,74.7,414800,3800,581,2014,"Financial Year (Apr - Mar), 2014"
Goa,2014,1000,4800,4300,12900,632,,30.2,,28.7,45100,,,2014,"Financial Year (Apr - Mar), 2014"
Delhi,2014,27900,73100,493100,844400,3255,,105.1,,103.7,814700,,,2014,"Financial Year (Apr - Mar), 2014"
Daman & Diu,2014,0,200,700,700,44,,34.0,,21.9,3000,,,2014,"Financial Year (Apr - Mar), 2014"
Dadra & Nagar Haveli,2014,0,300,700,900,51,,52.9,,40.8,2300,,,2014,"Financial Year (Apr - Mar), 2014"
Chhattisgarh,2014,8900,11000,20500,52600,2062,6600,61.5,31.8,59.5,88500,2100,566,2014,"Financial Year (Apr - Mar), 2014"
Chandigarh,2014,3700,6300,33100,57900,408,,122.4,,120.0,48300,,,2014,"Financial Year (Apr - Mar), 2014"
Bihar,2014,25500,17500,7800,62500,5696,18400,34.8,54.4,32.8,190400,10000,1672,2014,"Financial Year (Apr - Mar), 2014"
Assam,2014,6300,12800,6200,31600,1945,6800,39.9,55.8,37.7,83800,3800,408,2014,"Financial Year (Apr - Mar), 2014"
Arunachal Pradesh,2014,100,1000,200,1800,128,300,24.8,18.0,23.7,7500,100,21,2014,"Financial Year (Apr - Mar), 2014"
Andhra Pradesh,2014,118200,106300,195500,490800,9900,20400,115.9,116.4,111.3,441000,23800,1531,2014,"Financial Year (Apr - Mar), 2014"
Andaman & Nicobar Islands,2014,100,500,100,1000,59,,38.5,,39.1,2600,,,2014,"Financial Year (Apr - Mar), 2014"
Madhya Pradesh,2014,39700,28800,35800,135800,5601,14200,63.3,56.3,60.4,224900,8000,1200,2014,"Financial Year (Apr - Mar), 2014"
Maharashtra,2014,71800,181300,740600,1821200,11203,7100,81.3,70.3,89.8,2028800,5000,680,2014,"Financial Year (Apr - Mar), 2014"
Manipur,2014,400,900,200,1700,134,100,34.0,38.5,33.6,5100,100,27,2014,"Financial Year (Apr - Mar), 2014"
Meghalaya,2014,700,1300,1400,4000,286,1000,28.6,45.9,27.4,14600,400,55,2014,"Financial Year (Apr - Mar), 2014"
Mizoram,2014,300,1100,100,1800,141,1000,40.5,50.2,37.8,4700,500,58,2014,"Financial Year (Apr - Mar), 2014"
Nagaland,2014,200,1200,400,2000,141,100,32.5,33.6,31.0,6500,,10,2014,"Financial Year (Apr - Mar), 2014"
Odisha,2014,14200,16700,24700,73300,3995,11100,46.2,59.8,44.6,164600,6600,884,2014,"Financial Year (Apr - Mar), 2014"
Himachal Pradesh,2014,4100,5700,5000,18600,1386,2500,37.8,39.3,35.8,52000,1000,188,2014,"Financial Year (Apr - Mar), 2014"
Haryana,2015,34800,37600,65000,168900,4407,9000,85.2,70.0,75.8,222700,6300,597,2015,"Financial Year (Apr - Mar), 2015"
Andaman & Nicobar Islands,2015,100,600,100,1200,61,,39.3,,40.1,2900,,,2015,"Financial Year (Apr - Mar), 2015"
Andhra Pradesh,2015,78200,51600,38300,198600,6290,15300,108.3,100.7,105.3,193300,15400,1015,2015,"Financial Year (Apr - Mar), 2015"
Sikkim,2016,100,1000,500,1700,128,,35.2,,28.0,6300,,,2016,"Financial Year (Apr - Mar), 2016"
Arunachal Pradesh,2015,200,1200,300,2200,135,400,29.1,25.0,26.8,8000,100,28,2015,"Financial Year (Apr - Mar), 2015"
Assam,2015,7400,13200,6600,35700,2103,7900,37.2,53.2,36.7,97400,4200,465,2015,"Financial Year (Apr - Mar), 2015"
Bihar,2015,28200,18500,8800,72900,6210,21200,34.3,55.2,33.6,216800,11700,1950,2015,"Financial Year (Apr - Mar), 2015"
Chandigarh,2015,2500,7600,36300,58700,439,,110.2,,105.9,55400,,,2015,"Financial Year (Apr - Mar), 2015"
Chhattisgarh,2015,10700,12600,23100,61100,2253,7400,63.4,31.1,61.6,99200,2300,583,2015,"Financial Year (Apr - Mar), 2015"
Dadra & Nagar Haveli,2015,0,300,400,1000,53,,36.2,,35.3,2700,,,2015,"Financial Year (Apr - Mar), 2015"
Daman & Diu,2015,0,200,600,800,47,,33.6,,24.3,3300,,,2015,"Financial Year (Apr - Mar), 2015"
Delhi,2015,20500,66100,515400,907300,3447,,105.0,,102.6,884400,,,2015,"Financial Year (Apr - Mar), 2015"
Goa,2015,800,5700,4100,13700,670,,28.2,,26.7,51500,,,2015,"Financial Year (Apr - Mar), 2015"
Gujarat,2015,38200,62400,205100,347100,7241,8100,79.0,54.3,72.7,477800,4400,640,2015,"Financial Year (Apr - Mar), 2015"
Himachal Pradesh,2015,4500,6000,5300,21100,1466,3000,36.6,33.3,35.3,59900,1000,188,2015,"Financial Year (Apr - Mar), 2015"
Jammu and Kashmir,2015,5300,10600,6000,31100,1634,3100,42.5,45.2,42.2,73700,1400,275,2015,"Financial Year (Apr - Mar), 2015"
Jharkhand,2015,6000,13100,13000,42000,2763,4700,30.6,40.4,29.6,142100,1900,433,2015,"Financial Year (Apr - Mar), 2015"
Karnataka,2015,76300,120900,155500,429200,9365,10700,72.6,85.8,67.7,634300,21700,1621,2015,"Financial Year (Apr - Mar), 2015"
Kerala,2015,54400,67700,30900,212200,6190,25300,65.4,123.8,64.6,328400,10400,558,2015,"Financial Year (Apr - Mar), 2015"
Lakshadweep,2015,0,,0,100,13,5800,9.1,,9.1,800,,,2015,"Financial Year (Apr - Mar), 2015"
Madhya Pradesh,2015,46400,34400,38200,153000,5997,15000,57.6,61.3,54.8,279300,9200,1234,2015,"Financial Year (Apr - Mar), 2015"
Maharashtra,2015,74800,201300,784600,1977300,11810,8400,82.7,70.2,92.0,2150000,5900,699,2015,"Financial Year (Apr - Mar), 2015"
Manipur,2015,300,1100,200,1900,138,200,34.5,50.0,34.0,5700,100,21,2015,"Financial Year (Apr - Mar), 2015"
Meghalaya,2015,500,1800,1200,4300,294,1100,26.9,54.5,25.9,16600,600,62,2015,"Financial Year (Apr - Mar), 2015"
Mizoram,2015,400,1200,100,2000,151,1400,39.9,50.0,37.8,5300,700,64,2015,"Financial Year (Apr - Mar), 2015"
Nagaland,2015,200,1400,400,2300,145,100,34.1,0.0,32.7,6900,,10,2015,"Financial Year (Apr - Mar), 2015"
Odisha,2015,16900,18700,26600,79700,4410,11700,43.9,59.8,41.9,190100,7000,934,2015,"Financial Year (Apr - Mar), 2015"
Puducherry,2015,1800,3000,1300,7900,228,400,74.4,100.0,71.5,11100,400,33,2015,"Financial Year (Apr - Mar), 2015"
Uttar Pradesh,2015,93200,64900,102800,305500,15773,55100,48.9,58.4,45.4,672500,32200,3828,2015,"Financial Year (Apr - Mar), 2015"
Uttarakhand,2015,6800,9700,7000,30600,1903,2900,35.2,62.1,34.5,88600,1800,262,2015,"Financial Year (Apr - Mar), 2015"
West Bengal,2015,24000,38600,173200,320100,7327,15400,60.3,50.0,57.8,553700,7700,925,2015,"Financial Year (Apr - Mar), 2015"
Karnataka,2016,87600,142600,159600,488100,9640,12630,75.4,81.4,70.1,696000,24980,1652,2016,"Financial Year (Apr - Mar), 2016"
Andaman & Nicobar Islands,2016,0,700,100,1400,63,,43.6,,44.2,3200,,,2016,"Financial Year (Apr - Mar), 2016"
Andhra Pradesh,2016,82100,61800,44000,222900,6567,19050,109.6,90.8,106.0,210200,17290,1098,2016,"Financial Year (Apr - Mar), 2016"
Arunachal Pradesh,2016,100,1400,200,2500,143,450,29.1,26.7,29.0,8700,120,29,2016,"Financial Year (Apr - Mar), 2016"
Assam,2016,9400,15500,7200,43200,2209,7930,43.4,56.0,42.2,102300,4440,465,2016,"Financial Year (Apr - Mar), 2016"
Bihar,2016,30100,22200,9700,81200,6445,24370,34.5,50.7,33.4,243000,13220,2056,2016,"Financial Year (Apr - Mar), 2016"
Chandigarh,2016,2500,8000,32000,54400,433,,100.0,,97.8,55600,,,2016,"Financial Year (Apr - Mar), 2016"
Chhattisgarh,2016,10800,15700,25000,66400,2346,8150,66.3,31.2,63.5,104600,2540,586,2016,"Financial Year (Apr - Mar), 2016"
Dadra & Nagar Haveli,2016,0,400,500,1100,54,,40.2,,35.8,3000,,,2016,"Financial Year (Apr - Mar), 2016"
Daman & Diu,2016,0,200,500,800,47,,29.2,,22.9,3700,,,2016,"Financial Year (Apr - Mar), 2016"
Delhi,2016,24600,78600,565300,970500,3511,,102.9,,100.4,967000,,,2016,"Financial Year (Apr - Mar), 2016"
Goa,2016,700,6300,4700,15100,670,,29.0,,27.1,55900,,,2016,"Financial Year (Apr - Mar), 2016"
Gujarat,2016,44800,79700,224400,390700,7432,9410,82.4,56.3,75.4,518400,5300,695,2016,"Financial Year (Apr - Mar), 2016"
Haryana,2016,39500,42000,63400,176500,4567,9900,82.6,71.3,69.9,252600,6990,610,2016,"Financial Year (Apr - Mar), 2016"
Himachal Pradesh,2016,5900,6400,4700,21800,1510,3260,33.6,35.9,32.9,66300,1170,188,2016,"Financial Year (Apr - Mar), 2016"
Jammu and Kashmir,2016,5500,13300,6300,35400,1706,3610,44.7,47.9,44.2,80300,1730,326,2016,"Financial Year (Apr - Mar), 2016"
Jharkhand,2016,6100,15900,13900,47100,2840,5370,30.7,40.4,29.6,159600,2170,449,2016,"Financial Year (Apr - Mar), 2016"
Kerala,2016,51300,77600,33500,227300,6299,30680,63.0,115.4,62.1,366100,11920,589,2016,"Financial Year (Apr - Mar), 2016"
Lakshadweep,2016,0,,0,0,13,7000,10.5,,10.5,700,,,2016,"Financial Year (Apr - Mar), 2016"
Madhya Pradesh,2016,50500,41400,39300,172900,6209,16900,63.5,61.8,61.2,282500,10440,1294,2016,"Financial Year (Apr - Mar), 2016"
Maharashtra,2016,87000,241600,872600,2244200,12058,9320,91.4,75.0,102.9,2181700,6990,711,2016,"Financial Year (Apr - Mar), 2016"
Manipur,2016,400,1500,100,2400,150,215,42.3,41.9,41.1,6000,90,21,2016,"Financial Year (Apr - Mar), 2016"
Meghalaya,2016,900,1900,800,4400,319,1240,25.2,50.0,24.8,18100,620,79,2016,"Financial Year (Apr - Mar), 2016"
Mizoram,2016,300,1500,100,2300,167,1520,41.7,56.6,40.1,5900,860,80,2016,"Financial Year (Apr - Mar), 2016"
Nagaland,2016,200,1600,300,2600,150,67,34.7,32.8,34.1,7700,22,10,2016,"Financial Year (Apr - Mar), 2016"
Odisha,2016,18000,21300,26600,85400,4567,13140,43.3,56.2,40.8,209200,7380,961,2016,"Financial Year (Apr - Mar), 2016"
Puducherry,2016,1700,3300,1400,8500,234,450,69.4,95.6,67.1,12600,430,36,2016,"Financial Year (Apr - Mar), 2016"
Punjab,2016,62000,31200,67700,202400,6168,6070,71.7,86.3,69.8,290100,5240,387,2016,"Financial Year (Apr - Mar), 2016"
Rajasthan,2016,66000,47500,39900,187500,6805,17000,76.3,79.0,72.4,258900,13600,1403,2016,"Financial Year (Apr - Mar), 2016"
Tamil Nadu,2016,116800,137600,238100,682000,10164,10330,112.4,96.6,113.7,600000,6760,485,2016,"Financial Year (Apr - Mar), 2016"
Telangana,2016,43500,79500,199500,371900,4918,12630,111.5,99.1,104.5,355700,12520,817,2016,"Financial Year (Apr - Mar), 2016"
Tripura,2016,1700,2300,400,6100,424,4790,35.9,38.5,35.3,17300,1844,137,2016,"Financial Year (Apr - Mar), 2016"
Uttar Pradesh,2016,107700,78300,96100,330900,16264,62700,49.6,59.6,44.6,742200,37480,4005,2016,"Financial Year (Apr - Mar), 2016"
Uttarakhand,2016,7300,11600,6900,33700,1978,3210,35.8,60.7,34.9,96500,1950,288,2016,"Financial Year (Apr - Mar), 2016"
West Bengal,2016,29500,46200,174900,335800,7660,17470,57.3,49.6,55.1,609900,8670,959,2016,"Financial Year (Apr - Mar), 2016"
Telangana,2017,47700,90200,202400,395359,5134,15510,103.6,91.7,97.0,407654,14220,866,2017,"Financial Year (Apr - Mar), 2017"
Uttarakhand,2017,8000,13500,8800,39094,2029,4010,35.3,49.6,34.3,114114,1990,292,2017,"Financial Year (Apr - Mar), 2017"
Andaman & Nicobar Islands,2017,100,900,300,1579,67,,42.4,,38.5,4102,,,2017,"Financial Year (Apr - Mar), 2017"
Andhra Pradesh,2017,89800,72100,49900,252040,6839,23150,104.4,86.7,101.1,249229,20080,1171,2017,"Financial Year (Apr - Mar), 2017"
Arunachal Pradesh,2017,200,1700,300,2843,151,570,25.1,24.6,24.0,11866,140,29,2017,"Financial Year (Apr - Mar), 2017"
Assam,2017,10500,18200,8400,48754,2306,8540,42.1,52.9,40.3,120976,4520,479,2017,"Financial Year (Apr - Mar), 2017"
Bihar,2017,34400,26300,9500,91294,6602,28990,32.0,50.4,30.9,295173,14620,2097,2017,"Financial Year (Apr - Mar), 2017"
Chandigarh,2017,2100,9100,33800,60025,444,,103.5,,100.7,59618,,,2017,"Financial Year (Apr - Mar), 2017"
Chhattisgarh,2017,11700,18500,25800,74179,2443,9080,65.0,29.0,62.4,118872,2630,597,2017,"Financial Year (Apr - Mar), 2017"
Dadra & Nagar Haveli,2017,100,600,600,1310,58,,41.5,,36.5,3593,,,2017,"Financial Year (Apr - Mar), 2017"
Daman & Diu,2017,0,300,900,1006,47,,35.3,,23.5,4289,,,2017,"Financial Year (Apr - Mar), 2017"
Delhi,2017,20400,84600,562300,965047,3615,,91.9,,88.3,1092455,,,2017,"Financial Year (Apr - Mar), 2017"
Goa,2017,700,7200,4600,15856,686,,27.6,,25.7,61693,,,2017,"Financial Year (Apr - Mar), 2017"
Gujarat,2017,50600,94400,220400,415846,7697,11790,75.2,53.9,68.9,603973,6350,736,2017,"Financial Year (Apr - Mar), 2017"
Haryana,2017,43600,49700,68100,183071,4762,11840,69.1,64.8,59.1,309629,7670,642,2017,"Financial Year (Apr - Mar), 2017"
Himachal Pradesh,2017,5700,7900,4400,23339,1542,3970,31.1,32.5,29.7,78523,1290,186,2017,"Financial Year (Apr - Mar), 2017"
Jammu and Kashmir,2017,5600,14800,6300,37194,1741,4030,40.4,42.4,39.8,93346,1710,328,2017,"Financial Year (Apr - Mar), 2017"
Punjab,2015,57200,28500,70900,196600,6024,5200,76.8,86.5,75.1,262000,4500,367,2015,"Financial Year (Apr - Mar), 2015"
Rajasthan,2015,56400,38000,76100,203000,6426,15300,90.1,77.1,86.2,235500,11800,1324,2015,"Financial Year (Apr - Mar), 2015"
Sikkim,2015,100,800,800,1500,122,,37.0,,25.6,5700,,,2015,"Financial Year (Apr - Mar), 2015"
Tamil Nadu,2015,115100,128000,236100,649200,9847,8400,117.5,106.9,119.0,545300,6200,448,2015,"Financial Year (Apr - Mar), 2015"
Telangana,2015,41300,68700,177800,333500,4721,10700,107.8,102.8,101.6,323500,11000,780,2015,"Financial Year (Apr - Mar), 2015"
Tripura,2015,800,2200,600,5200,379,4100,34.0,39.0,33.7,15500,1600,128,2015,"Financial Year (Apr - Mar), 2015"
Jharkhand,2017,6800,17900,15000,49963,2910,6480,29.1,36.3,27.1,184172,2350,441,2017,"Financial Year (Apr - Mar), 2017"
Uttar Pradesh,2017,122300,90600,82800,354027,16774,75610,43.0,55.2,40.0,885163,41700,4188,2017,"Financial Year (Apr - Mar), 2017"
Karnataka,2017,92200,166400,159500,524756,10037,15510,71.2,76.9,67.0,783250,27770,1742,2017,"Financial Year (Apr - Mar), 2017"
Kerala,2017,53200,91100,35200,245827,6452,36100,61.2,113.2,59.8,411408,13740,614,2017,"Financial Year (Apr - Mar), 2017"
Lakshadweep,2017,0,100,0,80,13,8870,8.4,,8.4,961,,,2017,"Financial Year (Apr - Mar), 2017"
Madhya Pradesh,2017,56800,48100,40800,190639,6411,19540,63.4,56.1,60.9,313014,10960,1327,2017,"Financial Year (Apr - Mar), 2017"
Maharashtra,2017,98000,295200,894000,2327351,12392,10620,94.0,73.1,106.0,2195511,7760,727,2017,"Financial Year (Apr - Mar), 2017"
Manipur,2017,500,1900,200,3005,159,280,39.7,39.3,38.7,7774,110,21,2017,"Financial Year (Apr - Mar), 2017"
Meghalaya,2017,700,2500,900,5290,338,1800,26.3,36.7,25.9,20450,660,91,2017,"Financial Year (Apr - Mar), 2017"
Mizoram,2017,300,1700,100,2607,186,1820,37.8,52.2,36.4,7166,950,85,2017,"Financial Year (Apr - Mar), 2017"
Nagaland,2017,300,1900,400,2970,157,90,33.1,22.2,31.5,9422,20,10,2017,"Financial Year (Apr - Mar), 2017"
Odisha,2017,17100,24600,29000,93366,4748,15080,40.5,49.6,38.1,245281,7480,990,2017,"Financial Year (Apr - Mar), 2017"
Tripura,2017,1900,2400,1400,7354,442,5380,36.5,37.0,35.9,20481,1990,144,2017,"Financial Year (Apr - Mar), 2017"
West Bengal,2017,28300,54400,175200,343079,7903,20660,52.5,44.5,50.3,682175,9200,961,2017,"Financial Year (Apr - Mar), 2017"
Puducherry,2017,2100,3700,1500,9336,241,540,66.3,85.2,63.9,14606,460,37,2017,"Financial Year (Apr - Mar), 2017"
Punjab,2017,66400,35600,65100,228314,6366,7200,71.2,81.3,69.0,330956,5850,403,2017,"Financial Year (Apr - Mar), 2017"
Rajasthan,2017,75900,56900,42200,212779,7011,21300,71.6,71.4,67.8,313673,15210,1489,2017,"Financial Year (Apr - Mar), 2017"
Sikkim,2017,100,1100,400,1905,131,,31.6,,27.4,6954,,,2017,"Financial Year (Apr - Mar), 2017"
Tamil Nadu,2017,124100,156200,232000,707383,10487,12140,103.8,86.9,105.8,668507,7710,558,2017,"Financial Year (Apr - Mar), 2017"
Andaman & Nicobar Islands,2018,100,1100,300,1800,69,,42.7,,39.4,4700,,,2018,"Financial Year (Apr - Mar), 2018"
Andhra Pradesh,2018,106000,87800,55400,309200,6935,26200,114.1,93.5,112.6,274600,24500,1231,2018,"Financial Year (Apr - Mar), 2018"
Arunachal Pradesh,2018,400,2300,400,3400,153,600,30.3,33.3,25.0,13400,200,30,2018,"Financial Year (Apr - Mar), 2018"
Assam,2018,11300,22900,8500,57200,2370,9300,44.0,46.2,42.6,134300,4300,481,2018,"Financial Year (Apr - Mar), 2018"
Bihar,2018,35600,31300,12400,101200,6711,30900,34.0,52.1,32.2,314800,16100,2117,2018,"Financial Year (Apr - Mar), 2018"
Chandigarh,2018,2500,10300,34900,69700,441,,115.4,,112.5,61900,,,2018,"Financial Year (Apr - Mar), 2018"
Chhattisgarh,2018,10400,22600,29100,83700,2516,9700,65.9,28.9,63.2,132400,2800,618,2018,"Financial Year (Apr - Mar), 2018"
Dadra & Nagar Haveli,2018,100,800,900,1700,59,,53.8,,43.5,3900,,,2018,"Financial Year (Apr - Mar), 2018"
Daman & Diu,2018,0,500,700,1300,47,,32.8,,27.5,4600,,,2018,"Financial Year (Apr - Mar), 2018"
Delhi,2018,33400,99300,594600,1077000,3613,,96.3,,94.1,1144600,,,2018,"Financial Year (Apr - Mar), 2018"
