srcStateName,srcYear,Gross sown area ,Net Sown Area,Gross irrigated area ,Net irrigated area ,Cropping intensity (%),YearCode,Year
Chhattisgarh,2013-14,5698,4686,1751,1462,121.6,2013,"Calendar Year (Jan - Dec), 2013"
Arunachal Pradesh,2013-14,296,225,57,57,131.4,2013,"Calendar Year (Jan - Dec), 2013"
Assam,2013-14,4100,2820,375,303,145.4,2013,"Calendar Year (Jan - Dec), 2013"
Uttarakhand,2013-14,1099,701,544,328,156.8,2013,"Calendar Year (Jan - Dec), 2013"
Goa,2013-14,158,129,38,38,122.2,2013,"Calendar Year (Jan - Dec), 2013"
Gujarat,2013-14,12487,10302,5939,4233,121.2,2013,"Calendar Year (Jan - Dec), 2013"
Haryana,2013-14,6471,3497,5708,2931,185,2013,"Calendar Year (Jan - Dec), 2013"
Himachal Pradesh,2013-14,940,549,197,114,171.3,2013,"Calendar Year (Jan - Dec), 2013"
Jammu and Kashmir,2013-14,1160,741,487,323,156.6,2013,"Calendar Year (Jan - Dec), 2013"
Jharkhand,2013-14,1672,1384,238,217,120.8,2013,"Calendar Year (Jan - Dec), 2013"
Karnataka,2013-14,12267,9923,4112,3556,123.6,2013,"Calendar Year (Jan - Dec), 2013"
Kerala,2013-14,2617,2051,468,397,127.6,2013,"Calendar Year (Jan - Dec), 2013"
Uttar Pradesh,2013-14,25896,16546,20403,14027,156.5,2013,"Calendar Year (Jan - Dec), 2013"
Madhya Pradesh,2013-14,24047,15422,9919,9455,155.9,2013,"Calendar Year (Jan - Dec), 2013"
West Bengal,2013-14,9618,5234,5661,3099,183.8,2013,"Calendar Year (Jan - Dec), 2013"
NCT of Delhi,2013-14,35,22,29,22,161.5,2013,"Calendar Year (Jan - Dec), 2013"
Maharashtra,2013-14,23328,17368,4556,3248,134.3,2013,"Calendar Year (Jan - Dec), 2013"
Manipur,2013-14,377,377,69,69,100,2013,"Calendar Year (Jan - Dec), 2013"
Meghalaya,2013-14,343,286,127,68,120,2013,"Calendar Year (Jan - Dec), 2013"
Mizoram,2013-14,114,114,16,16,100,2013,"Calendar Year (Jan - Dec), 2013"
Nagaland,2013-14,499,380,100,91,131.2,2013,"Calendar Year (Jan - Dec), 2013"
Odisha,2013-14,5168,4495,1505,1245,115,2013,"Calendar Year (Jan - Dec), 2013"
Puducherry,2013-14,25,15,21,13,163.8,2013,"Calendar Year (Jan - Dec), 2013"
Punjab,2013-14,7848,4145,7732,4143,189.3,2013,"Calendar Year (Jan - Dec), 2013"
