ROWID,Country,State lgd code,State,YearCode,Year,Gross sown area ,Net sown area,Gross irrigated area ,Net irrigated area ,Cropping intensity (%)
252,India,10,Bihar,2010,"Calendar Year (Jan - Dec), 2010",7194,5259,4448,3030,136.8
253,India,10,Bihar,2011,"Calendar Year (Jan - Dec), 2011",7647,5396,5158,3052,141.7
254,India,10,Bihar,2012,"Calendar Year (Jan - Dec), 2012",7778,5402,5327,3053,144
255,India,10,Bihar,2013,"Calendar Year (Jan - Dec), 2013",7580,5252,5145,2933,144.3
256,India,10,Bihar,2014,"Calendar Year (Jan - Dec), 2014",7673,5278,5268,2987,145.4
257,India,10,Bihar,2015,"Calendar Year (Jan - Dec), 2015",7572,5205,5247,2958,145.5
258,India,10,Bihar,2016,"Calendar Year (Jan - Dec), 2016",7654,5293,5341,3101,144.6
259,India,10,Bihar,2017,"Calendar Year (Jan - Dec), 2017",7525,5242,5414,3105,143.6
260,India,10,Bihar,2018,"Calendar Year (Jan - Dec), 2018",7406,5167,5493,3115,143.3
261,India,10,Bihar,2019,"Calendar Year (Jan - Dec), 2019",7297,5077,5435,3059,143.7
262,India,11,Sikkim,1991,"Calendar Year (Jan - Dec), 1991",130,95,16,16,136.9
263,India,11,Sikkim,1992,"Calendar Year (Jan - Dec), 1992",125,95,16,16,131.6
264,India,11,Sikkim,1993,"Calendar Year (Jan - Dec), 1993",127,95,16,16,133.7
265,India,11,Sikkim,1994,"Calendar Year (Jan - Dec), 1994",139,95,16,16,146.3
266,India,11,Sikkim,1995,"Calendar Year (Jan - Dec), 1995",141,95,16,16,148.4
267,India,11,Sikkim,1996,"Calendar Year (Jan - Dec), 1996",136,124,16,9,109.7
268,India,11,Sikkim,1997,"Calendar Year (Jan - Dec), 1997",134,122,16,9,109.8
269,India,11,Sikkim,1998,"Calendar Year (Jan - Dec), 1998",113,103,16,9,109.8
270,India,11,Sikkim,1999,"Calendar Year (Jan - Dec), 1999",114,104,16,9,109.8
271,India,11,Sikkim,2000,"Calendar Year (Jan - Dec), 2000",117,78,11,6,149.7
272,India,11,Sikkim,2001,"Calendar Year (Jan - Dec), 2001",123,78,12,6,157.2
273,India,11,Sikkim,2002,"Calendar Year (Jan - Dec), 2002",119,78,11,6,152.1
274,India,11,Sikkim,2003,"Calendar Year (Jan - Dec), 2003",121,78,11,6,155.1
275,India,11,Sikkim,2004,"Calendar Year (Jan - Dec), 2004",123,78,11,6,158.1
276,India,11,Sikkim,2005,"Calendar Year (Jan - Dec), 2005",123,78,19,14,158.3
277,India,11,Sikkim,2006,"Calendar Year (Jan - Dec), 2006",123,77,19,14,159.5
278,India,11,Sikkim,2007,"Calendar Year (Jan - Dec), 2007",118,77,17,14,152.7
279,India,11,Sikkim,2008,"Calendar Year (Jan - Dec), 2008",118,77,18,14,152.3
280,India,11,Sikkim,2009,"Calendar Year (Jan - Dec), 2009",144,77,20,14,186
281,India,11,Sikkim,2010,"Calendar Year (Jan - Dec), 2010",152,77,15,15,196.2
282,India,11,Sikkim,2011,"Calendar Year (Jan - Dec), 2011",137,77,14,14,177.8
283,India,11,Sikkim,2012,"Calendar Year (Jan - Dec), 2012",144,77,13,13,186.2
284,India,11,Sikkim,2013,"Calendar Year (Jan - Dec), 2013",147,77,13,13,190.5
285,India,11,Sikkim,2014,"Calendar Year (Jan - Dec), 2014",136,77,12,12,176
286,India,11,Sikkim,2015,"Calendar Year (Jan - Dec), 2015",137,77,16,16,177
287,India,11,Sikkim,2016,"Calendar Year (Jan - Dec), 2016",146,77,16,16,189.2
288,India,11,Sikkim,2017,"Calendar Year (Jan - Dec), 2017",153,77,15,15,197.8
289,India,11,Sikkim,2018,"Calendar Year (Jan - Dec), 2018",,,,,
290,India,11,Sikkim,2019,"Calendar Year (Jan - Dec), 2019",,,,,
291,India,12,Arunachal Pradesh,1991,"Calendar Year (Jan - Dec), 1991",253,149,32,31,169.3
292,India,12,Arunachal Pradesh,1992,"Calendar Year (Jan - Dec), 1992",255,150,36,36,170
293,India,12,Arunachal Pradesh,1993,"Calendar Year (Jan - Dec), 1993",258,150,36,36,172
294,India,12,Arunachal Pradesh,1994,"Calendar Year (Jan - Dec), 1994",243,185,36,36,131.4
295,India,12,Arunachal Pradesh,1995,"Calendar Year (Jan - Dec), 1995",244,185,36,36,131.9
296,India,12,Arunachal Pradesh,1996,"Calendar Year (Jan - Dec), 1996",214,164,43,42,130.6
297,India,12,Arunachal Pradesh,1997,"Calendar Year (Jan - Dec), 1997",222,164,43,42,135.5
298,India,12,Arunachal Pradesh,1998,"Calendar Year (Jan - Dec), 1998",218,160,42,42,136.4
299,India,12,Arunachal Pradesh,1999,"Calendar Year (Jan - Dec), 1999",243,173,36,35,140.6
300,India,12,Arunachal Pradesh,2000,"Calendar Year (Jan - Dec), 2000",242,164,43,42,147.6
301,India,12,Arunachal Pradesh,2001,"Calendar Year (Jan - Dec), 2001",248,164,43,42,150.9
302,India,12,Arunachal Pradesh,2002,"Calendar Year (Jan - Dec), 2002",256,164,43,43,156.1
303,India,12,Arunachal Pradesh,2003,"Calendar Year (Jan - Dec), 2003",254,201,47,47,126.4
304,India,12,Arunachal Pradesh,2004,"Calendar Year (Jan - Dec), 2004",255,202,49,49,126.5
305,India,12,Arunachal Pradesh,2005,"Calendar Year (Jan - Dec), 2005",266,206,50,50,129.4
306,India,12,Arunachal Pradesh,2006,"Calendar Year (Jan - Dec), 2006",271,209,52,52,129.7
307,India,12,Arunachal Pradesh,2007,"Calendar Year (Jan - Dec), 2007",272,210,54,54,129.8
308,India,12,Arunachal Pradesh,2008,"Calendar Year (Jan - Dec), 2008",276,211,56,56,130.6
309,India,12,Arunachal Pradesh,2009,"Calendar Year (Jan - Dec), 2009",276,212,56,56,130.2
310,India,12,Arunachal Pradesh,2010,"Calendar Year (Jan - Dec), 2010",278,213,56,56,130.5
311,India,12,Arunachal Pradesh,2011,"Calendar Year (Jan - Dec), 2011",281,215,57,57,131
312,India,12,Arunachal Pradesh,2012,"Calendar Year (Jan - Dec), 2012",285,216,57,57,131.7
313,India,12,Arunachal Pradesh,2013,"Calendar Year (Jan - Dec), 2013",296,225,57,57,131.4
314,India,12,Arunachal Pradesh,2014,"Calendar Year (Jan - Dec), 2014",299,225,56,56,132.8
315,India,12,Arunachal Pradesh,2015,"Calendar Year (Jan - Dec), 2015",301,227,56,56,132.9
316,India,12,Arunachal Pradesh,2016,"Calendar Year (Jan - Dec), 2016",313,232,56,54,135
317,India,12,Arunachal Pradesh,2017,"Calendar Year (Jan - Dec), 2017",316,233,56,55,135.6
318,India,12,Arunachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",320,234,56,55,136.8
319,India,12,Arunachal Pradesh,2019,"Calendar Year (Jan - Dec), 2019",320,234,56,56,136.8
320,India,13,Nagaland,1991,"Calendar Year (Jan - Dec), 1991",214,194,60,59,110.4
321,India,13,Nagaland,1992,"Calendar Year (Jan - Dec), 1992",228,204,62,60,111.9
322,India,13,Nagaland,1993,"Calendar Year (Jan - Dec), 1993",217,189,63,61,114.8
323,India,13,Nagaland,1994,"Calendar Year (Jan - Dec), 1994",221,206,65,62,107.3
324,India,13,Nagaland,1995,"Calendar Year (Jan - Dec), 1995",228,211,72,62,108.1
325,India,13,Nagaland,1996,"Calendar Year (Jan - Dec), 1996",246,225,73,62,109.3
326,India,13,Nagaland,1997,"Calendar Year (Jan - Dec), 1997",260,251,70,62,103.6
327,India,13,Nagaland,1998,"Calendar Year (Jan - Dec), 1998",286,261,73,63,109.4
328,India,13,Nagaland,1999,"Calendar Year (Jan - Dec), 1999",317,284,76,63,111.8
329,India,13,Nagaland,2000,"Calendar Year (Jan - Dec), 2000",336,301,77,64,111.6
330,India,13,Nagaland,2001,"Calendar Year (Jan - Dec), 2001",378,333,80,65,113.5
331,India,13,Nagaland,2002,"Calendar Year (Jan - Dec), 2002",370,324,81,65,114
332,India,13,Nagaland,2003,"Calendar Year (Jan - Dec), 2003",370,305,104,67,121.2
333,India,13,Nagaland,2004,"Calendar Year (Jan - Dec), 2004",380,309,104,66,123.1
334,India,13,Nagaland,2005,"Calendar Year (Jan - Dec), 2005",387,309,106,67,125.2
335,India,13,Nagaland,2006,"Calendar Year (Jan - Dec), 2006",406,322,106,65,125.9
336,India,13,Nagaland,2007,"Calendar Year (Jan - Dec), 2007",400,316,116,76,126.6
337,India,13,Nagaland,2008,"Calendar Year (Jan - Dec), 2008",402,316,82,77,127.2
338,India,13,Nagaland,2009,"Calendar Year (Jan - Dec), 2009",486,361,85,73,134.8
339,India,13,Nagaland,2010,"Calendar Year (Jan - Dec), 2010",452,362,92,83,124.9
340,India,13,Nagaland,2011,"Calendar Year (Jan - Dec), 2011",474,379,92,84,125
341,India,13,Nagaland,2012,"Calendar Year (Jan - Dec), 2012",489,380,92,85,128.5
342,India,13,Nagaland,2013,"Calendar Year (Jan - Dec), 2013",499,380,100,91,131.2
343,India,13,Nagaland,2014,"Calendar Year (Jan - Dec), 2014",500,384,106,97,130.3
344,India,13,Nagaland,2015,"Calendar Year (Jan - Dec), 2015",504,384,114,104,131.2
345,India,13,Nagaland,2016,"Calendar Year (Jan - Dec), 2016",521,385,121,110,135.5
346,India,13,Nagaland,2017,"Calendar Year (Jan - Dec), 2017",530,385,123,116,137.7
347,India,13,Nagaland,2018,"Calendar Year (Jan - Dec), 2018",529,384,126,118,137.8
348,India,13,Nagaland,2019,"Calendar Year (Jan - Dec), 2019",,,,,
349,India,14,Manipur,1991,"Calendar Year (Jan - Dec), 1991",192,140,75,65,137.4
350,India,14,Manipur,1992,"Calendar Year (Jan - Dec), 1992",187,140,75,65,133.6
351,India,14,Manipur,1993,"Calendar Year (Jan - Dec), 1993",276,226,75,65,122.1
352,India,14,Manipur,1994,"Calendar Year (Jan - Dec), 1994",189,140,75,65,135
353,India,14,Manipur,1995,"Calendar Year (Jan - Dec), 1995",187,140,75,65,133.6
354,India,14,Manipur,1996,"Calendar Year (Jan - Dec), 1996",220,220,75,65,100
355,India,14,Manipur,1997,"Calendar Year (Jan - Dec), 1997",207,207,75,65,100
356,India,14,Manipur,1998,"Calendar Year (Jan - Dec), 1998",216,216,75,65,100
357,India,14,Manipur,1999,"Calendar Year (Jan - Dec), 1999",199,199,38,38,100
358,India,14,Manipur,2000,"Calendar Year (Jan - Dec), 2000",209,209,45,45,100
359,India,14,Manipur,2001,"Calendar Year (Jan - Dec), 2001",216,216,40,40,100
360,India,14,Manipur,2002,"Calendar Year (Jan - Dec), 2002",212,212,54,54,100
361,India,14,Manipur,2003,"Calendar Year (Jan - Dec), 2003",217,217,40,40,100
362,India,14,Manipur,2004,"Calendar Year (Jan - Dec), 2004",238,238,54,54,100
363,India,14,Manipur,2005,"Calendar Year (Jan - Dec), 2005",225,225,51,51,100
364,India,14,Manipur,2006,"Calendar Year (Jan - Dec), 2006",225,225,51,51,100
365,India,14,Manipur,2007,"Calendar Year (Jan - Dec), 2007",235,235,51,51,100
366,India,14,Manipur,2008,"Calendar Year (Jan - Dec), 2008",236,236,52,52,100
367,India,14,Manipur,2009,"Calendar Year (Jan - Dec), 2009",234,234,52,52,100
368,India,14,Manipur,2010,"Calendar Year (Jan - Dec), 2010",348,348,73,73,100
369,India,14,Manipur,2011,"Calendar Year (Jan - Dec), 2011",365,365,69,69,100
370,India,14,Manipur,2012,"Calendar Year (Jan - Dec), 2012",309,309,49,49,100
371,India,14,Manipur,2013,"Calendar Year (Jan - Dec), 2013",377,377,69,69,100
372,India,14,Manipur,2014,"Calendar Year (Jan - Dec), 2014",383,383,69,69,100
373,India,14,Manipur,2015,"Calendar Year (Jan - Dec), 2015",437,437,73,73,100
374,India,14,Manipur,2016,"Calendar Year (Jan - Dec), 2016",469,469,75,75,100
375,India,14,Manipur,2017,"Calendar Year (Jan - Dec), 2017",446,446,73,73,100
376,India,14,Manipur,2018,"Calendar Year (Jan - Dec), 2018",,,,,
377,India,14,Manipur,2019,"Calendar Year (Jan - Dec), 2019",,,,,
378,India,15,Mizoram,1991,"Calendar Year (Jan - Dec), 1991",96,65,8,8,148.6
379,India,15,Mizoram,1992,"Calendar Year (Jan - Dec), 1992",102,65,8,8,156.9
380,India,15,Mizoram,1993,"Calendar Year (Jan - Dec), 1993",107,65,8,8,164.6
381,India,15,Mizoram,1994,"Calendar Year (Jan - Dec), 1994",112,103,9,7,108.7
382,India,15,Mizoram,1995,"Calendar Year (Jan - Dec), 1995",109,109,9,7,100
383,India,15,Mizoram,1996,"Calendar Year (Jan - Dec), 1996",96,96,9,7,100
384,India,15,Mizoram,1997,"Calendar Year (Jan - Dec), 1997",98,98,10,8,100
385,India,15,Mizoram,1998,"Calendar Year (Jan - Dec), 1998",101,101,10,9,100
386,India,15,Mizoram,1999,"Calendar Year (Jan - Dec), 1999",80,80,11,8,100
387,India,15,Mizoram,2000,"Calendar Year (Jan - Dec), 2000",82,82,13,9,100
388,India,15,Mizoram,2001,"Calendar Year (Jan - Dec), 2001",91,91,17,16,100
389,India,15,Mizoram,2002,"Calendar Year (Jan - Dec), 2002",92,92,17,16,100
390,India,15,Mizoram,2003,"Calendar Year (Jan - Dec), 2003",98,98,18,16,100
391,India,15,Mizoram,2004,"Calendar Year (Jan - Dec), 2004",97,97,19,16,100
392,India,15,Mizoram,2005,"Calendar Year (Jan - Dec), 2005",98,98,19,16,100
393,India,15,Mizoram,2006,"Calendar Year (Jan - Dec), 2006",91,91,11,11,100
394,India,15,Mizoram,2007,"Calendar Year (Jan - Dec), 2007",96,96,10,9,100
395,India,15,Mizoram,2008,"Calendar Year (Jan - Dec), 2008",95,95,11,11,100
396,India,15,Mizoram,2009,"Calendar Year (Jan - Dec), 2009",123,123,10,10,100
397,India,15,Mizoram,2010,"Calendar Year (Jan - Dec), 2010",121,121,12,12,100
398,India,15,Mizoram,2011,"Calendar Year (Jan - Dec), 2011",97,97,13,13,100
399,India,15,Mizoram,2012,"Calendar Year (Jan - Dec), 2012",116,116,15,14,100
400,India,15,Mizoram,2013,"Calendar Year (Jan - Dec), 2013",114,114,16,16,100
401,India,15,Mizoram,2014,"Calendar Year (Jan - Dec), 2014",145,145,21,16,100
402,India,15,Mizoram,2015,"Calendar Year (Jan - Dec), 2015",188,145,31,16,130.2
403,India,15,Mizoram,2016,"Calendar Year (Jan - Dec), 2016",186,145,30,16,128.8
404,India,15,Mizoram,2017,"Calendar Year (Jan - Dec), 2017",188,146,29,16,129.2
405,India,15,Mizoram,2018,"Calendar Year (Jan - Dec), 2018",,,,,
406,India,15,Mizoram,2019,"Calendar Year (Jan - Dec), 2019",,,,,
407,India,16,Tripura,1991,"Calendar Year (Jan - Dec), 1991",450,263,49,50,171.4
408,India,16,Tripura,1992,"Calendar Year (Jan - Dec), 1992",440,268,60,35,164.2
409,India,16,Tripura,1993,"Calendar Year (Jan - Dec), 1993",460,277,60,35,166.1
410,India,16,Tripura,1994,"Calendar Year (Jan - Dec), 1994",457,277,60,35,165
411,India,16,Tripura,1995,"Calendar Year (Jan - Dec), 1995",429,277,60,35,154.9
412,India,16,Tripura,1996,"Calendar Year (Jan - Dec), 1996",326,278,55,40,117.3
413,India,16,Tripura,1997,"Calendar Year (Jan - Dec), 1997",318,278,55,40,114.3
414,India,16,Tripura,1998,"Calendar Year (Jan - Dec), 1998",314,280,54,40,112.2
415,India,16,Tripura,1999,"Calendar Year (Jan - Dec), 1999",289,280,50,40,103.4
416,India,16,Tripura,2000,"Calendar Year (Jan - Dec), 2000",301,280,104,61,107.4
417,India,16,Tripura,2001,"Calendar Year (Jan - Dec), 2001",280,280,105,73,100
418,India,16,Tripura,2002,"Calendar Year (Jan - Dec), 2002",283,280,107,73,101.1
419,India,16,Tripura,2003,"Calendar Year (Jan - Dec), 2003",283,280,108,73,101.2
420,India,16,Tripura,2004,"Calendar Year (Jan - Dec), 2004",281,280,108,73,100.5
421,India,16,Tripura,2005,"Calendar Year (Jan - Dec), 2005",280,280,101,65,100
422,India,16,Tripura,2006,"Calendar Year (Jan - Dec), 2006",276,255,100,59,108.1
423,India,16,Tripura,2007,"Calendar Year (Jan - Dec), 2007",276,255,101,59,108.1
424,India,16,Tripura,2008,"Calendar Year (Jan - Dec), 2008",263,256,96,60,103.1
425,India,16,Tripura,2009,"Calendar Year (Jan - Dec), 2009",453,256,101,69,177.3
426,India,16,Tripura,2010,"Calendar Year (Jan - Dec), 2010",470,255,107,69,184
427,India,16,Tripura,2011,"Calendar Year (Jan - Dec), 2011",472,255,111,72,184.9
428,India,16,Tripura,2012,"Calendar Year (Jan - Dec), 2012",474,255,107,81,185.9
429,India,16,Tripura,2013,"Calendar Year (Jan - Dec), 2013",474,255,107,78,186
430,India,16,Tripura,2014,"Calendar Year (Jan - Dec), 2014",483,255,116,79,189.3
431,India,16,Tripura,2015,"Calendar Year (Jan - Dec), 2015",486,255,117,81,190.1
432,India,16,Tripura,2016,"Calendar Year (Jan - Dec), 2016",491,255,118,82,192
433,India,16,Tripura,2017,"Calendar Year (Jan - Dec), 2017",487,255,117,80,191
434,India,16,Tripura,2018,"Calendar Year (Jan - Dec), 2018",487,255,117,87,191
435,India,16,Tripura,2019,"Calendar Year (Jan - Dec), 2019",,,,,
436,India,17,Meghalaya,1991,"Calendar Year (Jan - Dec), 1991",240,202,45,45,118.6
437,India,17,Meghalaya,1992,"Calendar Year (Jan - Dec), 1992",239,201,45,45,118.9
438,India,17,Meghalaya,1993,"Calendar Year (Jan - Dec), 1993",239,201,45,45,118.9
439,India,17,Meghalaya,1994,"Calendar Year (Jan - Dec), 1994",238,201,45,45,118.4
440,India,17,Meghalaya,1995,"Calendar Year (Jan - Dec), 1995",247,206,45,45,119.9
441,India,17,Meghalaya,1996,"Calendar Year (Jan - Dec), 1996",260,216,53,48,120.4
442,India,17,Meghalaya,1997,"Calendar Year (Jan - Dec), 1997",251,207,54,47,121.3
443,India,17,Meghalaya,1998,"Calendar Year (Jan - Dec), 1998",266,221,55,48,120.1
444,India,17,Meghalaya,1999,"Calendar Year (Jan - Dec), 1999",276,230,60,52,120
445,India,17,Meghalaya,2000,"Calendar Year (Jan - Dec), 2000",277,230,62,54,120.1
446,India,17,Meghalaya,2001,"Calendar Year (Jan - Dec), 2001",278,230,76,59,120.6
447,India,17,Meghalaya,2002,"Calendar Year (Jan - Dec), 2002",285,230,76,59,123.7
448,India,17,Meghalaya,2003,"Calendar Year (Jan - Dec), 2003",272,227,82,60,120.2
449,India,17,Meghalaya,2004,"Calendar Year (Jan - Dec), 2004",265,219,74,58,121
450,India,17,Meghalaya,2005,"Calendar Year (Jan - Dec), 2005",258,212,64,55,121.7
451,India,17,Meghalaya,2006,"Calendar Year (Jan - Dec), 2006",246,213,72,67,115.7
452,India,17,Meghalaya,2007,"Calendar Year (Jan - Dec), 2007",283,235,73,58,120.4
453,India,17,Meghalaya,2008,"Calendar Year (Jan - Dec), 2008",337,284,73,62,118.7
454,India,17,Meghalaya,2009,"Calendar Year (Jan - Dec), 2009",336,283,74,62,118.9
455,India,17,Meghalaya,2010,"Calendar Year (Jan - Dec), 2010",338,284,74,63,119
456,India,17,Meghalaya,2011,"Calendar Year (Jan - Dec), 2011",339,285,80,65,118.9
457,India,17,Meghalaya,2012,"Calendar Year (Jan - Dec), 2012",340,285,125,65,119
458,India,17,Meghalaya,2013,"Calendar Year (Jan - Dec), 2013",343,286,127,68,120
459,India,17,Meghalaya,2014,"Calendar Year (Jan - Dec), 2014",343,286,128,81,120
460,India,17,Meghalaya,2015,"Calendar Year (Jan - Dec), 2015",303,245,127,80,123.3
461,India,17,Meghalaya,2016,"Calendar Year (Jan - Dec), 2016",309,252,143,97,122.3
462,India,17,Meghalaya,2017,"Calendar Year (Jan - Dec), 2017",309,253,140,100,122.1
463,India,17,Meghalaya,2018,"Calendar Year (Jan - Dec), 2018",312,255,142,101,122.4
464,India,17,Meghalaya,2019,"Calendar Year (Jan - Dec), 2019",,,,,
465,India,18,Assam,1991,"Calendar Year (Jan - Dec), 1991",3864,2706,572,572,142.8
466,India,18,Assam,1992,"Calendar Year (Jan - Dec), 1992",3837,2706,572,572,141.8
467,India,18,Assam,1993,"Calendar Year (Jan - Dec), 1993",3867,2777,572,572,139.3
468,India,18,Assam,1994,"Calendar Year (Jan - Dec), 1994",3882,2780,572,572,139.6
469,India,18,Assam,1995,"Calendar Year (Jan - Dec), 1995",3983,2769,572,572,143.8
470,India,18,Assam,1996,"Calendar Year (Jan - Dec), 1996",3981,2744,213,171,145.1
471,India,18,Assam,1997,"Calendar Year (Jan - Dec), 1997",3994,2751,212,171,145.2
472,India,18,Assam,1998,"Calendar Year (Jan - Dec), 1998",3941,2701,206,168,145.9
473,India,18,Assam,1999,"Calendar Year (Jan - Dec), 1999",4087,2734,225,170,149.5
474,India,18,Assam,2000,"Calendar Year (Jan - Dec), 2000",4092,2793,180,140,146.5
475,India,18,Assam,2001,"Calendar Year (Jan - Dec), 2001",3984,2774,174,140,143.6
476,India,18,Assam,2002,"Calendar Year (Jan - Dec), 2002",3958,2753,173,140,143.8
477,India,18,Assam,2003,"Calendar Year (Jan - Dec), 2003",3957,2753,173,140,143.7
478,India,18,Assam,2004,"Calendar Year (Jan - Dec), 2004",3896,2753,171,140,141.5
479,India,18,Assam,2005,"Calendar Year (Jan - Dec), 2005",3949,2753,142,140,143.4
480,India,18,Assam,2006,"Calendar Year (Jan - Dec), 2006",3763,2753,142,140,136.7
481,India,18,Assam,2007,"Calendar Year (Jan - Dec), 2007",3839,2753,142,140,139.4
482,India,18,Assam,2008,"Calendar Year (Jan - Dec), 2008",3999,2810,291,140,142.3
483,India,18,Assam,2009,"Calendar Year (Jan - Dec), 2009",4099,2811,225,197,145.9
484,India,18,Assam,2010,"Calendar Year (Jan - Dec), 2010",4160,2811,170,162,148
485,India,18,Assam,2011,"Calendar Year (Jan - Dec), 2011",4174,2811,163,161,148.5
486,India,18,Assam,2012,"Calendar Year (Jan - Dec), 2012",4076,2809,378,321,145.1
487,India,18,Assam,2013,"Calendar Year (Jan - Dec), 2013",4100,2820,375,303,145.4
488,India,18,Assam,2014,"Calendar Year (Jan - Dec), 2014",4083,2827,374,296,144.4
489,India,18,Assam,2015,"Calendar Year (Jan - Dec), 2015",4060,2801,388,297,144.9
490,India,18,Assam,2016,"Calendar Year (Jan - Dec), 2016",4087,2774,465,362,147.4
491,India,18,Assam,2017,"Calendar Year (Jan - Dec), 2017",4045,2723,483,357,148.5
492,India,18,Assam,2018,"Calendar Year (Jan - Dec), 2018",4004,2723,494,366,147
493,India,18,Assam,2019,"Calendar Year (Jan - Dec), 2019",,,,,
494,India,19,West Bengal,1991,"Calendar Year (Jan - Dec), 1991",8666,5477,2491,1911,158.2
495,India,19,West Bengal,1992,"Calendar Year (Jan - Dec), 1992",8540,5494,2491,1911,155.4
496,India,19,West Bengal,1993,"Calendar Year (Jan - Dec), 1993",8680,5459,2491,1911,159
497,India,19,West Bengal,1994,"Calendar Year (Jan - Dec), 1994",8718,5464,2491,1911,159.6
498,India,19,West Bengal,1995,"Calendar Year (Jan - Dec), 1995",8973,5462,2491,1911,164.3
499,India,19,West Bengal,1996,"Calendar Year (Jan - Dec), 1996",9059,5463,4928,2980,165.8
500,India,19,West Bengal,1997,"Calendar Year (Jan - Dec), 1997",9259,5464,5175,3019,169.5
501,India,19,West Bengal,1998,"Calendar Year (Jan - Dec), 1998",9290,5440,5227,3005,170.8
502,India,19,West Bengal,1999,"Calendar Year (Jan - Dec), 1999",9545,5472,5357,3023,174.4
503,India,19,West Bengal,2000,"Calendar Year (Jan - Dec), 2000",9117,5417,5089,3001,168.3
504,India,19,West Bengal,2001,"Calendar Year (Jan - Dec), 2001",9779,5522,5426,3058,177.1
505,India,19,West Bengal,2002,"Calendar Year (Jan - Dec), 2002",9510,5354,5311,2966,177.6
506,India,19,West Bengal,2003,"Calendar Year (Jan - Dec), 2003",9661,5428,5387,3006,178
507,India,19,West Bengal,2004,"Calendar Year (Jan - Dec), 2004",9523,5374,5339,3182,177.2
508,India,19,West Bengal,2005,"Calendar Year (Jan - Dec), 2005",9533,5295,5501,3135,180
509,India,19,West Bengal,2006,"Calendar Year (Jan - Dec), 2006",9635,5296,5581,3136,181.9
510,India,19,West Bengal,2007,"Calendar Year (Jan - Dec), 2007",9752,5296,5669,3136,184.1
511,India,19,West Bengal,2008,"Calendar Year (Jan - Dec), 2008",9802,5294,5651,3135,185.1
512,India,19,West Bengal,2009,"Calendar Year (Jan - Dec), 2009",9530,5256,5525,3112,181.3
513,India,19,West Bengal,2010,"Calendar Year (Jan - Dec), 2010",8832,4981,5269,2955,177.3
514,India,19,West Bengal,2011,"Calendar Year (Jan - Dec), 2011",9353,5198,5502,3078,179.9
515,India,19,West Bengal,2012,"Calendar Year (Jan - Dec), 2012",9459,5205,5568,3082,181.7
516,India,19,West Bengal,2013,"Calendar Year (Jan - Dec), 2013",9618,5234,5661,3099,183.8
517,India,19,West Bengal,2014,"Calendar Year (Jan - Dec), 2014",9690,5238,5700,3102,185
518,India,19,West Bengal,2015,"Calendar Year (Jan - Dec), 2015",9881,5243,6486,3105,188.5
519,India,19,West Bengal,2016,"Calendar Year (Jan - Dec), 2016",9618,5246,6317,3106,183.4
520,India,19,West Bengal,2017,"Calendar Year (Jan - Dec), 2017",9945,5247,6481,3107,189.5
521,India,19,West Bengal,2018,"Calendar Year (Jan - Dec), 2018",9960,5248,,,189.8
522,India,19,West Bengal,2019,"Calendar Year (Jan - Dec), 2019",10100,5250,,,192.4
523,India,20,Jharkhand,1991,"Calendar Year (Jan - Dec), 1991",,,,,
524,India,20,Jharkhand,1992,"Calendar Year (Jan - Dec), 1992",,,,,
525,India,20,Jharkhand,1993,"Calendar Year (Jan - Dec), 1993",,,,,
526,India,20,Jharkhand,1994,"Calendar Year (Jan - Dec), 1994",,,,,
527,India,20,Jharkhand,1995,"Calendar Year (Jan - Dec), 1995",,,,,
528,India,20,Jharkhand,1996,"Calendar Year (Jan - Dec), 1996",,,,,
529,India,20,Jharkhand,1997,"Calendar Year (Jan - Dec), 1997",,,,,
530,India,20,Jharkhand,1998,"Calendar Year (Jan - Dec), 1998",,,219,,
531,India,20,Jharkhand,1999,"Calendar Year (Jan - Dec), 1999",,,219,,
532,India,20,Jharkhand,2000,"Calendar Year (Jan - Dec), 2000",2054,1769,219,164,116.1
533,India,20,Jharkhand,2001,"Calendar Year (Jan - Dec), 2001",1836,1522,175,141,120.6
534,India,20,Jharkhand,2002,"Calendar Year (Jan - Dec), 2002",1807,1536,181,154,117.7
535,India,20,Jharkhand,2003,"Calendar Year (Jan - Dec), 2003",1750,1565,180,149,111.8
536,India,20,Jharkhand,2004,"Calendar Year (Jan - Dec), 2004",1637,1476,163,109,110.9
537,India,20,Jharkhand,2005,"Calendar Year (Jan - Dec), 2005",1548,1406,145,106,110.1
538,India,20,Jharkhand,2006,"Calendar Year (Jan - Dec), 2006",1649,1504,144,102,109.6
539,India,20,Jharkhand,2007,"Calendar Year (Jan - Dec), 2007",1675,1536,157,117,109.1
540,India,20,Jharkhand,2008,"Calendar Year (Jan - Dec), 2008",1689,1504,164,110,112.3
541,India,20,Jharkhand,2009,"Calendar Year (Jan - Dec), 2009",1399,1250,155,102,111.9
542,India,20,Jharkhand,2010,"Calendar Year (Jan - Dec), 2010",1249,1085,150,125,115.1
543,India,20,Jharkhand,2011,"Calendar Year (Jan - Dec), 2011",1430,1250,162,153,114.4
544,India,20,Jharkhand,2012,"Calendar Year (Jan - Dec), 2012",1657,1406,235,210,117.9
545,India,20,Jharkhand,2013,"Calendar Year (Jan - Dec), 2013",1672,1384,238,217,120.8
546,India,20,Jharkhand,2014,"Calendar Year (Jan - Dec), 2014",1554,1385,221,207,112.2
