ROWID,Country,State lgd code,State,YearCode,Year,Gross sown area ,Net sown area,Gross irrigated area ,Net irrigated area ,Cropping intensity (%)
47,India,2,Himachal Pradesh,2008,"Calendar Year (Jan - Dec), 2008",946,539,192,108,175.4
48,India,2,Himachal Pradesh,2009,"Calendar Year (Jan - Dec), 2009",941,538,186,106,174.7
49,India,2,Himachal Pradesh,2010,"Calendar Year (Jan - Dec), 2010",939,543,193,110,172.7
50,India,2,Himachal Pradesh,2011,"Calendar Year (Jan - Dec), 2011",932,550,198,113,169.4
51,India,2,Himachal Pradesh,2012,"Calendar Year (Jan - Dec), 2012",934,548,201,114,170.4
52,India,2,Himachal Pradesh,2013,"Calendar Year (Jan - Dec), 2013",940,549,197,114,171.3
53,India,2,Himachal Pradesh,2014,"Calendar Year (Jan - Dec), 2014",918,548,190,117,167.4
54,India,2,Himachal Pradesh,2015,"Calendar Year (Jan - Dec), 2015",933,551,206,120,169.2
55,India,2,Himachal Pradesh,2016,"Calendar Year (Jan - Dec), 2016",959,548,226,114,175.2
56,India,2,Himachal Pradesh,2017,"Calendar Year (Jan - Dec), 2017",917,543,203,110,168.9
57,India,2,Himachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",914,542,198,117,168.6
58,India,2,Himachal Pradesh,2019,"Calendar Year (Jan - Dec), 2019",,,,,
59,India,3,Punjab,1991,"Calendar Year (Jan - Dec), 1991",7518,4215,7111,3940,178.4
60,India,3,Punjab,1992,"Calendar Year (Jan - Dec), 1992",7552,4139,7142,3861,182.5
61,India,3,Punjab,1993,"Calendar Year (Jan - Dec), 1993",7623,4214,7238,3927,180.9
62,India,3,Punjab,1994,"Calendar Year (Jan - Dec), 1994",7693,4210,7319,3944,182.7
63,India,3,Punjab,1995,"Calendar Year (Jan - Dec), 1995",7752,4139,7377,3847,187.3
64,India,3,Punjab,1996,"Calendar Year (Jan - Dec), 1996",7808,4223,7453,3442,184.9
65,India,3,Punjab,1997,"Calendar Year (Jan - Dec), 1997",7831,4238,7485,4004,184.8
66,India,3,Punjab,1998,"Calendar Year (Jan - Dec), 1998",7945,4264,7723,4048,186.3
67,India,3,Punjab,1999,"Calendar Year (Jan - Dec), 1999",7847,4210,7544,3966,186.4
68,India,3,Punjab,2000,"Calendar Year (Jan - Dec), 2000",7941,4250,7664,4038,186.8
69,India,3,Punjab,2001,"Calendar Year (Jan - Dec), 2001",7941,4254,7667,4056,186.7
70,India,3,Punjab,2002,"Calendar Year (Jan - Dec), 2002",7773,4201,7543,4012,185
71,India,3,Punjab,2003,"Calendar Year (Jan - Dec), 2003",7907,4240,7722,4097,186.5
