srcStateName,srcYear,Country,StateCode,StateName,TotalPopulation,TotalPopulationUrban,YearCode,TotalPopulationRural,Year,TotalPopulationMale,TotalPopulationMaleUrban,TotalPopulationMaleRural,TotalPopulationFemale,TotalPopulationFemaleUrban,TotalPopulationFemaleRural,NumberOfHouseholds,NumberOfHouseholdsUrban,NumberOfHouseholdsRural,LandAreaUrban,LandAreaRural,LandArea,LandAreaMappingError%,LandAreaUrbanMappingError%,LandAreaRuralMappingError%,TotalPopulationMappingError%,TotalPopulationUrbanMappingError%,TotalPopulationRuralMappingError%,TotalPopulationMaleMappingError%,TotalPopulationMaleUrbanMappingError%,TotalPopulationMaleRuralMappingError%,TotalPopulationFeMaleMappingError%,TotalPopulationFeMaleUrbanMappingError%,TotalPopulationFeMaleRuralMappingError%,NumberOfHouseholdsMappingError%,NumberOfHouseholdsUrbanMappingError%,NumberOfHouseholdsRuralMappingError%,NumberOfChildren,NumberOfParents,WeighingRatio_TotalPopulation,WeighingRatio_Percentage_TotalPopulation,WeighingRatio_TotalPopulationUrban,WeighingRatio_Percentage_TotalPopulationUrban,WeighingRatio_TotalPopulationRural,WeighingRatio_Percentage_TotalPopulationRural,WeighingRatio_TotalPopulationMale,WeighingRatio_Percentage_TotalPopulationMale,WeighingRatio_TotalPopulationMaleUrban,WeighingRatio_Percentage_TotalPopulationMaleUrban,WeighingRatio_TotalPopulationMaleRural,WeighingRatio_Percentage_TotalPopulationMaleRural,WeighingRatio_TotalPopulationFemale,WeighingRatio_Percentage_TotalPopulationFemale,WeighingRatio_TotalPopulationFemaleUrban,WeighingRatio_Percentage_TotalPopulationFemaleUrban,WeighingRatio_TotalPopulationFemaleRural,WeighingRatio_Percentage_TotalPopulationFemaleRural,WeighingRatio_NumberOfHouseholds,WeighingRatio_Percentage_NumberOfHouseholds,WeighingRatio_NumberOfHouseholdsUrban,WeighingRatio_Percentage_NumberOfHouseholdsUrban,WeighingRatio_NumberOfHouseholdsRural,WeighingRatio_Percentage_NumberOfHouseholdsRural,WeighingRatio_LandAreaUrban,WeighingRatio_Percentage_LandAreaUrban,WeighingRatio_LandAreaRural,WeighingRatio_Percentage_LandAreaRural,WeighingRatio_LandArea,WeighingRatio_Percentage_LandArea
Mizoram,2001,India,15,MIZORAM,1097206,571771,2001,525435,"Calendar Year (Jan - Dec), 2001",555339,286204,269135,541867,285567,256300,222853,117041,105812,86600,,86600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mizoram,2011,India,15,MIZORAM,1097206,571771,2011,525435,"Calendar Year (Jan - Dec), 2011",555339,286204,269135,541867,285567,256300,222853,117041,105812,86600,,86600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nagaland,1991,India,13,NAGALAND,1978502,570966,1991,1407536,"Calendar Year (Jan - Dec), 1991",1024649,299177,725472,953853,271789,682064,396002,118511,277491,,101253.1,101253.1015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nagaland,2001,India,13,NAGALAND,1978502,570966,2001,1407536,"Calendar Year (Jan - Dec), 2001",1024649,299177,725472,953853,271789,682064,396002,118511,277491,,101253.1,101253.1015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nagaland,2011,India,13,NAGALAND,1978502,570966,2011,1407536,"Calendar Year (Jan - Dec), 2011",1024649,299177,725472,953853,271789,682064,396002,118511,277491,,101253.1,101253.1015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Odisha,1991,India,21,ODISHA,41980846,7010284,1991,34970562,"Calendar Year (Jan - Dec), 1991",21215646,3629443,17586203,20765200,3380841,17384359,9639296,1549309,8089987,2297094.4,1.157379e+07,13870884.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Odisha,2001,India,21,ODISHA,41980846,7010284,2001,34970562,"Calendar Year (Jan - Dec), 2001",21215646,3629443,17586203,20765200,3380841,17384359,9639296,1549309,8089987,2297094.4,1.157379e+07,13870884.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Odisha,2011,India,21,ODISHA,41980846,7010284,2011,34970562,"Calendar Year (Jan - Dec), 2011",21215646,3629443,17586203,20765200,3380841,17384359,9639296,1549309,8089987,2297094.4,1.157379e+07,13870884.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Puducherry,1991,India,34,PUDUCHERRY,1247953,852753,1991,395200,"Calendar Year (Jan - Dec), 1991",612511,417604,194907,635442,435149,200293,302450,207432,95018,15456,33823.785,49279.78515625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Puducherry,2001,India,34,PUDUCHERRY,1247953,852753,2001,395200,"Calendar Year (Jan - Dec), 2001",612511,417604,194907,635442,435149,200293,302450,207432,95018,15456,33823.785,49279.78515625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
