ROWID,Country,State lgd code,State,YearCode,Year,Total population,Rural population,Urban population,Decadal growth rate of population (%),Sex ratio-females per 1000 males,Literacy rate (%),Density of population
55,India,19,West Bengal,1991,"Calendar Year (Jan - Dec), 1991",68078,49370,18708,24.73,917,57.7,767
56,India,19,West Bengal,2001,"Calendar Year (Jan - Dec), 2001",80176,57749,22427,17.77,934,68.64,903
57,India,19,West Bengal,2011,"Calendar Year (Jan - Dec), 2011",91276,62183,29093,13.84,950,76.26,1028
58,India,20,Jharkhand,1991,"Calendar Year (Jan - Dec), 1991",21844,17203,4641,24.03,922,41.39,274
59,India,20,Jharkhand,2001,"Calendar Year (Jan - Dec), 2001",26946,20952,5994,23.36,941,53.56,338
60,India,20,Jharkhand,2011,"Calendar Year (Jan - Dec), 2011",32988,25055,7933,22.42,948,66.41,414
61,India,21,Odisha,1991,"Calendar Year (Jan - Dec), 1991",31660,27425,4235,20.06,971,49.09,203
62,India,21,Odisha,2001,"Calendar Year (Jan - Dec), 2001",36805,31287,5517,16.25,972,63.08,236
63,India,21,Odisha,2011,"Calendar Year (Jan - Dec), 2011",41974,34971,7004,14.05,979,72.89,270
64,India,22,Chhattisgarh,1991,"Calendar Year (Jan - Dec), 1991",17615,14550,3065,25.73,985,42.91,130
65,India,22,Chhattisgarh,2001,"Calendar Year (Jan - Dec), 2001",20834,16648,4186,18.27,989,64.66,154
66,India,22,Chhattisgarh,2011,"Calendar Year (Jan - Dec), 2011",25545,19608,5937,22.61,991,70.28,189
67,India,23,Madhya Pradesh,1991,"Calendar Year (Jan - Dec), 1991",48566,36292,12274,27.24,912,44.67,158
68,India,23,Madhya Pradesh,2001,"Calendar Year (Jan - Dec), 2001",60348,44381,15967,24.26,919,63.74,196
69,India,23,Madhya Pradesh,2011,"Calendar Year (Jan - Dec), 2011",72627,52557,20069,20.35,931,69.32,236
70,India,24,Gujarat,1991,"Calendar Year (Jan - Dec), 1991",41310,27064,14246,21.19,934,61.29,211
71,India,24,Gujarat,2001,"Calendar Year (Jan - Dec), 2001",50671,31741,18930,22.66,920,69.14,258
72,India,24,Gujarat,2011,"Calendar Year (Jan - Dec), 2011",60440,34695,25745,19.28,919,78.03,308
73,India,27,Maharashtra,1991,"Calendar Year (Jan - Dec), 1991",78937,48396,30542,25.73,934,64.87,257
74,India,27,Maharashtra,2001,"Calendar Year (Jan - Dec), 2001",96879,55778,41101,22.73,922,76.88,315
75,India,27,Maharashtra,2011,"Calendar Year (Jan - Dec), 2011",112374,61556,50818,15.99,929,82.34,365
76,India,28,Andhra Pradesh,1991,"Calendar Year (Jan - Dec), 1991",38983.72754750172134283848,28499.24546050221316849326,10484.48208699950817434522,24.2,972,44.08,136.479619039176402
77,India,28,Andhra Pradesh,2001,"Calendar Year (Jan - Dec), 2001",44670.56408845712070033260,32473.34891831272725258006,12197.21517014439344775254,14.59,978,60.47,156.218406916743237
78,India,28,Andhra Pradesh,2011,"Calendar Year (Jan - Dec), 2011",49577.23371166240291241086,33036.63998364545646125372,16540.59372801694645115714,10.98,993,67.02,173.701333322588148
79,India,29,Karnataka,1991,"Calendar Year (Jan - Dec), 1991",44977,31069,13908,21.12,960,56.04,235
80,India,29,Karnataka,2001,"Calendar Year (Jan - Dec), 2001",52851,34889,17962,17.51,965,66.6,276
81,India,29,Karnataka,2011,"Calendar Year (Jan - Dec), 2011",61095,37469,23626,15.6,973,75.37,319
82,India,30,Goa,1991,"Calendar Year (Jan - Dec), 1991",1170,690,480,16.08,967,75.51,316
83,India,30,Goa,2001,"Calendar Year (Jan - Dec), 2001",1348,677,671,15.21,961,82.01,364
84,India,30,Goa,2011,"Calendar Year (Jan - Dec), 2011",1459,552,907,8.23,973,88.7,394
85,India,31,Lakshadweep,1991,"Calendar Year (Jan - Dec), 1991",52,23,29,28.47,943,81.78,1616
86,India,31,Lakshadweep,2001,"Calendar Year (Jan - Dec), 2001",61,34,27,17.3,948,86.66,2022
87,India,31,Lakshadweep,2011,"Calendar Year (Jan - Dec), 2011",64,14,50,6.3,947,91.85,2149
88,India,32,Kerala,1991,"Calendar Year (Jan - Dec), 1991",29099,21418,7680,14.32,1036,89.81,749
89,India,32,Kerala,2001,"Calendar Year (Jan - Dec), 2001",31841,23574,8267,9.43,1058,90.86,820
90,India,32,Kerala,2011,"Calendar Year (Jan - Dec), 2011",33406,17471,15935,4.91,1084,94,860
91,India,33,Tamil Nadu,1991,"Calendar Year (Jan - Dec), 1991",55859,36781,19078,15.39,974,62.66,429
92,India,33,Tamil Nadu,2001,"Calendar Year (Jan - Dec), 2001",62406,34922,27484,11.72,987,73.45,480
93,India,33,Tamil Nadu,2011,"Calendar Year (Jan - Dec), 2011",72147,37230,34917,15.61,996,80.09,555
94,India,34,Puducherry,1991,"Calendar Year (Jan - Dec), 1991",808,291,517,33.64,979,74.74,1683
95,India,34,Puducherry,2001,"Calendar Year (Jan - Dec), 2001",974,326,649,20.62,1001,81.24,1989
96,India,34,Puducherry,2011,"Calendar Year (Jan - Dec), 2011",1248,395,853,28.08,1037,85.85,2547
97,India,35,Andaman And Nicobar Islands,1991,"Calendar Year (Jan - Dec), 1991",281,206,75,48.7,818,73.02,34
98,India,35,Andaman And Nicobar Islands,2001,"Calendar Year (Jan - Dec), 2001",356,240,116,26.9,846,81.3,43
99,India,35,Andaman And Nicobar Islands,2011,"Calendar Year (Jan - Dec), 2011",381,237,143,6.86,876,86.63,46
100,India,36,Telangana,1991,"Calendar Year (Jan - Dec), 1991",27524.27245249827865716152,20121.75453949778683150674,7402.51791300049182565478,24.2,972,44.08,105.520380960823598
101,India,36,Telangana,2001,"Calendar Year (Jan - Dec), 2001",31539.43591154287929966740,22927.65108168727274741994,8611.78482985560655224746,14.59,978,60.47,120.781593083256763
102,India,36,Telangana,2011,"Calendar Year (Jan - Dec), 2011",35003.76628833759708758914,23325.36001635454353874628,11678.40627198305354884286,10.98,993,67.02,134.298666677411852
103,India,37,Ladakh,1991,"Calendar Year (Jan - Dec), 1991",171.41979779572427162830,132.17938472369041386370,39.24041307203385776460,30.89,896,,1.8743624136228453
104,India,37,Ladakh,2001,"Calendar Year (Jan - Dec), 2001",221.88113166260393152960,166.82643840602131168930,55.05469325658261984030,29.43,892,55.52,2.4342369008088900
105,India,37,Ladakh,2011,"Calendar Year (Jan - Dec), 2011",274.31104812507057426190,199.22055867340266249720,75.09048945166791176470,23.64,889,67.16,3.0184537570030236
106,India,38,The Dadra And Nagar Haveli And Daman And Diu,1991,"Calendar Year (Jan - Dec), 1991",240.00000000000000000000,181.00000000000000000000,60.00000000000000000000,31.0950000000000000000000,960.00000000000000000000,55.9550000000000000000000,1189
107,India,38,The Dadra And Nagar Haveli And Daman And Diu,2001,"Calendar Year (Jan - Dec), 2001",378.00000000000000000000,271.00000000000000000000,107.00000000000000000000,57.4750000000000000000000,761.00000000000000000000,67.9050000000000000000000,1874
108,India,38,The Dadra And Nagar Haveli And Daman And Diu,2011,"Calendar Year (Jan - Dec), 2011",587.00000000000000000000,243.00000000000000000000,344.00000000000000000000,54.8200000000000000000000,696.00000000000000000000,81.6700000000000000000000,2891
