ROWID,Country,State lgd code,State,YearCode,Year,Base year,Gross State value added by Banking and Insurance sector at current prices,Gross State Value Added by Construction sector at constant prices,Gross State value added by Manufacturing sector at constant prices,Net State value added by Banking and Insurance sector at constant prices,Net State value added by Construction sector at constant prices,Gross State value added by Industry sector at constant prices,Net State Domestic Product at current prices,Gross State value added by Agriculture sector at current prices,Net State value added by Industry sector at constant prices,Gross State Domestic Product at constant prices,Net State value added by Manufacturing sector at current prices,Net State value added by Agriculture sector at current prices,Gross State value added by Agriculture sector at constant prices,Net State value added by Banking and Insurance sector at current prices,Net State value added by Industry sector at current prices,Per capita Net State Domestic Product at current prices,Gross State value added by Services sector at constant prices,Net State value added by Construction sector at current prices,Net State Domestic Product at constant prices,Net State value added by Services sector at current prices,Gross State value added by Industry sector at current prices,Net State value added by Agriculture sector at constant prices,Net State value added by Manufacturing sector at constant prices,Gross State Domestic Product at current prices,Gross State value added by Banking and Insurance sector at constant prices,Gross State value added by Services sector at current prices,Gross State value added by Manufacturing sector at current prices,Gross State value added by Construction sector at current prices,Per capita Net State Domestic Product at constant prices,Net State Value Added by Services sector at constant prices
79,India,20,Jharkhand,2013,"Financial Year (Apr - Mar), 2013",2004-2005,550262,808422,1837835,502140,766156,4102510,15033274,2554588,3194782,10940841,1898607,2333809,1501690,542307,4831063,46131,5017137,1503836,9412088,7232169,6112018,1371907,1288015,17277261,509506,7953099,2695820,1586797,28882,4535503
80,India,20,Jharkhand,2014,"Financial Year (Apr - Mar), 2014",2004-2005,641944,883930,1832612,581151,836416,4288344,17218909,2959560,3331138,11874316,1951646,2702512,1640019,,5299156,52147,5609524,1769491,10219632,8491515,6702516,1497577,1265743,19751431,589337,9337286,2808321,1870008,30950,5065296
81,India,21,Odisha,2011,"Financial Year (Apr - Mar), 2011",2004-2005,820243,1447872,1818176,773647,1348839,4451579,18352151,3105738,2485570,13011301,883149,2871836,1819897,809090,5483295,43463,6321888,2302682,10362763,9313574,8177933,1678363,463095,22058927,782160,10044823,2722663,2431848,24542,5813335
82,India,21,Odisha,2012,"Financial Year (Apr - Mar), 2012",2004-2005,945852,1429394,1754995,874420,1318736,4417572,21062228,4342308,2440600,13501017,915505,4067150,2043778,932932,5754536,49227,6600147,2472815,10766375,10499333,8619071,1890278,455837,25122046,883917,11359511,2782878,2623069,25163,6035008
83,India,21,Odisha,2013,"Financial Year (Apr - Mar), 2013",2004-2005,1076378,1428819,1792964,980724,1298131,4547744,22787686,4218848,2438330,13746828,946180,3903542,1797244,1061602,6192367,52559,6958607,2605734,10808072,11820232,9319771,1633723,460341,27297992,991175,12816828,2874230,2790102,24929,6336702
84,India,21,Odisha,2014,"Financial Year (Apr - Mar), 2014",2004-2005,1221033,1736866,1868091,1089574,1582522,4969142,26022195,4828043,2677413,14857608,979287,4466731,1832585,1204135,7008139,59229,7601860,3279855,11656558,13614605,10464940,1658388,470123,31081024,1101075,14771148,2987750,3506082,26531,6916210
85,India,22,Chhattisgarh,2011,"Financial Year (Apr - Mar), 2011",2004-2005,483290,1219741,1163183,455835,1147036,3635221,12333251,2247005,2505752,8340937,1049306,2068995,1202919,476719,4619255,48366,3106638,1877323,6926536,5019950,6142068,1094261,628524,14438220,460851,5381696,1738748,1972150,27163,2959635
86,India,22,Chhattisgarh,2012,"Financial Year (Apr - Mar), 2012",2004-2005,599703,1315069,1311349,530309,1217617,3838264,13991977,2765427,2495556,9073664,1167327,2550773,1388458,591549,4733860,53815,3436169,2151428,7302678,5941599,6614874,1267644,620936,16564120,536145,6369026,2091481,2283751,28087,3160471
87,India,22,Chhattisgarh,2013,"Financial Year (Apr - Mar), 2013",2004-2005,633516,1364767,1378898,534431,1238254,4037462,15514896,3015072,2502658,9526245,1195841,2761826,1392064,624902,4996525,58547,3664686,2363822,7518746,6870366,7240458,1260254,586496,18568248,540312,7366313,2295841,2542761,28373,3360169
88,India,22,Chhattisgarh,2014,"Financial Year (Apr - Mar), 2014",2004-2005,727675,1403602,1452657,538584,1247845,4228172,17399403,3389055,2544412,10084247,1233625,3095087,1414973,660136,5385923,64442,3983345,2576427,7842799,7856193,8009403,1273038,584333,21019179,586550,8486708,2524020,2805972,29047,3608172
89,India,23,Madhya Pradesh,2011,"Financial Year (Apr - Mar), 2011",2004-2005,1467100,2053957,2357116,1383757,1916398,5675748,27096362,7132014,4546277,19335031,2633369,6562271,4136480,1447152,7065572,37180,9116250,3176927,16960038,12715092,8577329,3787239,1781878,30515816,1398984,14034043,3376921,3356342,23272,8232264
90,India,23,Madhya Pradesh,2012,"Financial Year (Apr - Mar), 2012",2004-2005,1644186,2081822,2399811,1453347,1926912,5811723,32144187,9523032,4577429,21017437,2821396,8840202,4942961,1621626,7556856,43426,9837202,3478888,18406224,14901369,9281915,4556522,1787285,36127033,1469930,16453670,3643319,3689229,24867,8860497
91,India,23,Madhya Pradesh,2013,"Financial Year (Apr - Mar), 2013",2004-2005,1850169,2208223,2393963,1560029,2031806,5959846,38927727,13521893,4644630,23009540,2912362,12714489,6035688,1824997,8030255,51798,10586216,3803451,20181135,17288998,9935760,5612853,1748834,43472988,1577968,19094283,3812125,4052878,26853,9511166
92,India,23,Madhya Pradesh,2014,"Financial Year (Apr - Mar), 2014",2004-2005,2031445,2355047,2427454,1656165,2154137,6224822,45594149,17672960,4817341,25353258,3003009,16735615,7249726,2002635,8587229,59770,11446709,4172565,22288240,19320565,10712992,6793978,1747951,50800607,1675969,21430872,3988036,4468340,29218,10262345
93,India,24,Gujarat,2011,"Financial Year (Apr - Mar), 2011",2004-2005,2790274,3043699,10499343,2631764,2863778,15745767,51144502,11094668,12208606,39205778,11121488,10600537,4481060,2752334,17155617,85979,18322143,4172153,33688617,22438425,22736802,4177896,7955420,59878552,2660724,25035992,15320228,4406820,56634,16685292
94,India,24,Gujarat,2012,"Financial Year (Apr - Mar), 2012",2004-2005,3327324,3348068,11028795,2943190,3140658,16681641,56068683,10150280,12923705,41616347,12546662,9553548,3994542,3284478,19202687,93046,20256962,4646801,35647679,26136912,25212535,3656558,8333230,65854041,2974684,29248491,16995530,4928428,59157,18423864
