ROWID,Country,State lgd code,State,YearCode,Year,Base year,Gross State value added by Banking and Insurance sector at current prices,Gross State Value Added by Construction sector at constant prices,Gross State value added by Manufacturing sector at constant prices,Net State value added by Banking and Insurance sector at constant prices,Net State value added by Construction sector at constant prices,Gross State value added by Industry sector at constant prices,Net State Domestic Product at current prices,Gross State value added by Agriculture sector at current prices,Net State value added by Industry sector at constant prices,Gross State Domestic Product at constant prices,Net State value added by Manufacturing sector at current prices,Net State value added by Agriculture sector at current prices,Gross State value added by Agriculture sector at constant prices,Net State value added by Banking and Insurance sector at current prices,Net State value added by Industry sector at current prices,Per capita Net State Domestic Product at current prices,Gross State value added by Services sector at constant prices,Net State value added by Construction sector at current prices,Net State Domestic Product at constant prices,Net State value added by Services sector at current prices,Gross State value added by Industry sector at current prices,Net State value added by Agriculture sector at constant prices,Net State value added by Manufacturing sector at constant prices,Gross State Domestic Product at current prices,Gross State value added by Banking and Insurance sector at constant prices,Gross State value added by Services sector at current prices,Gross State value added by Manufacturing sector at current prices,Gross State value added by Construction sector at current prices,Per capita Net State Domestic Product at constant prices,Net State Value Added by Services sector at constant prices
127,India,35,Andaman And Nicobar Islands,2013,"Financial Year (Apr - Mar), 2013",2004-2005,12661,79816,2638,13411,72565,92301,567165,38836,80558,421993,3130,36599,25346,12500,166948,107418,292001,151497,383941,346957,181502,24416,1895,614960,14403,375855,4012,161791,72716,267807
128,India,35,Andaman And Nicobar Islands,2014,"Financial Year (Apr - Mar), 2014",2004-2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,India,36,Telangana,2011,"Financial Year (Apr - Mar), 2011",2004-2005,1926947,1101233,3039091,1819031,996135,5284240,26647109,5235523,3446297,18926867,2608756,4938969,2297670,1900625,6487765,75124,11066082,2485196,16060155,14795277,8954793,2141183,1714553,30562242,1837480,15920871,4279860,2624910,45277,10208642
130,India,36,Telangana,2012,"Financial Year (Apr - Mar), 2012",2004-2005,2169700,1146101,2892590,1920272,1040545,5066145,30587583,6450179,3352011,19705584,2604591,6084998,2579036,2140062,6841944,85169,11766846,2849128,16915613,17191217,9255921,2403397,1625137,34708203,1939748,18504279,4283042,3009219,47100,10883021
131,India,36,Telangana,2013,"Financial Year (Apr - Mar), 2013",2004-2005,2375103,1170306,2894970,2005334,1062521,5072480,34601755,7463823,3349428,20642724,2713498,7041259,2798417,2342659,7277979,95361,12456637,3101246,17736416,19730632,9872098,2607838,1618523,39175126,2025673,21248587,4476731,3275502,48881,11482552
132,India,36,Telangana,2014,"Financial Year (Apr - Mar), 2014",2004-2005,2832246,1222459,3105319,2225921,1109871,5280993,38006622,7051477,3468278,21743200,2996763,6652232,2458308,,7921986,103889,13669642,3497632,18664035,22821919,10752814,2290890,1732805,43059936,2248497,24601044,4951959,3694161,51017,12591119
133,India,37,Ladakh,2011,"Financial Year (Apr - Mar), 2011",2004-2005,5369.99481776294040243516,11021.64250872836010085846,6710.96256234001860362485,5064.94012950170564389792,10239.32201839968449769836,21765.70012332052923847096,120670.93444994786026891903,26647.53745312886971184452,17488.30761853912775432121,90114.59401464058515735465,7585.53431988161994606729,22793.56470492457640989157,16328.05875043914898027471,5296.96803226650630014409,30436.29131114137909854381,46734,48779.04950044261751722786,18135.64119060365502584295,74338.49003676013861479175,62750.50173275470122168194,40830.24027577041043757127,13951.98717118844598326838,5319.80120509018920005181,149126.71046889708898322569,5120.66706853881678275316,76796.55545213726612497245,10154.13503741477559430701,19155.98219802058829154684,28790,39747.93913558576294252009
134,India,37,Ladakh,2012,"Financial Year (Apr - Mar), 2012",2004-2005,6264.46905353208143732590,11224.95397862199634371494,7118.98523685977739737813,5544.34927537826614770752,10359.98352651104327048657,23502.83653890162281219747,136936.48629623941755576820,32482.65974832597125636539,18339.93684898107070404028,94923.79823434600330257348,7919.43666614518970937300,27816.64401758286340395867,15915.74938830115086814795,6173.87997131398318884144,32796.90019576914741141723,52250,52132.81391947981158183458,19378.71498732747205846276,78511.71165824728564275331,71369.76202343265475408868,44155.98812930268324280846,13664.88845504238714506087,5503.18832590109065189686,168222.89774881427780317511,5600.53550237447435638849,86463.77964034356240831627,10927.51034796865588514694,20553.20178215945999710689,30035,43028.87360682327879190391
135,India,37,Ladakh,2013,"Financial Year (Apr - Mar), 2013",2004-2005,7116.33886338117047123940,11765.09848937534555733655,7603.14035831367428938694,6008.47069347345275588925,11013.70338829253932244227,25166.90242727589208650665,156822.29893212044489896314,41084.92638451733320522012,19482.14226154509316350453,100271.65974665150395912108,8979.58263001720235997349,35183.22920610635163453153,16910.61084941579430780539,7013.43648968823173171275,36040.12931265031333796493,59279,54825.53174024515157583705,21196.20492489535775312889,83194.87413946335076865395,80555.04004655975910029982,47751.68794850805761275924,14519.05470468696152810302,5778.80484306972274446112,191522.88210578136144234183,6069.35915433660715564317,97473.98369180488596065774,11799.72005314918658277134,22365.74890645325341650564,31448,45916.46074737694698339468
136,India,37,Ladakh,2014,"Financial Year (Apr - Mar), 2014",2004-2005,7507.73968795265435701388,12117.13177459565202947703,7620.70265503533843558033,6098.60048773245393454798,11343.23156351708937312198,25536.51988007305780340365,157578.28691279422183211472,37287.22734673002850620066,19731.66684846597267025470,98695.09914991282403589503,9029.44817986202708390989,31931.03303859519529710053,14166.36529381080209906864,7399.17276276418508963656,36848.32302467479054130782,58888,55900.87794847775772781289,22276.27523785010519474081,81913.98563410720832038237,84074.71677310697086481072,48890.72208706879078056964,12162.90747451899332210812,5794.61747137577900560411,192291.57705332349064067194,6160.40752451380247395336,101182.95267006567578905879,11863.60482117406948567407,23505.41729981464444264681,30612,47043.57526985635143429923
