srcYear,srcStateName,Per capita availability of power,Availability of power ,Installed capacity of  power,Power requirement,Length of national highways ,Length of railway route,Length of roads,Length of state highways,Electricity transmission and distribution losses (%),Telephones per 100 population,Score of ease of doing business,Ease of doing business rank,YearCode,Year
2012,Gujarat,1232.6,7443,21972,7470,4032,5257,163149,18480,21.8,91.13,,,2012,"Financial Year (Apr - Mar), 2012"
2012,Haryana,1401.8,3554,6882,3687,1633,1553,42638,2521,28.6,89.42,,,2012,"Financial Year (Apr - Mar), 2012"
2012,Himachal Pradesh,1182.4,811,3585,816,1506,296,50449,1626,18.6,120.68,,,2012,"Financial Year (Apr - Mar), 2012"
2012,Jammu and Kashmir,867.7,1089,2307,1425,1245,256,36353,67,61.8,54.82,,,2012,"Financial Year (Apr - Mar), 2012"
2012,Jharkhand,182.9,603,3038,628,2170,2040,26277,1886,14.3,,,,2012,"Financial Year (Apr - Mar), 2012"
2012,Karnataka,883.7,5402,13394,6083,4396,3090,303128,20774,12.7,97.22,,,2012,"Financial Year (Apr - Mar), 2012"
2012,Kerala,583.1,1947,3828,1989,1457,1050,215438,4341,17.2,106.61,,,2012,"Financial Year (Apr - Mar), 2012"
2012,Lakshadweep,574.3,4,11,4,,,202,,22.5,,,,2012,"Financial Year (Apr - Mar), 2012"
2012,Madhya Pradesh,570.2,4139,8780,4979,5064,4954,201261,10501,34.5,53.81,,,2012,"Financial Year (Apr - Mar), 2012"
2012,Maharashtra,1047.6,11772,26142,14138,4257,5602,396685,32596,20.0,77.19,,,2012,"Financial Year (Apr - Mar), 2012"
2012,Manipur,183.3,50,158,54,1317,1,19252,1137,40.5,,,,2012,"Financial Year (Apr - Mar), 2012"
2012,Meghalaya,489.2,145,374,193,1171,,12103,856,31.0,,,,2012,"Financial Year (Apr - Mar), 2012"
2012,Mizoram,325.4,36,139,40,1027,2,11293,700,47.7,,,,2012,"Financial Year (Apr - Mar), 2012"
2012,Nagaland,258.0,51,103,56,494,13,35189,1001,41.5,,,,2012,"Financial Year (Apr - Mar), 2012"
2012,Odisha,541.0,2269,5996,2304,3704,2469,254709,3654,44.6,65.84,,,2012,"Financial Year (Apr - Mar), 2012"
2012,Puducherry,1716.4,214,280,217,53,22,2585,38,14.7,,,,2012,"Financial Year (Apr - Mar), 2012"
2012,Punjab,1580.7,4379,7056,4519,1557,2156,93871,1477,23.1,113.13,,,2012,"Financial Year (Apr - Mar), 2012"
2012,Rajasthan,721.2,4949,10161,5147,7130,5822,248604,10456,27.9,72.96,,,2012,"Financial Year (Apr - Mar), 2012"
2012,Sikkim,631.9,38,206,39,149,,5616,179,31.1,,,,2012,"Financial Year (Apr - Mar), 2012"
2012,Tamil Nadu,1063.3,7671,17602,8569,4943,3943,230200,10764,16.3,116.61,,,2012,"Financial Year (Apr - Mar), 2012"
2012,Tripura,245.2,90,265,95,400,151,29248,689,39.1,,,,2012,"Financial Year (Apr - Mar), 2012"
2012,Uttar Pradesh,361.3,7212,13054,8134,7818,8800,403102,7876,32.4,60.93,,,2012,"Financial Year (Apr - Mar), 2012"
2012,Uttarakhand,1009.0,1021,2527,1051,2042,345,52628,3788,28.7,,,,2012,"Financial Year (Apr - Mar), 2012"
2012,West Bengal,419.1,3828,8567,3868,2681,4000,315404,4505,23.2,61.52,,,2012,"Financial Year (Apr - Mar), 2012"
2013,Rajasthan,785.0,5387,12156,5554,7180,5872,226124,10465,24.9,70.85,,,2013,"Financial Year (Apr - Mar), 2013"
2013,Andaman and Nicobar Islands,489.5,19,65,24,300,,1388,264,18.1,,,,2013,"Financial Year (Apr - Mar), 2013"
2013,Andhra Pradesh,970.5,8217,16949,9969,5022,5322,261657,10700,19.3,77.19,,,2013,"Financial Year (Apr - Mar), 2013"
2013,Arunachal Pradesh,400.7,55,249,59,2027,1,28095,,46.0,,,,2013,"Financial Year (Apr - Mar), 2013"
2013,Assam,194.0,605,1140,650,2940,2459,288135,3134,30.7,46.51,,,2013,"Financial Year (Apr - Mar), 2013"
2013,Bihar,123.6,1284,1868,1541,4168,3656,197239,4483,49.4,45.72,,,2013,"Financial Year (Apr - Mar), 2013"
2013,Chandigarh,1552.1,164,106,164,24,16,1993,,19.3,,,,2013,"Financial Year (Apr - Mar), 2013"
2013,Chhattisgarh,665.7,1700,6532,1730,2289,1196,89236,5240,28.8,,,,2013,"Financial Year (Apr - Mar), 2013"
2013,Dadra and Nagar Haveli,12830.6,440,80,457,,,810,42,9.9,,,,2013,"Financial Year (Apr - Mar), 2013"
2013,Daman and Diu,7657.1,186,48,199,,,190,,15.6,,,,2013,"Financial Year (Apr - Mar), 2013"
2013,Delhi,1549.0,2595,7163,2609,80,183,31995,,22.1,,,,2013,"Financial Year (Apr - Mar), 2013"
2013,Goa,2131.4,311,430,318,269,69,11598,279,13.4,,,,2013,"Financial Year (Apr - Mar), 2013"
2013,Gujarat,1549.0,9351,26414,9366,3828,5257,165640,18506,18.5,87.23,,,2013,"Financial Year (Apr - Mar), 2013"
2013,Haryana,1507.1,3821,8114,4141,1633,1630,42476,2416,36.0,76.44,,,2013,"Financial Year (Apr - Mar), 2013"
2013,Himachal Pradesh,1275.3,874,3770,899,1506,296,53223,1504,19.1,105.39,,,2013,"Financial Year (Apr - Mar), 2013"
2013,Jammu and Kashmir,921.0,1156,2394,1541,1695,256,44597,,56.6,58.57,,,2013,"Financial Year (Apr - Mar), 2013"
2013,Jharkhand,205.2,677,2270,704,2374,2113,37064,1960,13.6,,,,2013,"Financial Year (Apr - Mar), 2013"
2013,Karnataka,933.1,5704,13759,6627,4642,3228,305448,20749,11.1,91.24,,,2013,"Financial Year (Apr - Mar), 2013"
2013,Kerala,610.7,2039,3856,2124,1457,1050,185030,4341,17.7,96.09,,,2013,"Financial Year (Apr - Mar), 2013"
2013,Lakshadweep,558.8,4,11,4,,,207,,18.6,,,,2013,"Financial Year (Apr - Mar), 2013"
2013,Madhya Pradesh,609.8,4683,10632,5178,5116,4955,228816,10934,31.5,53.55,,,2013,"Financial Year (Apr - Mar), 2013"
2013,Maharashtra,1067.6,11997,30354,12398,4498,5725,589625,38765,21.8,73.97,,,2013,"Financial Year (Apr - Mar), 2013"
2013,Manipur,199.5,54,179,57,1317,1,20837,715,35.1,,,,2013,"Financial Year (Apr - Mar), 2013"
2013,Meghalaya,542.2,161,455,183,1171,,12317,858,23.6,,,,2013,"Financial Year (Apr - Mar), 2013"
2013,Mizoram,346.5,38,150,41,1027,2,10939,310,37.8,,,,2013,"Financial Year (Apr - Mar), 2013"
2013,Nagaland,270.1,54,117,57,494,13,38281,1204,40.2,,,,2013,"Financial Year (Apr - Mar), 2013"
2013,Odisha,579.8,2432,6946,2516,4416,2507,277659,3607,39.8,60.21,,,2013,"Financial Year (Apr - Mar), 2013"
2013,Puducherry,1841.0,229,282,233,53,22,2890,41,13.5,,,,2013,"Financial Year (Apr - Mar), 2013"
2013,Punjab,1664.7,4612,7509,4872,1557,2215,98442,1477,20.3,103.0,,,2013,"Financial Year (Apr - Mar), 2013"
2013,Sikkim,673.0,41,206,41,149,,6570,179,28.1,,,,2013,"Financial Year (Apr - Mar), 2013"
2013,Tamil Nadu,1055.8,7616,19433,9230,4943,4027,238004,10764,14.5,108.17,,,2013,"Financial Year (Apr - Mar), 2013"
2013,Tripura,287.1,105,412,111,400,151,31021,689,31.7,,,,2013,"Financial Year (Apr - Mar), 2013"
2013,Uttar Pradesh,383.0,7645,14294,9165,7818,8832,435969,7703,26.9,56.83,,,2013,"Financial Year (Apr - Mar), 2013"
2013,Uttarakhand,1058.5,1071,2561,1133,2042,345,58714,3788,26.9,,,,2013,"Financial Year (Apr - Mar), 2013"
2013,West Bengal,458.1,4184,8616,4214,2681,4037,309692,3952,24.1,54.18,,,2013,"Financial Year (Apr - Mar), 2013"
2013,Telangana,,,,,,,,,,,,,2013,"Financial Year (Apr - Mar), 2013"
2014,Odisha,585.2,2455,7737,2496,4550,2516,283165,5125,38.9,60.9,,,2014,"Financial Year (Apr - Mar), 2014"
2014,Nagaland,283.2,56,118,58,741,13,36600,767,35.8,,,,2014,"Financial Year (Apr - Mar), 2014"
2014,Mizoram,394.1,43,150,45,1222,2,9803,214,41.5,,,,2014,"Financial Year (Apr - Mar), 2014"
2014,Meghalaya,541.2,160,455,179,1171,,13260,748,21.4,,,,2014,"Financial Year (Apr - Mar), 2014"
2014,Manipur,201.3,55,179,58,1452,1,21661,715,38.5,,,,2014,"Financial Year (Apr - Mar), 2014"
2014,Maharashtra,1100.5,12367,34867,12629,6249,5725,608690,39588,21.8,77.32,,,2014,"Financial Year (Apr - Mar), 2014"
2014,Andaman and Nicobar Islands,473.8,18,70,24,300,,1318,279,19.8,,,,2014,"Financial Year (Apr - Mar), 2014"
2014,Puducherry,1864.3,232,284,234,53,22,3020,40,14.8,,,,2014,"Financial Year (Apr - Mar), 2014"
2014,Madhya Pradesh,680.3,4939,13805,4941,5116,4976,279996,10934,31.5,56.04,,,2014,"Financial Year (Apr - Mar), 2014"
2014,Lakshadweep,745.0,5,11,5,,,208,,11.2,,,,2014,"Financial Year (Apr - Mar), 2014"
2014,Kerala,630.5,2105,3892,2158,1700,1050,193460,4341,15.0,96.19,,,2014,"Financial Year (Apr - Mar), 2014"
2014,Karnataka,949.6,5805,14270,6415,6177,3281,313184,20774,10.2,92.45,,,2014,"Financial Year (Apr - Mar), 2014"
2014,Punjab,1699.5,4708,8379,4782,1699,2269,104160,1315,20.7,107.22,,,2014,"Financial Year (Apr - Mar), 2014"
2014,Jharkhand,212.6,701,2580,714,2968,2182,41258,1596,13.1,,,,2014,"Financial Year (Apr - Mar), 2014"
2014,Jammu and Kashmir,971.2,1219,2579,1561,2319,273,39107,131,54.7,66.8,,,2014,"Financial Year (Apr - Mar), 2014"
2014,Himachal Pradesh,1295.6,888,3986,909,2196,296,54388,1504,21.0,105.59,,,2014,"Financial Year (Apr - Mar), 2014"
2014,Haryana,1704.4,4321,8282,4346,2050,1630,42685,2098,35.8,81.44,,,2014,"Financial Year (Apr - Mar), 2014"
2014,Gujarat,1465.4,8849,27647,8850,4694,5259,179063,18017,18.1,90.54,,,2014,"Financial Year (Apr - Mar), 2014"
2014,Goa,2655.5,387,400,389,269,69,13267,279,12.7,,,,2014,"Financial Year (Apr - Mar), 2014"
2014,Delhi,1599.2,2679,7824,2687,80,183,31996,,19.9,,,,2014,"Financial Year (Apr - Mar), 2014"
2014,Daman and Diu,9270.9,225,48,225,,,507,,13.8,,,,2014,"Financial Year (Apr - Mar), 2014"
2014,Dadra and Nagar Haveli,15715.2,539,80,539,,,841,42,8.5,,,,2014,"Financial Year (Apr - Mar), 2014"
2014,Chhattisgarh,736.1,1880,9975,1893,3031,1197,94580,5080,28.4,,,,2014,"Financial Year (Apr - Mar), 2014"
2014,Chandigarh,1492.4,157,116,157,24,16,2879,,19.1,,,,2014,"Financial Year (Apr - Mar), 2014"
2014,Bihar,142.2,1476,2198,1539,4467,3639,209758,4389,47.3,46.1,,,2014,"Financial Year (Apr - Mar), 2014"
2014,Assam,226.6,706,1143,754,3634,2468,313621,3134,31.1,48.74,,,2014,"Financial Year (Apr - Mar), 2014"
2014,Arunachal Pradesh,373.9,52,249,55,2027,12,24469,,46.3,,,,2014,"Financial Year (Apr - Mar), 2014"
2014,Andhra Pradesh,1051.6,8904,17731,9566,6590,3593,178096,6480,20.1,79.52,,,2014,"Financial Year (Apr - Mar), 2014"
2014,Telangana,,,,,,1753,92215,3385,,,,,2014,"Financial Year (Apr - Mar), 2014"
2014,Tripura,311.6,114,433,120,509,151,41857,1378,35.4,,,,2014,"Financial Year (Apr - Mar), 2014"
2014,Uttar Pradesh,408.9,8161,14375,9489,7986,8920,397224,7544,29.1,57.27,,,2014,"Financial Year (Apr - Mar), 2014"
2014,Uttarakhand,1136.0,1149,2635,1194,2282,345,60427,3782,21.8,,,,2014,"Financial Year (Apr - Mar), 2014"
2014,West Bengal,468.1,4276,8959,4289,2908,4070,313750,3893,24.1,55.13,,,2014,"Financial Year (Apr - Mar), 2014"
2014,Sikkim,679.6,41,314,41,149,,6525,179,23.1,,,,2014,"Financial Year (Apr - Mar), 2014"
2014,Tamil Nadu,1219.6,8798,21193,9351,4975,4027,254205,11594,10.8,111.14,,,2014,"Financial Year (Apr - Mar), 2014"
2014,Rajasthan,845.8,5804,14282,5820,7646,5870,241243,11292,26.9,75.39,,,2014,"Financial Year (Apr - Mar), 2014"
2015,West Bengal,512.6,4683,9576,4709,2910,4070,295997,3697,24.7,60.69,47,11,2015,"Financial Year (Apr - Mar), 2015"
2015,Andaman and Nicobar Islands,473.8,18,70,24,331,,1352,279,20.5,,10,25,2015,"Financial Year (Apr - Mar), 2015"
2015,Andhra Pradesh,1140.2,5631,11275,5920,4670,3657,179022,6485,17.9,84.15,70,2,2015,"Financial Year (Apr - Mar), 2015"
2015,Arunachal Pradesh,441.2,61,261,68,2513,12,25362,,46.2,,1,32,2015,"Financial Year (Apr - Mar), 2015"
2015,Assam,254.3,793,1263,853,3784,2471,326512,2530,27.6,53.95,14,22,2015,"Financial Year (Apr - Mar), 2015"
2015,Bihar,180.7,1876,2760,1929,4701,3652,206010,4426,46.3,51.2,16,21,2015,"Financial Year (Apr - Mar), 2015"
2015,Chandigarh,1532.2,162,118,162,15,16,2935,,19.1,,10,24,2015,"Financial Year (Apr - Mar), 2015"
2015,Chhattisgarh,831.2,2123,13086,2150,3079,1196,97534,4374,29.2,,62,4,2015,"Financial Year (Apr - Mar), 2015"
2015,Dadra and Nagar Haveli,15470.2,530,80,531,,,865,42,10.3,,,,2015,"Financial Year (Apr - Mar), 2015"
2015,Manipur,249.1,68,200,71,1746,1,24247,715,40.9,,,,2015,"Financial Year (Apr - Mar), 2015"
2015,Meghalaya,551.3,163,495,193,1204,,13372,751,33.1,,4,30,2015,"Financial Year (Apr - Mar), 2015"
2015,Mizoram,389.5,43,161,46,1381,2,9831,214,42.1,,6,28,2015,"Financial Year (Apr - Mar), 2015"
2015,Nagaland,333.7,66,131,69,1080,13,37176,767,26.5,,3,31,2015,"Financial Year (Apr - Mar), 2015"
2015,Odisha,621.1,2605,9036,2648,4645,2529,283692,4109,42.0,66.85,52,7,2015,"Financial Year (Apr - Mar), 2015"
2015,Puducherry,1909.3,238,330,240,64,22,3072,89,14.9,,18,20,2015,"Financial Year (Apr - Mar), 2015"
2015,Punjab,1737.8,4814,10525,4863,2239,2269,105368,1133,18.5,103.79,37,16,2015,"Financial Year (Apr - Mar), 2015"
2015,Rajasthan,951.7,6531,16229,6572,7886,5898,248156,10941,27.5,77.76,61,6,2015,"Financial Year (Apr - Mar), 2015"
2015,Sikkim,656.6,40,323,40,309,,7450,701,25.0,,7,27,2015,"Financial Year (Apr - Mar), 2015"
2015,Tamil Nadu,1285.7,9275,22884,9576,5006,4027,261100,11752,11.1,117.52,45,12,2015,"Financial Year (Apr - Mar), 2015"
2015,Telangana,1151.8,4064,9470,4334,2687,1676,100251,2744,15.7,,42,13,2015,"Financial Year (Apr - Mar), 2015"
