srcYear,srcStateName,Per capita availability of power,Availability of power ,Installed capacity of  power,Power requirement,Length of national highways ,Length of railway route,Length of roads,Length of state highways,Electricity transmission and distribution losses (%),Telephones per 100 population,Score of ease of doing business,Ease of doing business rank,YearCode,Year
2017,Chandigarh,1559.7,165,177,165,15,16,2821,,18.0,,12,29,2017,"Financial Year (Apr - Mar), 2017"
2017,Chhattisgarh,927.9,2370,12060,2375,3523,1216,97845,4438,25.6,,97,6,2017,"Financial Year (Apr - Mar), 2017"
2017,Dadra and Nagar Haveli,17561.5,602,242,602,,,1187,30,10.8,,22,26,2017,"Financial Year (Apr - Mar), 2017"
2017,Daman and Diu,9867.8,240,182,240,,,426,,32.8,,29,24,2017,"Financial Year (Apr - Mar), 2017"
2017,Delhi,1838.4,3080,7839,3083,79,183,17882,,19.4,,32,23,2017,"Financial Year (Apr - Mar), 2017"
2017,Goa,2962.2,432,541,432,293,69,16659,279,18.0,,57,19,2017,"Financial Year (Apr - Mar), 2017"
2017,Gujarat,1717.4,10370,30716,10370,5456,5259,180927,17201,18.2,113.71,98,5,2017,"Financial Year (Apr - Mar), 2017"
2017,Haryana,1928.5,4889,11056,4889,2741,1710,81386,1801,33.7,91.01,98,3,2017,"Financial Year (Apr - Mar), 2017"
2017,Himachal Pradesh,1280.4,878,3893,883,2643,296,62812,827,22.4,147.86,88,16,2017,"Financial Year (Apr - Mar), 2017"
2017,Jammu and Kashmir,1131.3,1420,3274,1740,2601,298,63386,130,47.0,95.91,33,22,2017,"Financial Year (Apr - Mar), 2017"
2017,Jharkhand,239.8,791,2237,796,2661,2455,69871,1339,16.3,,98,4,2017,"Financial Year (Apr - Mar), 2017"
2017,Karnataka,1088.5,6654,21317,6690,6991,3424,361041,19556,13.4,113.39,96,8,2017,"Financial Year (Apr - Mar), 2017"
2017,Punjab,1916.6,5310,14162,5310,3228,2269,139492,1103,17.6,118.28,54,20,2017,"Financial Year (Apr - Mar), 2017"
2015,Daman and Diu,8587.5,209,48,209,,,522,,29.6,,,,2015,"Financial Year (Apr - Mar), 2015"
2015,Delhi,1737.3,2911,8274,2923,80,183,32067,,21.5,,37,15,2015,"Financial Year (Apr - Mar), 2015"
2015,Goa,2697.4,393,400,397,262,69,14624,279,15.0,,22,19,2015,"Financial Year (Apr - Mar), 2015"
2015,Gujarat,1593.3,9621,28961,9624,4971,5259,182287,18017,19.3,95.61,71,1,2015,"Financial Year (Apr - Mar), 2015"
2015,Haryana,1831.4,4643,8754,4662,2307,1630,46287,2128,34.0,82.67,41,14,2015,"Financial Year (Apr - Mar), 2015"
2015,Himachal Pradesh,1273.0,873,4579,881,2466,296,55593,1466,20.8,114.52,24,17,2015,"Financial Year (Apr - Mar), 2015"
2015,Jammu and Kashmir,1045.4,1312,2611,1621,2593,298,39096,131,53.1,76.93,6,29,2015,"Financial Year (Apr - Mar), 2015"
2015,Jharkhand,224.2,739,2626,760,2632,2294,42705,1358,17.2,,63,3,2015,"Financial Year (Apr - Mar), 2015"
2020,Sikkim,885.7,55,674,55,,,,,,,,,2020,"Financial Year (Apr - Mar), 2020"
2015,Karnataka,980.3,5993,15150,6264,6432,3281,321808,19721,11.5,97.54,49,9,2015,"Financial Year (Apr - Mar), 2015"
2015,Kerala,662.7,2213,4107,2246,1811,1050,194854,4341,15.4,95.41,23,18,2015,"Financial Year (Apr - Mar), 2015"
2015,Lakshadweep,745.0,5,11,5,,,214,,3.6,,,,2015,"Financial Year (Apr - Mar), 2015"
2015,Madhya Pradesh,731.2,5308,15845,5337,5184,4979,288931,10934,32.3,60.25,62,5,2015,"Financial Year (Apr - Mar), 2015"
2015,Maharashtra,1184.3,13308,38355,13490,7048,5725,608140,40144,20.4,80.75,49,8,2015,"Financial Year (Apr - Mar), 2015"
2017,Kerala,726.6,2426,4999,2430,1782,1045,240562,4342,18.1,114.75,45,21,2017,"Financial Year (Apr - Mar), 2017"
2017,Lakshadweep,745.0,5,1,5,,,212,,7.0,,,34,2017,"Financial Year (Apr - Mar), 2017"
2017,Madhya Pradesh,905.8,6576,19618,6576,8053,5113,342654,11389,26.8,67.07,97,7,2017,"Financial Year (Apr - Mar), 2017"
2017,Maharashtra,1239.0,13923,41410,13929,16239,5784,623972,39000,18.2,95.88,93,13,2017,"Financial Year (Apr - Mar), 2017"
2017,Manipur,271.1,74,233,76,1746,13,27612,715,36.5,,0,32,2017,"Financial Year (Apr - Mar), 2017"
2017,Meghalaya,578.3,171,518,171,1204,,22939,772,35.7,,,34,2017,"Financial Year (Apr - Mar), 2017"
2017,Mizoram,457.4,50,137,51,1423,2,11012,170,35.5,,4,30,2017,"Financial Year (Apr - Mar), 2017"
2017,Nagaland,375.1,74,155,76,1547,11,36239,722,20.8,,14,28,2017,"Financial Year (Apr - Mar), 2017"
2017,Odisha,637.8,2676,8538,2676,5413,2598,303669,4139,38.2,80.74,92,14,2017,"Financial Year (Apr - Mar), 2017"
2017,Puducherry,2045.9,255,367,255,64,22,3242,0,15.6,,16,27,2017,"Financial Year (Apr - Mar), 2017"
2017,Rajasthan,982.5,6742,19776,6784,8972,5894,265599,15019,29.7,92.02,96,9,2017,"Financial Year (Apr - Mar), 2017"
2017,Sikkim,780.0,47,758,47,463,,11386,663,23.8,,0,33,2017,"Financial Year (Apr - Mar), 2017"
2017,Tamil Nadu,1448.4,10449,29112,10451,5918,4028,261436,12095,12.6,128.41,91,15,2017,"Financial Year (Apr - Mar), 2017"
2017,Telangana,1502.5,5302,11501,5303,3786,1823,126135,2553,18.7,,98,2,2017,"Financial Year (Apr - Mar), 2017"
2017,Tripura,441.6,162,727,164,854,203,42925,329,30.4,,22,25,2017,"Financial Year (Apr - Mar), 2017"
2017,Uttar Pradesh,529.6,10570,23662,10757,9017,9167,428055,7201,23.6,74.03,93,12,2017,"Financial Year (Apr - Mar), 2017"
2017,Uttarakhand,1283.7,1299,3313,1307,2842,340,69777,4329,25.4,,94,11,2017,"Financial Year (Apr - Mar), 2017"
2018,Andaman and Nicobar Islands,789.6,30,52,33,,,1794,257,12.39,,,,2018,"Financial Year (Apr - Mar), 2018"
2018,Andhra Pradesh,1180.3,5829,23674,5838,,3817,218190,13604,16.07,97.21,,,2018,"Financial Year (Apr - Mar), 2018"
2018,Arunachal Pradesh,570.7,79,301,80,,12,50555,,48.32,,,,2018,"Financial Year (Apr - Mar), 2018"
2018,Assam,281.7,878,1571,910,,2465,343609,2530,24.6,76.87,,,2018,"Financial Year (Apr - Mar), 2018"
2018,Bihar,256.3,2660,4341,2702,,3653,290571,4006,30.29,63.16,,,2018,"Financial Year (Apr - Mar), 2018"
2018,Chandigarh,1518.0,160,193,161,,16,2539,,13.45,,,,2018,"Financial Year (Apr - Mar), 2018"
2018,Chhattisgarh,1011.4,2583,13527,2592,,1211,102578,4176,23.97,,,,2018,"Financial Year (Apr - Mar), 2018"
2018,Dadra and Nagar Haveli,17987.3,617,255,617,,,1187,30,13.97,,,,2018,"Financial Year (Apr - Mar), 2018"
2018,Daman and Diu,10431.8,253,190,253,,,366,,12.74,,,,2018,"Financial Year (Apr - Mar), 2018"
2018,Delhi,1898.6,3181,7180,3183,,183,17596,,17.38,,,,2018,"Financial Year (Apr - Mar), 2018"
2018,Goa,2824.3,412,549,412,,69,18607,280,17.21,,,,2018,"Financial Year (Apr - Mar), 2018"
2018,Gujarat,1821.2,10997,31043,10999,,5285,201742,17201,17.9,112.45,,,2018,"Financial Year (Apr - Mar), 2018"
2018,Haryana,2002.7,5078,11260,5078,,1710,50021,1801,28.24,84.44,,,2018,"Financial Year (Apr - Mar), 2018"
2018,Himachal Pradesh,1362.9,935,4047,940,,296,61899,827,21.78,174.46,,,2018,"Financial Year (Apr - Mar), 2018"
2018,Jammu and Kashmir,1199.3,1505,3389,1881,,298,108677,310,45.47,109.19,,,2018,"Financial Year (Apr - Mar), 2018"
2018,Jharkhand,235.2,775,1771,791,,2585,79062,1232,16.27,,,,2018,"Financial Year (Apr - Mar), 2018"
2018,Karnataka,1107.5,6770,27157,6787,,3499,354505,19521,13.25,109.05,,,2018,"Financial Year (Apr - Mar), 2018"
2018,Kerala,746.3,2492,5083,2500,,1045,257085,4342,15.76,121.61,,,2018,"Financial Year (Apr - Mar), 2018"
2018,Lakshadweep,745.0,5,1,5,,,224,,3.56,,,,2018,"Financial Year (Apr - Mar), 2018"
2018,Madhya Pradesh,963.2,6993,21728,6993,,4829,363972,11389,26.75,67.02,,,2018,"Financial Year (Apr - Mar), 2018"
2018,Maharashtra,1330.7,14953,43255,14976,,5733,626521,38999,17.85,95.5,,,2018,"Financial Year (Apr - Mar), 2018"
2018,Manipur,303.8,83,242,87,,13,29180,715,36.41,,,,2018,"Financial Year (Apr - Mar), 2018"
2018,Meghalaya,523.3,155,565,156,,9,43836,781,35.08,,,,2018,"Financial Year (Apr - Mar), 2018"
2018,Mizoram,447.3,49,196,50,,2,13374,170,24.23,,,,2018,"Financial Year (Apr - Mar), 2018"
2018,Nagaland,389.3,77,159,80,,11,36703,722,19.67,,,,2018,"Financial Year (Apr - Mar), 2018"
2018,Odisha,684.3,2871,7377,2880,,2608,307976,4138,38.11,80.28,,,2018,"Financial Year (Apr - Mar), 2018"
2018,Puducherry,2139.1,266,369,267,,22,4293,0,17.93,,,,2018,"Financial Year (Apr - Mar), 2018"
2018,Punjab,1978.5,5481,13432,5481,,2269,142635,1103,17.52,123.45,,,2018,"Financial Year (Apr - Mar), 2018"
2018,Rajasthan,1028.9,7060,21684,7119,,5929,313390,15085,28.66,87.83,,,2018,"Financial Year (Apr - Mar), 2018"
2018,Sikkim,798.1,48,962,49,,,13510,663,35.54,,,,2018,"Financial Year (Apr - Mar), 2018"
2018,Tamil Nadu,1467.2,10584,30327,10601,,4030,270007,11830,15.94,136.36,,,2018,"Financial Year (Apr - Mar), 2018"
2018,Telangana,1707.1,6024,15139,6032,,1823,128071,2149,18.26,,,,2018,"Financial Year (Apr - Mar), 2018"
2018,Tripura,695.2,255,733,260,,216,43215,1057,29.89,,,,2018,"Financial Year (Apr - Mar), 2018"
2018,Uttar Pradesh,592.8,11830,24909,12005,,10324,436333,6810,23.19,71.36,,,2018,"Financial Year (Apr - Mar), 2018"
2018,Uttarakhand,1327.1,1343,3399,1346,,341,52848,4387,25.0,,,,2018,"Financial Year (Apr - Mar), 2018"
2018,West Bengal,553.6,5057,10518,5076,,4139,329126,3262,22.2,73.73,,,2018,"Financial Year (Apr - Mar), 2018"
2019,Andaman and Nicobar Islands,850.1,32,57,35,331,,,,10.84,,,22,2019,"Financial Year (Apr - Mar), 2019"
2019,Andhra Pradesh,1289.4,6380,24184,6374,6912,3822,,,17.62,97.55,,1,2019,"Financial Year (Apr - Mar), 2019"
2019,Arunachal Pradesh,618.4,86,337,86,2537,12,,,50.83,,,29,2019,"Financial Year (Apr - Mar), 2019"
2019,Assam,295.3,924,1710,953,3909,2519,,,23.98,68.81,,20,2019,"Financial Year (Apr - Mar), 2019"
2019,Bihar,287.3,2983,4566,3005,5358,3720,,,32.51,59.95,,26,2019,"Financial Year (Apr - Mar), 2019"
2019,Chandigarh,1480.1,157,198,156,15,16,,,17.09,,,29,2019,"Financial Year (Apr - Mar), 2019"
2019,Chhattisgarh,1021.0,2642,14044,2613,3605,1212,,,25.14,,,6,2019,"Financial Year (Apr - Mar), 2019"
2019,Dadra and Nagar Haveli,18424.8,630,276,632,,,,,10.66,,,23,2019,"Financial Year (Apr - Mar), 2019"
2019,Daman and Diu,10526.5,256,206,256,,,,,12.41,,,18,2019,"Financial Year (Apr - Mar), 2019"
2019,Delhi,1926.9,3228,7237,3230,157,183,,,12.56,,,12,2019,"Financial Year (Apr - Mar), 2019"
2019,Goa,2936.1,429,567,428,293,69,,,16.23,,,24,2019,"Financial Year (Apr - Mar), 2019"
2019,Gujarat,1930.5,11636,32291,11659,6635,5320,,,20.3,107.21,,10,2019,"Financial Year (Apr - Mar), 2019"
2019,Haryana,2116.7,5367,11268,5367,3166,1703,,,22.78,97.66,,16,2019,"Financial Year (Apr - Mar), 2019"
2019,Himachal Pradesh,1402.7,962,4068,985,2607,312,,,14.29,146.37,,7,2019,"Financial Year (Apr - Mar), 2019"
2019,Jammu and Kashmir,1264.5,1562,3394,1959,2423,298,,,42.19,89.43,,21,2019,"Financial Year (Apr - Mar), 2019"
2019,Jharkhand,256.7,849,1774,868,3367,2571,,,18.37,,,5,2019,"Financial Year (Apr - Mar), 2019"
2019,Karnataka,1172.7,7170,28075,7176,7335,3540,,,16.01,110.04,,17,2019,"Financial Year (Apr - Mar), 2019"
2019,Kerala,746.2,2490,5083,2503,1782,1045,,,16.39,126.15,,28,2019,"Financial Year (Apr - Mar), 2019"
2019,Lakshadweep,714.0,5,1,5,,,,,2.24,,,15,2019,"Financial Year (Apr - Mar), 2019"
2019,Madhya Pradesh,1042.3,7605,23334,7567,8772,4899,,,27.65,70.11,,4,2019,"Financial Year (Apr - Mar), 2019"
2019,Maharashtra,1407.4,15816,44144,15829,17757,5819,,,19.46,92.83,,13,2019,"Financial Year (Apr - Mar), 2019"
2019,Manipur,332.8,90,259,92,1750,13,,,35.61,,,29,2019,"Financial Year (Apr - Mar), 2019"
2019,Meghalaya,658.9,196,582,196,1156,9,,,43.12,,,29,2019,"Financial Year (Apr - Mar), 2019"
2019,Mizoram,605.9,64,206,67,1423,2,,,25.21,,,25,2019,"Financial Year (Apr - Mar), 2019"
2019,Nagaland,408.5,80,170,90,1548,11,,,20.67,,,29,2019,"Financial Year (Apr - Mar), 2019"
2019,Odisha,757.6,3212,7654,3181,5762,2622,,,34.94,75.74,,29,2019,"Financial Year (Apr - Mar), 2019"
2019,Puducherry,2210.6,276,370,276,27,22,,,13.26,,,27,2019,"Financial Year (Apr - Mar), 2019"
2019,Punjab,1995.2,5532,13432,5529,3274,2265,,,14.73,125.35,,19,2019,"Financial Year (Apr - Mar), 2019"
2019,Rajasthan,1160.6,7963,22589,7983,10342,5937,,,24.8,85.34,,8,2019,"Financial Year (Apr - Mar), 2019"
2019,Sikkim,842.5,53,962,51,463,,,,32.72,,,29,2019,"Financial Year (Apr - Mar), 2019"
2019,Tamil Nadu,1514.8,10938,31059,10938,6742,4031,,,19.12,116.94,,14,2019,"Financial Year (Apr - Mar), 2019"
2019,Telangana,1888.4,6643,15826,6670,3795,1823,,,14.85,,,3,2019,"Financial Year (Apr - Mar), 2019"
2019,Tripura,500.4,184,752,186,854,226,,,26.7,,,29,2019,"Financial Year (Apr - Mar), 2019"
2019,Uttar Pradesh,581.9,11615,25130,11710,11737,8823,,,21.21,68.63,,2,2019,"Financial Year (Apr - Mar), 2019"
2019,Uttarakhand,1359.4,1375,3403,1385,2949,341,,,22.23,,,11,2019,"Financial Year (Apr - Mar), 2019"
2019,West Bengal,570.1,5129,10568,5224,3664,4230,,,18.33,71.39,,9,2019,"Financial Year (Apr - Mar), 2019"
2020,Andaman and Nicobar Islands,850.1,32,57,35,,,,,,,,,2020,"Financial Year (Apr - Mar), 2020"
2020,Andhra Pradesh,1321.9,6541,24854,6545,,3965,,,,97.88,,,2020,"Financial Year (Apr - Mar), 2020"
2020,Arunachal Pradesh,539.2,75,379,75,,12,,,,,,,2020,"Financial Year (Apr - Mar), 2020"
2020,Assam,296.9,929,1757,980,,2519,,,,70.01,,,2020,"Financial Year (Apr - Mar), 2020"
2020,Bihar,303.8,3153,5792,3163,,3794,,,,59.04,,,2020,"Financial Year (Apr - Mar), 2020"
2020,Chandigarh,1631.8,173,207,173,,16,,,,,,,2020,"Financial Year (Apr - Mar), 2020"
2020,Chhattisgarh,1163.6,3011,12835,3011,,1152,,,,,,,2020,"Financial Year (Apr - Mar), 2020"
2020,Dadra and Nagar Haveli,19085.5,653,493,653,,,,,,,,,2020,"Financial Year (Apr - Mar), 2020"
2020,Daman and Diu,10592.3,257,224,257,,,,,,,,,2020,"Financial Year (Apr - Mar), 2020"
2020,Delhi,1974.4,3308,7582,3309,,184,,,,,,,2020,"Financial Year (Apr - Mar), 2020"
2020,Goa,2975.8,435,581,435,,69,,,,,,,2020,"Financial Year (Apr - Mar), 2020"
2020,Gujarat,1890.4,11394,35211,11394,,5301,,,,103.51,,,2020,"Financial Year (Apr - Mar), 2020"
2020,Haryana,2149.3,5449,12290,5451,,1703,,,,96.14,,,2020,"Financial Year (Apr - Mar), 2020"
2020,Himachal Pradesh,1509.9,1035,4007,1042,,312,,,,148.85,,,2020,"Financial Year (Apr - Mar), 2020"
2020,Jammu and Kashmir,1316.6,1626,3417,2003,,298,,,,92.91,,,2020,"Financial Year (Apr - Mar), 2020"
2020,Jharkhand,268.2,887,2514,894,,2596,,,,,,,2020,"Financial Year (Apr - Mar), 2020"
2020,Karnataka,1190.7,7280,29825,7280,,3542,,,,108.19,,,2020,"Financial Year (Apr - Mar), 2020"
2020,Kerala,787.2,2627,5696,2632,,1045,,,,123.19,,,2020,"Financial Year (Apr - Mar), 2020"
2020,Lakshadweep,714.0,5,1,5,,,,,,,,,2020,"Financial Year (Apr - Mar), 2020"
2020,Madhya Pradesh,1043.9,7617,24821,7617,,5148,,,,69.4,,,2020,"Financial Year (Apr - Mar), 2020"
2020,Maharashtra,1380.8,15517,43496,15517,,5829,,,,91.55,,,2020,"Financial Year (Apr - Mar), 2020"
2020,Manipur,341.0,92,268,92,,13,,,,,,,2020,"Financial Year (Apr - Mar), 2020"
2020,Meghalaya,695.3,206,609,211,,9,,,,,,,2020,"Financial Year (Apr - Mar), 2020"
2020,Mizoram,613.5,64,212,65,,2,,,,,,,2020,"Financial Year (Apr - Mar), 2020"
2020,Nagaland,415.7,81,175,81,,11,,,,,,,2020,"Financial Year (Apr - Mar), 2020"
2020,Odisha,700.4,2969,8567,2969,,2652,,,,76.58,,,2020,"Financial Year (Apr - Mar), 2020"
2020,Puducherry,2282.8,285,375,285,,22,,,,,,,2020,"Financial Year (Apr - Mar), 2020"
2020,Punjab,2047.7,5677,14205,5678,,2265,,,,123.52,,,2020,"Financial Year (Apr - Mar), 2020"
2020,Rajasthan,1183.9,8122,25360,8128,,5998,,,,85.88,,,2020,"Financial Year (Apr - Mar), 2020"
2020,Tamil Nadu,1506.9,10881,32840,10882,,4036,,,,115.45,,,2020,"Financial Year (Apr - Mar), 2020"
2020,Telangana,1941.7,6830,16024,6831,,1828,,,,,,,2020,"Financial Year (Apr - Mar), 2020"
2020,Tripura,411.8,152,764,154,,265,,,,,,,2020,"Financial Year (Apr - Mar), 2020"
2020,Uttar Pradesh,606.2,12100,26162,12255,,8808,,,,66.2,,,2020,"Financial Year (Apr - Mar), 2020"
2020,Uttarakhand,1421.0,1438,3550,1447,,346,,,,,,,2020,"Financial Year (Apr - Mar), 2020"
2020,West Bengal,587.2,5282,11027,5295,,4217,,,,67.8,,,2020,"Financial Year (Apr - Mar), 2020"
2021,Andaman and Nicobar Islands,850.1,32,75,35,331,,,,,,,,2021,"Financial Year (Apr - Mar), 2021"
2021,Andhra Pradesh,1254.5,6208,25484,6208,7340,,,,,99.56,,,2021,"Financial Year (Apr - Mar), 2021"
2021,Arunachal Pradesh,514.0,71,765,72,2537,,,,,,,,2021,"Financial Year (Apr - Mar), 2021"
2021,Assam,313.7,982,1794,1019,3936,,,,,70.86,,,2021,"Financial Year (Apr - Mar), 2021"
2021,Bihar,327.7,3402,6321,3417,5421,,,,,53.57,,,2021,"Financial Year (Apr - Mar), 2021"
2021,Chandigarh,1434.9,152,215,152,15,,,,,,,,2021,"Financial Year (Apr - Mar), 2021"
2021,Chhattisgarh,1176.8,3045,13076,3047,3620,,,,,,,,2021,"Financial Year (Apr - Mar), 2021"
2021,Dadra and Nagar Haveli,16071.3,550,509,550,,,,,,,,,2021,"Financial Year (Apr - Mar), 2021"
2021,Daman and Diu,9147.9,222,256,222,,,,,,,,,2021,"Financial Year (Apr - Mar), 2021"
2021,Delhi,1764.1,2956,7590,2956,157,,,,,,,,2021,"Financial Year (Apr - Mar), 2021"
2021,Goa,2793.1,408,596,408,299,,,,,,,,2021,"Financial Year (Apr - Mar), 2021"
2021,Gujarat,1852.0,11162,37893,11162,7744,,,,,99.18,,,2021,"Financial Year (Apr - Mar), 2021"
2021,Haryana,2094.7,5311,12481,5316,3237,,,,,95.24,,,2021,"Financial Year (Apr - Mar), 2021"
2021,Himachal Pradesh,1477.4,1013,4155,1019,2607,,,,,152.5,,,2021,"Financial Year (Apr - Mar), 2021"
2021,Jammu and Kashmir,1394.5,1722,3478,1977,2423,,,,,89.01,,,2021,"Financial Year (Apr - Mar), 2021"
2021,Jharkhand,292.5,968,2548,995,3367,,,,,,,,2021,"Financial Year (Apr - Mar), 2021"
2021,Karnataka,1125.9,6883,30091,6885,7412,,,,,105.85,,,2021,"Financial Year (Apr - Mar), 2021"
2021,Kerala,752.3,2510,5837,2512,1782,,,,,129.45,,,2021,"Financial Year (Apr - Mar), 2021"
2021,Lakshadweep,869.2,6,1,6,,,,,,,,,2021,"Financial Year (Apr - Mar), 2021"
2021,Madhya Pradesh,1143.5,8344,25489,8344,8941,,,,,68.87,,,2021,"Financial Year (Apr - Mar), 2021"
2021,Maharashtra,1340.7,15066,44166,15068,17931,,,,,95.83,,,2021,"Financial Year (Apr - Mar), 2021"
2021,Manipur,360.3,97,262,97,1750,,,,,,,,2021,"Financial Year (Apr - Mar), 2021"
2021,Meghalaya,675.4,201,616,203,1156,,,,,,,,2021,"Financial Year (Apr - Mar), 2021"
2021,Mizoram,689.9,72,207,73,1423,,,,,,,,2021,"Financial Year (Apr - Mar), 2021"
2021,Nagaland,422.4,82,179,83,1548,,,,,,,,2021,"Financial Year (Apr - Mar), 2021"
2021,Odisha,704.1,2985,8594,2985,5897,,,,,78.46,,,2021,"Financial Year (Apr - Mar), 2021"
2021,Puducherry,2120.8,264,380,264,64,,,,,,,,2021,"Financial Year (Apr - Mar), 2021"
2021,Punjab,2105.6,5838,14389,5845,4099,,,,,125.27,,,2021,"Financial Year (Apr - Mar), 2021"
2021,Rajasthan,1241.9,8521,26045,8531,10350,,,,,84.14,,,2021,"Financial Year (Apr - Mar), 2021"
2021,Sikkim,872.9,55,678,55,709,,,,,,,,2021,"Financial Year (Apr - Mar), 2021"
2021,Tamil Nadu,1401.4,10119,33695,10119,6858,,,,,108.22,,,2021,"Financial Year (Apr - Mar), 2021"
2021,Telangana,1904.5,6699,17218,6700,3974,,,,,,,,2021,"Financial Year (Apr - Mar), 2021"
2021,Tripura,402.5,148,724,148,854,,,,,,,,2021,"Financial Year (Apr - Mar), 2021"
2021,Uttar Pradesh,618.1,12338,27896,12437,11831,,,,,68.09,,,2021,"Financial Year (Apr - Mar), 2021"
2021,Uttarakhand,1365.8,1382,3731,1383,3106,,,,,,,,2021,"Financial Year (Apr - Mar), 2021"
2021,West Bengal,572.9,5154,11037,5164,3665,,,,,68.5,,,2021,"Financial Year (Apr - Mar), 2021"
