srcStateName,srcYear,Country,StateCode,StateName,TotalPopulation,TotalPopulationUrban,TotalPopulationRural,YearCode,TotalPopulationMale,Year,TotalPopulationMaleUrban,TotalPopulationMaleRural,TotalPopulationFemale,TotalPopulationFemaleUrban,TotalPopulationFemaleRural,NumberOfHouseholds,NumberOfHouseholdsUrban,NumberOfHouseholdsRural,LandAreaUrban,LandAreaRural,LandArea,LandAreaMappingError%,LandAreaUrbanMappingError%,LandAreaRuralMappingError%,TotalPopulationMappingError%,TotalPopulationUrbanMappingError%,TotalPopulationRuralMappingError%,TotalPopulationMaleMappingError%,TotalPopulationMaleUrbanMappingError%,TotalPopulationMaleRuralMappingError%,TotalPopulationFeMaleMappingError%,TotalPopulationFeMaleUrbanMappingError%,TotalPopulationFeMaleRuralMappingError%,NumberOfHouseholdsMappingError%,NumberOfHouseholdsUrbanMappingError%,NumberOfHouseholdsRuralMappingError%,NumberOfChildren,NumberOfParents,WeighingRatio_TotalPopulation,WeighingRatio_Percentage_TotalPopulation,WeighingRatio_TotalPopulationUrban,WeighingRatio_Percentage_TotalPopulationUrban,WeighingRatio_TotalPopulationRural,WeighingRatio_Percentage_TotalPopulationRural,WeighingRatio_TotalPopulationMale,WeighingRatio_Percentage_TotalPopulationMale,WeighingRatio_TotalPopulationMaleUrban,WeighingRatio_Percentage_TotalPopulationMaleUrban,WeighingRatio_TotalPopulationMaleRural,WeighingRatio_Percentage_TotalPopulationMaleRural,WeighingRatio_TotalPopulationFemale,WeighingRatio_Percentage_TotalPopulationFemale,WeighingRatio_TotalPopulationFemaleUrban,WeighingRatio_Percentage_TotalPopulationFemaleUrban,WeighingRatio_TotalPopulationFemaleRural,WeighingRatio_Percentage_TotalPopulationFemaleRural,WeighingRatio_NumberOfHouseholds,WeighingRatio_Percentage_NumberOfHouseholds,WeighingRatio_NumberOfHouseholdsUrban,WeighingRatio_Percentage_NumberOfHouseholdsUrban,WeighingRatio_NumberOfHouseholdsRural,WeighingRatio_Percentage_NumberOfHouseholdsRural,WeighingRatio_LandAreaUrban,WeighingRatio_Percentage_LandAreaUrban,WeighingRatio_LandAreaRural,WeighingRatio_Percentage_LandAreaRural,WeighingRatio_LandArea,WeighingRatio_Percentage_LandArea
Andhra Pradesh,2019-20,India,28,ANDHRA PRADESH,49577103,14610410,34966693,2019,24830513,"Financial Year (Apr - Mar), 2019",7292265,17538248,24746590,7318145,17428445,12718976,3653618,9065358,411934,1.30242e+07,13436132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andhra Pradesh,2020-21,India,28,ANDHRA PRADESH,49577103,14610410,34966693,2020,24830513,"Financial Year (Apr - Mar), 2020",7292265,17538248,24746590,7318145,17428445,12718976,3653618,9065358,411934,1.30242e+07,13436132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Karnataka,2014-15,India,29,KARNATAKA,61095297,23625962,37469335,2014,30966657,"Financial Year (Apr - Mar), 2014",12037303,18929354,30128640,11588659,18539981,13357027,5410370,7946657,599199.34,1.85419e+07,19141059.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Karnataka,2015-16,India,29,KARNATAKA,61095297,23625962,37469335,2015,30966657,"Financial Year (Apr - Mar), 2015",12037303,18929354,30128640,11588659,18539981,13357027,5410370,7946657,599199.34,1.85419e+07,19141059.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Karnataka,2016-17,India,29,KARNATAKA,61095297,23625962,37469335,2016,30966657,"Financial Year (Apr - Mar), 2016",12037303,18929354,30128640,11588659,18539981,13357027,5410370,7946657,599199.34,1.85419e+07,19141059.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Karnataka,2017-18,India,29,KARNATAKA,61095297,23625962,37469335,2017,30966657,"Financial Year (Apr - Mar), 2017",12037303,18929354,30128640,11588659,18539981,13357027,5410370,7946657,599199.34,1.85419e+07,19141059.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Karnataka,2018-19,India,29,KARNATAKA,61095297,23625962,37469335,2018,30966657,"Financial Year (Apr - Mar), 2018",12037303,18929354,30128640,11588659,18539981,13357027,5410370,7946657,599199.34,1.85419e+07,19141059.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Karnataka,2019-20,India,29,KARNATAKA,61095297,23625962,37469335,2019,30966657,"Financial Year (Apr - Mar), 2019",12037303,18929354,30128640,11588659,18539981,13357027,5410370,7946657,599199.34,1.85419e+07,19141059.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Karnataka,2020-21,India,29,KARNATAKA,61095297,23625962,37469335,2020,30966657,"Financial Year (Apr - Mar), 2020",12037303,18929354,30128640,11588659,18539981,13357027,5410370,7946657,599199.34,1.85419e+07,19141059.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Goa,2014-15,India,30,GOA,1458545,906814,551731,2014,739140,"Financial Year (Apr - Mar), 2014",463704,275436,719405,443110,276295,343611,215403,128208,77854,292350,370204.15625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
