srcStateName,srcYear,YearCode,Year,Country,StateCode,StateName,TotalPopulation,TotalPopulationUrban,TotalPopulationRural,TotalPopulationMale,TotalPopulationMaleUrban,TotalPopulationMaleRural,TotalPopulationFemale,TotalPopulationFemaleUrban,TotalPopulationFemaleRural,NumberOfHouseholds,NumberOfHouseholdsUrban,NumberOfHouseholdsRural,LandAreaUrban,LandAreaRural,LandArea,LandAreaMappingError%,LandAreaUrbanMappingError%,LandAreaRuralMappingError%,TotalPopulationMappingError%,TotalPopulationUrbanMappingError%,TotalPopulationRuralMappingError%,TotalPopulationMaleMappingError%,TotalPopulationMaleUrbanMappingError%,TotalPopulationMaleRuralMappingError%,TotalPopulationFeMaleMappingError%,TotalPopulationFeMaleUrbanMappingError%,TotalPopulationFeMaleRuralMappingError%,NumberOfHouseholdsMappingError%,NumberOfHouseholdsUrbanMappingError%,NumberOfHouseholdsRuralMappingError%,NumberOfChildren,NumberOfParents,WeighingRatio_TotalPopulation,WeighingRatio_Percentage_TotalPopulation,WeighingRatio_TotalPopulationUrban,WeighingRatio_Percentage_TotalPopulationUrban,WeighingRatio_TotalPopulationRural,WeighingRatio_Percentage_TotalPopulationRural,WeighingRatio_TotalPopulationMale,WeighingRatio_Percentage_TotalPopulationMale,WeighingRatio_TotalPopulationMaleUrban,WeighingRatio_Percentage_TotalPopulationMaleUrban,WeighingRatio_TotalPopulationMaleRural,WeighingRatio_Percentage_TotalPopulationMaleRural,WeighingRatio_TotalPopulationFemale,WeighingRatio_Percentage_TotalPopulationFemale,WeighingRatio_TotalPopulationFemaleUrban,WeighingRatio_Percentage_TotalPopulationFemaleUrban,WeighingRatio_TotalPopulationFemaleRural,WeighingRatio_Percentage_TotalPopulationFemaleRural,WeighingRatio_NumberOfHouseholds,WeighingRatio_Percentage_NumberOfHouseholds,WeighingRatio_NumberOfHouseholdsUrban,WeighingRatio_Percentage_NumberOfHouseholdsUrban,WeighingRatio_NumberOfHouseholdsRural,WeighingRatio_Percentage_NumberOfHouseholdsRural,WeighingRatio_LandAreaUrban,WeighingRatio_Percentage_LandAreaUrban,WeighingRatio_LandAreaRural,WeighingRatio_Percentage_LandAreaRural,WeighingRatio_LandArea,WeighingRatio_Percentage_LandArea
Andaman and Nicobar Islands,2001-02,2001,"Calendar Year (Jan - Dec), 2001",India,35,ANDAMAN AND NICOBAR ISLANDS,380581,143488,237093,202871,76584,126287,177710,66904,110806,94551,36021,58530,3799.37,81533.17,85332.541875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andaman and Nicobar Islands,2002-03,2002,"Calendar Year (Jan - Dec), 2002",India,35,ANDAMAN AND NICOBAR ISLANDS,380581,143488,237093,202871,76584,126287,177710,66904,110806,94551,36021,58530,3799.37,81533.17,85332.541875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andaman and Nicobar Islands,2003-04,2003,"Calendar Year (Jan - Dec), 2003",India,35,ANDAMAN AND NICOBAR ISLANDS,380581,143488,237093,202871,76584,126287,177710,66904,110806,94551,36021,58530,3799.37,81533.17,85332.541875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andaman and Nicobar Islands,2004-05,2004,"Calendar Year (Jan - Dec), 2004",India,35,ANDAMAN AND NICOBAR ISLANDS,380581,143488,237093,202871,76584,126287,177710,66904,110806,94551,36021,58530,3799.37,81533.17,85332.541875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andaman and Nicobar Islands,2005-06,2005,"Calendar Year (Jan - Dec), 2005",India,35,ANDAMAN AND NICOBAR ISLANDS,380581,143488,237093,202871,76584,126287,177710,66904,110806,94551,36021,58530,3799.37,81533.17,85332.541875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andaman and Nicobar Islands,2006-07,2006,"Calendar Year (Jan - Dec), 2006",India,35,ANDAMAN AND NICOBAR ISLANDS,380581,143488,237093,202871,76584,126287,177710,66904,110806,94551,36021,58530,3799.37,81533.17,85332.541875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andaman and Nicobar Islands,2007-08,2007,"Calendar Year (Jan - Dec), 2007",India,35,ANDAMAN AND NICOBAR ISLANDS,380581,143488,237093,202871,76584,126287,177710,66904,110806,94551,36021,58530,3799.37,81533.17,85332.541875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andaman and Nicobar Islands,2008-09,2008,"Calendar Year (Jan - Dec), 2008",India,35,ANDAMAN AND NICOBAR ISLANDS,380581,143488,237093,202871,76584,126287,177710,66904,110806,94551,36021,58530,3799.37,81533.17,85332.541875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andaman and Nicobar Islands,2009-10,2009,"Calendar Year (Jan - Dec), 2009",India,35,ANDAMAN AND NICOBAR ISLANDS,380581,143488,237093,202871,76584,126287,177710,66904,110806,94551,36021,58530,3799.37,81533.17,85332.541875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andaman and Nicobar Islands,2010-11,2010,"Calendar Year (Jan - Dec), 2010",India,35,ANDAMAN AND NICOBAR ISLANDS,380581,143488,237093,202871,76584,126287,177710,66904,110806,94551,36021,58530,3799.37,81533.17,85332.541875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
