srcStateName,srcYear,TRU,Country,YearCode,StateCode,Year,StateName,TotalPopulation,TotalPopulationUrban,TotalPopulationRural,TotalPopulationMale,TotalPopulationMaleUrban,TotalPopulationMaleRural,TotalPopulationFemale,TotalPopulationFemaleUrban,TotalPopulationFemaleRural,NumberOfHouseholds,NumberOfHouseholdsUrban,NumberOfHouseholdsRural,LandAreaUrban,LandAreaRural,LandArea,LandAreaMappingError%,LandAreaUrbanMappingError%,LandAreaRuralMappingError%,TotalPopulationMappingError%,TotalPopulationUrbanMappingError%,TotalPopulationRuralMappingError%,TotalPopulationMaleMappingError%,TotalPopulationMaleUrbanMappingError%,TotalPopulationMaleRuralMappingError%,TotalPopulationFeMaleMappingError%,TotalPopulationFeMaleUrbanMappingError%,TotalPopulationFeMaleRuralMappingError%,NumberOfHouseholdsMappingError%,NumberOfHouseholdsUrbanMappingError%,NumberOfHouseholdsRuralMappingError%,NumberOfChildren,NumberOfParents,WeighingRatio_TotalPopulation,WeighingRatio_Percentage_TotalPopulation,WeighingRatio_TotalPopulationUrban,WeighingRatio_Percentage_TotalPopulationUrban,WeighingRatio_TotalPopulationRural,WeighingRatio_Percentage_TotalPopulationRural,WeighingRatio_TotalPopulationMale,WeighingRatio_Percentage_TotalPopulationMale,WeighingRatio_TotalPopulationMaleUrban,WeighingRatio_Percentage_TotalPopulationMaleUrban,WeighingRatio_TotalPopulationMaleRural,WeighingRatio_Percentage_TotalPopulationMaleRural,WeighingRatio_TotalPopulationFemale,WeighingRatio_Percentage_TotalPopulationFemale,WeighingRatio_TotalPopulationFemaleUrban,WeighingRatio_Percentage_TotalPopulationFemaleUrban,WeighingRatio_TotalPopulationFemaleRural,WeighingRatio_Percentage_TotalPopulationFemaleRural,WeighingRatio_NumberOfHouseholds,WeighingRatio_Percentage_NumberOfHouseholds,WeighingRatio_NumberOfHouseholdsUrban,WeighingRatio_Percentage_NumberOfHouseholdsUrban,WeighingRatio_NumberOfHouseholdsRural,WeighingRatio_Percentage_NumberOfHouseholdsRural,WeighingRatio_LandAreaUrban,WeighingRatio_Percentage_LandAreaUrban,WeighingRatio_LandAreaRural,WeighingRatio_Percentage_LandAreaRural,WeighingRatio_LandArea,WeighingRatio_Percentage_LandArea
NCT of Delhi,2019,Rural,India,2019,7,"Calendar Year (Jan - Dec), 2019",DELHI,419042,,,226321,,,192721,,,79574,,,,,35620.1015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NCT of Delhi,2019,Urban,India,2019,7,"Calendar Year (Jan - Dec), 2019",DELHI,16368899,,,8761005,,,7607894,,,3356425,,,,,115407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Rajasthan,2019,Rural,India,2019,8,"Calendar Year (Jan - Dec), 2019",RAJASTHAN,51500352,,,26641747,,,24858605,,,9494903,,,,,33126250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Rajasthan,2019,Urban,India,2019,8,"Calendar Year (Jan - Dec), 2019",RAJASTHAN,17048085,,,8909250,,,8138835,,,3216243,,,,,665817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Uttar Pradesh,2019,Rural,India,2019,9,"Calendar Year (Jan - Dec), 2019",UTTAR PRADESH,155317278,,,80992995,,,74324283,,,25685942,,,,,23181400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Uttar Pradesh,2019,Urban,India,2019,9,"Calendar Year (Jan - Dec), 2019",UTTAR PRADESH,44495063,,,23487515,,,21007548,,,7762093,,,,,780110.507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bihar,2019,Rural,India,2019,10,"Calendar Year (Jan - Dec), 2019",BIHAR,92341436,,,48073850,,,44267586,,,16862940,,,,,9066613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bihar,2019,Urban,India,2019,10,"Calendar Year (Jan - Dec), 2019",BIHAR,11758016,,,6204307,,,5553709,,,2050625,,,,,232472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sikkim,2019,Rural,India,2019,11,"Calendar Year (Jan - Dec), 2019",SIKKIM,456999,,,242797,,,214202,,,93288,,,,,649873.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sikkim,2019,Urban,India,2019,11,"Calendar Year (Jan - Dec), 2019",SIKKIM,153578,,,80273,,,73305,,,35718,,,,,3824.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arunachal Pradesh,2019,Rural,India,2019,12,"Calendar Year (Jan - Dec), 2019",ARUNACHAL PRADESH,1066358,,,546011,,,520347,,,200210,,,,,1331039.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arunachal Pradesh,2019,Urban,India,2019,12,"Calendar Year (Jan - Dec), 2019",ARUNACHAL PRADESH,317369,,,167901,,,149468,,,70367,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mizoram,2019,Rural,India,2019,15,"Calendar Year (Jan - Dec), 2019",MIZORAM,525435,,,269135,,,256300,,,105812,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mizoram,2019,Urban,India,2019,15,"Calendar Year (Jan - Dec), 2019",MIZORAM,571771,,,286204,,,285567,,,117041,,,,,86600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tripura,2019,Rural,India,2019,16,"Calendar Year (Jan - Dec), 2019",TRIPURA,2712464,,,1387173,,,1325291,,,616582,,,,,1000310.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tripura,2019,Urban,India,2019,16,"Calendar Year (Jan - Dec), 2019",TRIPURA,961453,,,487203,,,474250,,,238974,,,,,39184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Meghalaya,2019,Rural,India,2019,17,"Calendar Year (Jan - Dec), 2019",MEGHALAYA,2371439,,,1194260,,,1177179,,,430573,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Meghalaya,2019,Urban,India,2019,17,"Calendar Year (Jan - Dec), 2019",MEGHALAYA,595450,,,297572,,,297878,,,117486,,,,,28289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jharkhand,2019,Rural,India,2019,20,"Calendar Year (Jan - Dec), 2019",JHARKHAND,25055073,,,12776486,,,12278587,,,4729369,,,,,7460952.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jharkhand,2019,Urban,India,2019,20,"Calendar Year (Jan - Dec), 2019",JHARKHAND,7933061,,,4153829,,,3779232,,,1525412,,,,,225145.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Odisha,2019,Rural,India,2019,21,"Calendar Year (Jan - Dec), 2019",ODISHA,34970562,,,17586203,,,17384359,,,8089987,,,,,11573788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Odisha,2019,Urban,India,2019,21,"Calendar Year (Jan - Dec), 2019",ODISHA,7010284,,,3629443,,,3380841,,,1549309,,,,,2297094.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chhattisgarh,2019,Rural,India,2019,22,"Calendar Year (Jan - Dec), 2019",CHHATTISGARH,19607961,,,9797426,,,9810535,,,4365568,,,,,9342520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chhattisgarh,2019,Urban,India,2019,22,"Calendar Year (Jan - Dec), 2019",CHHATTISGARH,5937237,,,3035469,,,2901768,,,1285156,,,,,324772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Madhya Pradesh,2019,Rural,India,2019,23,"Calendar Year (Jan - Dec), 2019",MADHYA PRADESH,52557404,,,27149388,,,25408016,,,11080278,,,,,25487598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Madhya Pradesh,2019,Urban,India,2019,23,"Calendar Year (Jan - Dec), 2019",MADHYA PRADESH,20084261,,,10470756,,,9613505,,,4015578,,,,,774641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gujarat,2019,Rural,India,2019,24,"Calendar Year (Jan - Dec), 2019",GUJARAT,34694609,,,17799159,,,16895450,,,6773558,,,,,14957358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gujarat,2019,Urban,India,2019,24,"Calendar Year (Jan - Dec), 2019",GUJARAT,25748474,,,13693814,,,12054660,,,5475577,,,,,733163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Maharashtra,2019,Rural,India,2019,27,"Calendar Year (Jan - Dec), 2019",MAHARASHTRA,61556074,,,31539034,,,30017040,,,13214738,,,,,28894166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Maharashtra,2019,Urban,India,2019,27,"Calendar Year (Jan - Dec), 2019",MAHARASHTRA,50818259,,,26704022,,,24114237,,,11206781,,,,,912066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andhra Pradesh,2019,Rural,India,2019,28,"Calendar Year (Jan - Dec), 2019",ANDHRA PRADESH,34966693,,,17538248,,,17428445,,,9065358,,,,,13024198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andhra Pradesh,2019,Urban,India,2019,28,"Calendar Year (Jan - Dec), 2019",ANDHRA PRADESH,14610410,,,7292265,,,7318145,,,3653618,,,,,411934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Karnataka,2019,Rural,India,2019,29,"Calendar Year (Jan - Dec), 2019",KARNATAKA,37469335,,,18929354,,,18539981,,,7946657,,,,,18541860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Karnataka,2019,Urban,India,2019,29,"Calendar Year (Jan - Dec), 2019",KARNATAKA,23625962,,,12037303,,,11588659,,,5410370,,,,,599199.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Goa,2019,Rural,India,2019,30,"Calendar Year (Jan - Dec), 2019",GOA,551731,,,275436,,,276295,,,128208,,,,,292350.15625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Goa,2019,Urban,India,2019,30,"Calendar Year (Jan - Dec), 2019",GOA,906814,,,463704,,,443110,,,215403,,,,,77854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Lakshadweep,2019,Rural,India,2019,31,"Calendar Year (Jan - Dec), 2019",LAKSHADWEEP,14141,,,7243,,,6898,,,2710,,,,,771.280090332031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Lakshadweep,2019,Urban,India,2019,31,"Calendar Year (Jan - Dec), 2019",LAKSHADWEEP,50332,,,25880,,,24452,,,8864,,,,,2137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kerala,2019,Rural,India,2019,32,"Calendar Year (Jan - Dec), 2019",KERALA,17471135,,,8408054,,,9063081,,,4149641,,,,,3126236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kerala,2019,Urban,India,2019,32,"Calendar Year (Jan - Dec), 2019",KERALA,15934926,,,7619358,,,8315568,,,3704113,,,,,759880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tamil Nadu,2019,Rural,India,2019,33,"Calendar Year (Jan - Dec), 2019",TAMIL NADU,37229590,,,18679065,,,18550525,,,9528495,,,,,11507218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tamil Nadu,2019,Urban,India,2019,33,"Calendar Year (Jan - Dec), 2019",TAMIL NADU,34917440,,,17458910,,,17458530,,,8996487,,,,,1363555.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Puducherry,2019,Rural,India,2019,34,"Calendar Year (Jan - Dec), 2019",PUDUCHERRY,395200,,,194907,,,200293,,,95018,,,,,33823.7890625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Puducherry,2019,Urban,India,2019,34,"Calendar Year (Jan - Dec), 2019",PUDUCHERRY,852753,,,417604,,,435149,,,207432,,,,,15456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andaman & Nicobar,2019,Rural,India,2019,35,"Calendar Year (Jan - Dec), 2019",ANDAMAN AND NICOBAR ISLANDS,237093,,,126287,,,110806,,,58530,,,,,81533.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andaman & Nicobar,2019,Urban,India,2019,35,"Calendar Year (Jan - Dec), 2019",ANDAMAN AND NICOBAR ISLANDS,143488,,,76584,,,66904,,,36021,,,,,3799.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Telangana,2019,Rural,India,2019,36,"Calendar Year (Jan - Dec), 2019",TELANGANA,21395009,,,10704993,,,10690016,,,5169029,,,,,10014736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Telangana,2019,Urban,India,2019,36,"Calendar Year (Jan - Dec), 2019",TELANGANA,13608665,,,6906640,,,6702025,,,3134583,,,,,373524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
